,Hours,produced_total,given_p_total,consumed_total,Nettoexport
203,203,30674.0,76628.0,71615,6948
204,204,28964.0,77141.0,71362,7364
205,205,27899.0,76765.0,71487,7060
206,206,27798.0,75041.0,69633,7395
207,207,28414.0,73249.0,69401,6281
208,208,30316.0,73471.0,69774,6476
209,209,31769.0,75034.0,71948,6163
210,210,33480.0,75809.0,71568,7398
211,211,32288.0,73388.0,69564,7076
212,212,29676.0,68761.0,65862,6126
213,213,27561.0,63777.0,61967,4568
214,214,26422.0,60289.0,58189,4222
215,215,25118.0,58078.0,53911,5038
216,216,24794.0,57151.0,50482,6151
217,217,24713.0,57162.0,48973,7295
218,218,24057.0,57506.0,48278,8065
219,219,23530.0,57436.0,48895,6621
220,220,23944.0,57933.0,50610,6247
221,221,26704.0,61955.0,53695,7960
222,222,28694.0,66342.0,61107,6426
223,223,31096.0,70126.0,67379,5811
224,224,32484.0,73067.0,69468,7093
225,225,33280.0,75175.0,70008,8313
226,226,32309.0,76414.0,70378,9094
227,227,31380.0,77373.0,70851,9118
228,228,31108.0,78309.0,71043,9393
229,229,30873.0,76610.0,69501,8933
230,230,31347.0,74545.0,67451,9154
231,231,31504.0,73199.0,66332,8566
232,232,31953.0,74595.0,67454,8769
233,233,33074.0,75424.0,69927,7601
234,234,34185.0,74541.0,68140,8551
235,235,33747.0,71402.0,66318,7887
236,236,32773.0,68264.0,62815,8490
237,237,30295.0,63883.0,59254,6670
238,238,29807.0,61251.0,56432,7342
239,239,27837.0,58482.0,52863,7361
240,240,27084.0,57310.0,49440,8749
241,241,26706.0,54710.0,47310,7775
242,242,26082.0,53479.0,46698,6664
243,243,25621.0,53260.0,46844,4636
244,244,25019.0,52545.0,47081,3671
245,245,24904.0,52633.0,46143,4411
246,246,24741.0,53710.0,47339,5767
247,247,25544.0,54254.0,50287,5247
248,248,27370.0,56962.0,53199,5719
249,249,29168.0,60791.0,56458,6517
250,250,29640.0,64306.0,57973,8309
251,251,27749.0,65424.0,59172,7833
252,252,26929.0,66214.0,58896,9124
253,253,25452.0,65119.0,58205,8446
254,254,25319.0,63988.0,56747,8777
255,255,26119.0,62843.0,56328,8513
256,256,27530.0,64040.0,57601,8423
257,257,29564.0,68789.0,61230,9068
258,258,30331.0,71377.0,61468,11600
259,259,28178.0,69399.0,59467,11804
260,260,25048.0,66667.0,56483,11796
261,261,23160.0,64701.0,54241,12251
262,262,22297.0,62686.0,53025,11398
263,263,20084.0,60042.0,50089,11474
264,264,18471.0,57872.0,48021,10618
265,265,17968.0,56764.0,46000,10809
266,266,17681.0,56330.0,44918,10303
267,267,17895.0,56956.0,44357,10650
268,268,17809.0,56884.0,44313,10638
269,269,17853.0,57394.0,44100,11385
270,270,17941.0,58282.0,43255,12098
271,271,18425.0,59635.0,45052,13094
272,272,18755.0,61087.0,48639,12702
273,273,18906.0,63990.0,51945,13323
274,274,18583.0,67164.0,54916,13413
275,275,18743.0,69099.0,56488,14339
276,276,18814.0,69662.0,56296,14180
277,277,18909.0,68877.0,54318,14700
278,278,19540.0,67967.0,53385,13983
279,279,19726.0,66339.0,53667,12608
280,280,20973.0,66784.0,54922,12945
281,281,22759.0,69259.0,58929,12226
282,282,23247.0,70036.0,59928,12952
283,283,22880.0,69631.0,58158,13488
284,284,21658.0,68131.0,55828,13219
285,285,20837.0,67846.0,54062,14241
286,286,21790.0,66638.0,53825,14492
287,287,21772.0,63609.0,50653,14500
288,288,20758.0,58546.0,47836,10613
289,289,21730.0,56841.0,45367,12303
290,290,21435.0,53310.0,45222,9442
291,291,21986.0,51048.0,45001,7361
292,292,23526.0,51216.0,46767,6089
293,293,26806.0,54401.0,51296,5531
294,294,31056.0,59209.0,60371,2214
295,295,35718.0,64722.0,67427,838
296,296,37503.0,66841.0,70336,207
297,297,37998.0,68151.0,70635,1059
298,298,38102.0,69925.0,71254,2244
299,299,36920.0,69377.0,72065,886
300,300,36458.0,69091.0,71924,754
301,301,36145.0,67220.0,71015,-412
302,302,35953.0,65350.0,69825,-1572
303,303,36723.0,64137.0,68727,-1689
304,304,37486.0,65194.0,69168,-787
305,305,37591.0,69336.0,72366,-93
306,306,36529.0,71379.0,72422,1824
307,307,34557.0,71101.0,70895,2950
308,308,30139.0,68139.0,66779,3463
309,309,27313.0,67171.0,63505,6019
310,310,25803.0,66734.0,60372,8964
311,311,23269.0,65560.0,56243,10196
312,312,20397.0,63146.0,53663,9337
313,313,19725.0,63905.0,51977,10271
314,314,19139.0,64753.0,50546,11232
315,315,18674.0,65580.0,51018,11612
316,316,19074.0,66343.0,52543,11659
317,317,20109.0,68437.0,56216,10516
318,318,21974.0,73261.0,64676,9683
319,319,24110.0,76536.0,71385,8439
320,320,25878.0,79166.0,73363,9311
321,321,25748.0,80024.0,72996,10319
322,322,24984.0,80180.0,73096,9979
323,323,24103.0,80138.0,73460,9434
324,324,23173.0,79572.0,72576,8757
325,325,23892.0,78736.0,72646,8333
326,326,25515.0,77221.0,71101,9017
327,327,26967.0,75792.0,70599,8372
