Datum;Uhrzeit;Generation_DE G[MW];Generation_DE C[MW];Generation_DE F[MW];Generation_DE A[MW];Generation_DE B[MW];Generation_DE D[MW];Generation_DE E[MW]
07.01.2020;06:00;1.063;-;1.068;0;261;0;0
07.01.2020;07:00;1.058;-;1.067;0;260;0;0
07.01.2020;08:00;1.059;-;1.067;0;263;0;0
07.01.2020;09:00;1.055;-;1.070;0;262;0;0
07.01.2020;10:00;1.061;-;1.069;0;262;0;0
07.01.2020;11:00;1.059;-;1.071;0;263;0;0
07.01.2020;12:00;1.062;-;1.066;0;263;0;0
07.01.2020;13:00;1.060;-;1.069;0;264;0;0
07.01.2020;14:00;1.059;-;1.069;0;262;0;0
07.01.2020;15:00;1.060;-;1.070;0;261;0;0
07.01.2020;16:00;1.056;-;1.073;0;263;0;0
07.01.2020;17:00;1.061;-;1.070;0;269;0;0
07.01.2020;18:00;1.061;-;1.069;0;273;0;0
07.01.2020;19:00;1.060;-;1.071;0;273;0;0
07.01.2020;20:00;1.060;-;1.068;0;274;0;0
07.01.2020;21:00;1.059;-;1.070;0;255;0;0
07.01.2020;22:00;1.056;-;1.063;0;228;0;0
07.01.2020;23:00;850;-;919;0;165;0;0
08.01.2020;00:00;584;-;683;0;162;0;0
08.01.2020;01:00;503;-;749;0;163;0;0
08.01.2020;02:00;490;-;482;0;166;0;0
08.01.2020;03:00;487;-;487;0;165;0;0
08.01.2020;04:00;523;-;536;0;162;0;0
08.01.2020;05:00;826;-;839;0;165;0;0
08.01.2020;06:00;1.036;-;1.060;0;187;0;0
08.01.2020;07:00;1.056;-;1.061;9;254;0;0
08.01.2020;08:00;1.058;-;1.065;124;269;0;0
08.01.2020;09:00;1.061;-;1.068;256;275;0;0
08.01.2020;10:00;1.057;-;1.065;285;274;0;0
08.01.2020;11:00;1.053;-;1.065;284;274;0;0
08.01.2020;12:00;1.048;-;1.066;283;274;0;0
08.01.2020;13:00;1.051;-;1.068;278;274;0;0
08.01.2020;14:00;1.048;-;1.065;277;274;0;0
08.01.2020;15:00;1.048;-;1.067;277;274;0;0
08.01.2020;16:00;1.047;-;1.066;277;274;0;0
08.01.2020;17:00;1.049;-;1.065;281;277;0;0
08.01.2020;18:00;1.047;-;1.065;281;277;0;0
08.01.2020;19:00;1.049;-;1.070;280;275;0;0
08.01.2020;20:00;1.046;-;1.067;280;277;0;0
08.01.2020;21:00;1.048;-;1.070;280;277;0;0
08.01.2020;22:00;1.046;-;1.070;280;276;0;0
08.01.2020;23:00;1.049;-;1.071;277;274;0;0
09.01.2020;00:00;1.061;-;1.060;285;284;0;0
09.01.2020;01:00;1.056;-;1.058;281;284;0;0
09.01.2020;02:00;1.059;-;1.057;282;283;0;0
09.01.2020;03:00;1.057;-;1.062;283;282;0;0
09.01.2020;04:00;1.053;-;1.060;283;284;0;0
09.01.2020;05:00;1.054;-;1.060;283;285;0;0
09.01.2020;06:00;1.054;-;1.060;283;285;0;0
09.01.2020;07:00;1.055;-;1.058;285;284;0;0
09.01.2020;08:00;1.056;-;1.056;285;284;0;0
09.01.2020;09:00;1.048;-;1.059;285;283;0;0
09.01.2020;10:00;1.050;-;1.063;282;283;0;0
09.01.2020;11:00;1.045;-;1.058;278;282;0;0
09.01.2020;12:00;1.045;-;1.058;255;229;0;0
09.01.2020;13:00;1.041;-;1.059;189;141;0;0
09.01.2020;14:00;1.043;-;1.057;172;140;0;0
09.01.2020;15:00;1.039;-;1.058;197;142;0;0
09.01.2020;16:00;1.041;-;1.057;278;142;0;0
09.01.2020;17:00;1.036;-;1.060;283;159;0;0
09.01.2020;18:00;1.041;-;1.059;270;275;0;0
09.01.2020;19:00;1.043;-;1.058;226;215;0;0
09.01.2020;20:00;1.042;-;1.060;200;0;0;0
09.01.2020;21:00;1.040;-;1.059;154;0;0;0
09.01.2020;22:00;1.039;-;1.058;159;0;0;0
09.01.2020;23:00;1.037;-;1.058;155;0;0;0
