Datum;Uhrzeit;Generation_DE Walsum 10[MW];Generation_DE Walsum 9[MW];Generation_DE Walsum 7[MW]
19.01.2020;03:00;0;86;-
19.01.2020;04:00;0;89;-
19.01.2020;05:00;0;90;-
19.01.2020;06:00;0;93;-
19.01.2020;07:00;0;90;-
19.01.2020;08:00;0;90;-
19.01.2020;09:00;0;95;-
19.01.2020;10:00;0;111;-
19.01.2020;11:00;0;99;-
19.01.2020;12:00;0;108;-
19.01.2020;13:00;0;90;-
19.01.2020;14:00;0;80;-
19.01.2020;15:00;0;82;-
19.01.2020;16:00;0;81;-
19.01.2020;17:00;0;93;-
19.01.2020;18:00;0;104;-
19.01.2020;19:00;0;102;-
19.01.2020;20:00;0;107;-
19.01.2020;21:00;0;95;-
19.01.2020;22:00;0;106;-
19.01.2020;23:00;0;111;-
20.01.2020;00:00;0;112;-
20.01.2020;01:00;0;109;-
20.01.2020;02:00;0;112;-
20.01.2020;03:00;138;108;-
20.01.2020;04:00;279;85;-
20.01.2020;05:00;353;105;-
20.01.2020;06:00;595;270;-
20.01.2020;07:00;709;328;-
20.01.2020;08:00;708;330;-
20.01.2020;09:00;709;333;-
20.01.2020;10:00;712;332;-
20.01.2020;11:00;712;287;-
20.01.2020;12:00;711;326;-
20.01.2020;13:00;519;206;-
20.01.2020;14:00;714;252;-
20.01.2020;15:00;709;300;-
20.01.2020;16:00;711;272;-
20.01.2020;17:00;715;291;-
20.01.2020;18:00;713;310;-
20.01.2020;19:00;714;311;-
20.01.2020;20:00;710;289;-
20.01.2020;21:00;710;201;-
20.01.2020;22:00;666;191;-
20.01.2020;23:00;396;79;-
21.01.2020;00:00;533;86;-
21.01.2020;01:00;397;83;-
21.01.2020;02:00;428;81;-
21.01.2020;03:00;526;81;-
21.01.2020;04:00;524;81;-
21.01.2020;05:00;433;92;-
21.01.2020;06:00;610;200;-
21.01.2020;07:00;708;321;-
21.01.2020;08:00;707;332;-
21.01.2020;09:00;709;331;-
21.01.2020;10:00;711;332;-
21.01.2020;11:00;713;332;-
21.01.2020;12:00;711;284;-
21.01.2020;13:00;711;326;-
21.01.2020;14:00;703;313;-
21.01.2020;15:00;710;333;-
21.01.2020;16:00;711;333;-
21.01.2020;17:00;710;333;-
21.01.2020;18:00;710;303;-
21.01.2020;19:00;713;220;-
21.01.2020;20:00;716;207;-
21.01.2020;21:00;712;169;-
21.01.2020;22:00;623;154;-
21.01.2020;23:00;263;115;-
22.01.2020;00:00;469;153;-
22.01.2020;01:00;514;153;-
22.01.2020;02:00;372;152;-
22.01.2020;03:00;471;152;-
22.01.2020;04:00;482;151;-
22.01.2020;05:00;463;157;-
22.01.2020;06:00;691;250;-
22.01.2020;07:00;713;330;-
22.01.2020;08:00;715;330;-
22.01.2020;09:00;710;330;-
22.01.2020;10:00;707;329;-
22.01.2020;11:00;703;330;-
22.01.2020;12:00;702;330;-
22.01.2020;13:00;709;330;-
22.01.2020;14:00;711;331;-
22.01.2020;15:00;709;329;-
22.01.2020;16:00;710;331;-
22.01.2020;17:00;709;331;-
22.01.2020;18:00;711;330;-
22.01.2020;19:00;712;302;-
22.01.2020;20:00;708;318;-
22.01.2020;21:00;713;291;-
22.01.2020;22:00;716;265;-
22.01.2020;23:00;717;172;-
23.01.2020;00:00;702;129;-
23.01.2020;01:00;693;3;-
23.01.2020;02:00;680;0;-
23.01.2020;03:00;535;0;-
23.01.2020;04:00;553;0;-
23.01.2020;05:00;684;0;-
23.01.2020;06:00;678;0;-
23.01.2020;07:00;688;0;-
23.01.2020;08:00;687;0;-
23.01.2020;09:00;682;0;-
23.01.2020;10:00;676;0;-
23.01.2020;11:00;682;0;-
23.01.2020;12:00;693;0;-
23.01.2020;13:00;695;0;-
23.01.2020;14:00;688;0;-
23.01.2020;15:00;688;0;-
23.01.2020;16:00;684;0;-
23.01.2020;17:00;685;22;-
23.01.2020;18:00;684;131;-
23.01.2020;19:00;704;160;-
23.01.2020;20:00;711;210;-
23.01.2020;21:00;716;208;-
23.01.2020;22:00;713;160;-
23.01.2020;23:00;704;154;-
24.01.2020;00:00;709;168;-
24.01.2020;01:00;656;121;-
24.01.2020;02:00;498;84;-
24.01.2020;03:00;392;84;-
24.01.2020;04:00;544;86;-
24.01.2020;05:00;578;119;-
24.01.2020;06:00;676;233;-
24.01.2020;07:00;694;304;-
24.01.2020;08:00;709;324;-
24.01.2020;09:00;704;329;-
24.01.2020;10:00;709;329;-
24.01.2020;11:00;712;329;-
24.01.2020;12:00;712;331;-
24.01.2020;13:00;711;293;-
24.01.2020;14:00;713;317;-
24.01.2020;15:00;714;288;-
24.01.2020;16:00;717;318;-
24.01.2020;17:00;713;316;-
24.01.2020;18:00;713;278;-
24.01.2020;19:00;708;263;-
24.01.2020;20:00;710;253;-
24.01.2020;21:00;716;187;-
24.01.2020;22:00;623;113;-
24.01.2020;23:00;456;83;-
25.01.2020;00:00;496;85;-
25.01.2020;01:00;474;84;-
25.01.2020;02:00;523;82;-
25.01.2020;03:00;575;82;-
25.01.2020;04:00;523;83;-
25.01.2020;05:00;422;83;-
25.01.2020;06:00;410;86;-
25.01.2020;07:00;620;132;-
25.01.2020;08:00;707;221;-
25.01.2020;09:00;714;242;-
25.01.2020;10:00;714;246;-
25.01.2020;11:00;709;328;-
25.01.2020;12:00;712;332;-
25.01.2020;13:00;709;305;-
25.01.2020;14:00;709;326;-
25.01.2020;15:00;700;331;-
25.01.2020;16:00;718;332;-
25.01.2020;17:00;716;331;-
25.01.2020;18:00;714;330;-
25.01.2020;19:00;711;328;-
25.01.2020;20:00;707;307;-
25.01.2020;21:00;695;217;-
25.01.2020;22:00;594;113;-
25.01.2020;23:00;412;83;-
26.01.2020;00:00;0;83;-
26.01.2020;01:00;0;84;-
26.01.2020;02:00;0;82;-
26.01.2020;03:00;0;81;-
26.01.2020;04:00;0;81;-
26.01.2020;05:00;0;82;-
26.01.2020;06:00;0;82;-
26.01.2020;07:00;0;82;-
26.01.2020;08:00;0;101;-
26.01.2020;09:00;0;133;-
26.01.2020;10:00;0;126;-
26.01.2020;11:00;0;85;-
26.01.2020;12:00;0;81;-
26.01.2020;13:00;0;81;-
26.01.2020;14:00;0;81;-
26.01.2020;15:00;0;95;-
26.01.2020;16:00;0;130;-
26.01.2020;17:00;0;140;-
26.01.2020;18:00;0;225;-
26.01.2020;19:00;0;187;-
26.01.2020;20:00;0;103;-
26.01.2020;21:00;0;80;-
26.01.2020;22:00;0;82;-
26.01.2020;23:00;0;79;-
27.01.2020;00:00;0;79;-
27.01.2020;01:00;0;79;-
27.01.2020;02:00;0;80;-
27.01.2020;03:00;0;80;-
27.01.2020;04:00;0;78;-
27.01.2020;05:00;0;80;-
27.01.2020;06:00;0;80;-
27.01.2020;07:00;0;81;-
27.01.2020;08:00;0;100;-
27.01.2020;09:00;0;94;-
27.01.2020;10:00;0;82;-
27.01.2020;11:00;0;83;-
27.01.2020;12:00;0;83;-
27.01.2020;13:00;0;86;-
27.01.2020;14:00;0;110;-
27.01.2020;15:00;0;112;-
27.01.2020;16:00;0;120;-
27.01.2020;17:00;0;120;-
27.01.2020;18:00;0;114;-
27.01.2020;19:00;0;93;-
27.01.2020;20:00;0;83;-
27.01.2020;21:00;0;82;-
27.01.2020;22:00;0;84;-
27.01.2020;23:00;0;83;-
28.01.2020;00:00;0;86;-
28.01.2020;01:00;0;80;-
28.01.2020;02:00;0;80;-
28.01.2020;03:00;0;79;-
28.01.2020;04:00;0;79;-
28.01.2020;05:00;0;79;-
28.01.2020;06:00;0;86;-
28.01.2020;07:00;0;167;-
28.01.2020;08:00;0;184;-
28.01.2020;09:00;0;247;-
28.01.2020;10:00;0;327;-
28.01.2020;11:00;0;256;-
28.01.2020;12:00;0;212;-
28.01.2020;13:00;0;164;-
28.01.2020;14:00;0;102;-
28.01.2020;15:00;0;82;-
28.01.2020;16:00;0;82;-
28.01.2020;17:00;0;81;-
28.01.2020;18:00;0;81;-
28.01.2020;19:00;0;81;-
28.01.2020;20:00;0;82;-
28.01.2020;21:00;0;81;-
28.01.2020;22:00;0;81;-
28.01.2020;23:00;0;81;-
29.01.2020;00:00;0;82;-
29.01.2020;01:00;0;81;-
29.01.2020;02:00;0;81;-
29.01.2020;03:00;0;81;-
29.01.2020;04:00;0;80;-
29.01.2020;05:00;0;87;-
29.01.2020;06:00;0;83;-
29.01.2020;07:00;0;82;-
29.01.2020;08:00;0;82;-
29.01.2020;09:00;0;87;-
29.01.2020;10:00;0;142;-
29.01.2020;11:00;0;106;-
29.01.2020;12:00;0;82;-
29.01.2020;13:00;0;81;-
29.01.2020;14:00;0;82;-
29.01.2020;15:00;0;81;-
29.01.2020;16:00;0;87;-
29.01.2020;17:00;0;166;-
29.01.2020;18:00;0;179;-
29.01.2020;19:00;0;163;-
29.01.2020;20:00;0;99;-
29.01.2020;21:00;0;82;-
29.01.2020;22:00;0;83;-
29.01.2020;23:00;0;82;-
30.01.2020;00:00;0;81;-
30.01.2020;01:00;0;83;-
30.01.2020;02:00;0;81;-
30.01.2020;03:00;0;81;-
30.01.2020;04:00;0;80;-
30.01.2020;05:00;0;82;-
30.01.2020;06:00;0;110;-
30.01.2020;07:00;0;118;-
30.01.2020;08:00;0;114;-
30.01.2020;09:00;0;101;-
30.01.2020;10:00;0;84;-
30.01.2020;11:00;0;83;-
30.01.2020;12:00;0;82;-
30.01.2020;13:00;0;82;-
30.01.2020;14:00;0;83;-
30.01.2020;15:00;0;83;-
30.01.2020;16:00;0;82;-
30.01.2020;17:00;0;82;-
30.01.2020;18:00;0;83;-
30.01.2020;19:00;0;82;-
30.01.2020;20:00;0;82;-
30.01.2020;21:00;0;82;-
30.01.2020;22:00;0;83;-
30.01.2020;23:00;0;83;-
31.01.2020;00:00;0;82;-
31.01.2020;01:00;0;83;-
31.01.2020;02:00;0;83;-
31.01.2020;03:00;0;81;-
31.01.2020;04:00;0;84;-
31.01.2020;05:00;0;82;-
31.01.2020;06:00;0;90;-
31.01.2020;07:00;0;109;-
31.01.2020;08:00;0;90;-
31.01.2020;09:00;0;93;-
31.01.2020;10:00;0;80;-
31.01.2020;11:00;0;80;-
31.01.2020;12:00;0;78;-
31.01.2020;13:00;0;79;-
31.01.2020;14:00;0;78;-
31.01.2020;15:00;0;79;-
31.01.2020;16:00;0;84;-
31.01.2020;17:00;0;119;-
31.01.2020;18:00;0;86;-
31.01.2020;19:00;0;80;-
31.01.2020;20:00;0;81;-
31.01.2020;21:00;0;80;-
31.01.2020;22:00;0;84;-
31.01.2020;23:00;0;84;-
01.02.2020;00:00;0;85;-
01.02.2020;01:00;0;84;-
01.02.2020;02:00;0;83;-
01.02.2020;03:00;0;85;-
01.02.2020;04:00;0;86;-
01.02.2020;05:00;0;84;-
01.02.2020;06:00;0;83;-
01.02.2020;07:00;0;83;-
01.02.2020;08:00;0;84;-
01.02.2020;09:00;0;83;-
01.02.2020;10:00;0;84;-
01.02.2020;11:00;0;85;-
01.02.2020;12:00;0;84;-
01.02.2020;13:00;0;83;-
01.02.2020;14:00;0;82;-
01.02.2020;15:00;0;81;-
01.02.2020;16:00;0;81;-
01.02.2020;17:00;0;81;-
01.02.2020;18:00;0;88;-
01.02.2020;19:00;0;127;-
01.02.2020;20:00;0;94;-
01.02.2020;21:00;0;81;-
01.02.2020;22:00;0;84;-
01.02.2020;23:00;0;83;-
02.02.2020;00:00;0;83;-
02.02.2020;01:00;0;83;-
02.02.2020;02:00;0;83;-
02.02.2020;03:00;0;84;-
02.02.2020;04:00;0;82;-
02.02.2020;05:00;0;83;-
02.02.2020;06:00;0;83;-
02.02.2020;07:00;0;83;-
02.02.2020;08:00;0;83;-
02.02.2020;09:00;0;83;-
02.02.2020;10:00;0;83;-
02.02.2020;11:00;0;84;-
02.02.2020;12:00;0;94;-
02.02.2020;13:00;0;83;-
02.02.2020;14:00;0;83;-
02.02.2020;15:00;0;83;-
02.02.2020;16:00;0;84;-
02.02.2020;17:00;0;84;-
02.02.2020;18:00;0;83;-
02.02.2020;19:00;0;83;-
02.02.2020;20:00;0;84;-
02.02.2020;21:00;0;84;-
02.02.2020;22:00;0;83;-
02.02.2020;23:00;0;83;-
03.02.2020;00:00;0;84;-
03.02.2020;01:00;0;84;-
03.02.2020;02:00;0;83;-
03.02.2020;03:00;0;83;-
03.02.2020;04:00;0;83;-
03.02.2020;05:00;0;81;-
03.02.2020;06:00;0;82;-
03.02.2020;07:00;0;82;-
03.02.2020;08:00;0;81;-
03.02.2020;09:00;0;99;-
03.02.2020;10:00;0;105;-
03.02.2020;11:00;0;109;-
03.02.2020;12:00;0;102;-
03.02.2020;13:00;0;105;-
03.02.2020;14:00;0;88;-
03.02.2020;15:00;0;92;-
03.02.2020;16:00;0;106;-
03.02.2020;17:00;0;80;-
03.02.2020;18:00;0;81;-
03.02.2020;19:00;0;80;-
