Datum;Uhrzeit;Generation_DE G[MW];Generation_DE H[MW];Generation_DE D[MW];Generation_DE E[MW];Generation_DE C[MW];Generation_DE B[MW];Generation_DE F[MW];Generation_DE K[MW];Generation_DE A[MW]
10.01.2020;01:00;282;0;0;-;152;-;-;916;-
10.01.2020;02:00;283;0;0;-;151;-;-;914;-
10.01.2020;03:00;283;0;0;-;152;-;-;924;-
10.01.2020;04:00;290;0;0;-;153;-;-;924;-
10.01.2020;05:00;356;0;0;-;205;-;-;922;-
10.01.2020;06:00;460;0;0;-;237;-;-;925;-
10.01.2020;07:00;619;0;0;-;279;-;-;942;-
10.01.2020;08:00;613;0;0;-;278;-;-;942;-
10.01.2020;09:00;617;0;0;-;277;-;-;919;-
10.01.2020;10:00;619;0;0;-;277;-;-;924;-
10.01.2020;11:00;617;0;0;-;278;-;-;924;-
10.01.2020;12:00;621;0;0;-;278;-;-;923;-
10.01.2020;13:00;618;0;0;-;277;-;-;928;-
10.01.2020;14:00;622;0;0;-;276;-;-;928;-
10.01.2020;15:00;622;0;0;-;277;-;-;921;-
10.01.2020;16:00;622;0;0;-;277;-;-;929;-
10.01.2020;17:00;624;0;0;-;277;-;-;938;-
10.01.2020;18:00;627;0;0;-;278;-;-;948;-
10.01.2020;19:00;625;0;0;-;277;-;-;949;-
10.01.2020;20:00;622;0;0;-;277;-;-;951;-
10.01.2020;21:00;622;0;0;-;277;-;-;947;-
10.01.2020;22:00;627;0;0;-;267;-;-;926;-
10.01.2020;23:00;596;0;0;-;184;-;-;927;-
11.01.2020;00:00;592;0;0;-;209;-;-;928;-
11.01.2020;01:00;385;0;0;-;188;-;-;927;-
11.01.2020;02:00;275;0;0;-;154;-;-;929;-
11.01.2020;03:00;283;0;0;-;153;-;-;928;-
11.01.2020;04:00;281;0;0;-;153;-;-;910;-
11.01.2020;05:00;279;0;0;-;153;-;-;909;-
11.01.2020;06:00;280;0;0;-;153;-;-;867;-
11.01.2020;07:00;327;0;0;-;157;-;-;931;-
11.01.2020;08:00;542;0;0;-;234;-;-;925;-
11.01.2020;09:00;549;0;0;-;276;-;-;935;-
