Datum;Uhrzeit;Generation_DE R[MW];Generation_DE Q[MW];Generation_DE P[MW];Generation_DE N[MW]
11.01.2020;07:00;0;0;459;456
11.01.2020;08:00;0;0;460;495
11.01.2020;09:00;0;0;462;502
11.01.2020;10:00;0;0;462;498
11.01.2020;11:00;0;0;462;485
11.01.2020;12:00;0;0;452;486
11.01.2020;13:00;0;0;464;500
11.01.2020;14:00;0;0;464;498
11.01.2020;15:00;0;0;463;501
11.01.2020;16:00;0;0;464;502
11.01.2020;17:00;0;0;463;501
11.01.2020;18:00;0;0;462;501
11.01.2020;19:00;0;0;462;499
11.01.2020;20:00;0;0;463;480
11.01.2020;21:00;0;0;467;484
11.01.2020;22:00;0;0;461;493
11.01.2020;23:00;0;0;405;481
12.01.2020;00:00;0;0;372;453
12.01.2020;01:00;0;0;396;485
12.01.2020;02:00;0;0;387;460
12.01.2020;03:00;0;0;367;457
12.01.2020;04:00;0;0;350;453
12.01.2020;05:00;0;0;352;456
12.01.2020;06:00;0;0;350;459
12.01.2020;07:00;0;0;394;466
12.01.2020;08:00;149;0;345;396
12.01.2020;09:00;223;0;181;395
12.01.2020;10:00;316;0;198;392
12.01.2020;11:00;339;0;180;393
12.01.2020;12:00;426;0;169;395
12.01.2020;13:00;544;0;167;393
12.01.2020;14:00;591;0;204;392
12.01.2020;15:00;587;0;208;392
12.01.2020;16:00;585;0;212;436
12.01.2020;17:00;583;0;214;486
12.01.2020;18:00;549;0;178;444
12.01.2020;19:00;585;0;203;394
12.01.2020;20:00;576;0;208;393
12.01.2020;21:00;431;0;179;394
12.01.2020;22:00;336;0;167;394
12.01.2020;23:00;372;0;166;392
13.01.2020;00:00;350;0;186;431
13.01.2020;01:00;396;0;186;430
13.01.2020;02:00;514;0;210;432
13.01.2020;03:00;519;0;205;423
13.01.2020;04:00;587;0;207;429
13.01.2020;05:00;595;0;208;488
13.01.2020;06:00;581;0;206;496
13.01.2020;07:00;580;0;205;497
13.01.2020;08:00;567;0;207;497
13.01.2020;09:00;564;0;207;500
13.01.2020;10:00;564;0;209;501
