Datum;Uhrzeit;Generation_DE GUD C 200
GT 1, GT 2, DT 1[MW]
17.01.2020;22:00;127
17.01.2020;23:00;125
18.01.2020;00:00;129
18.01.2020;01:00;132
18.01.2020;02:00;121
18.01.2020;03:00;122
18.01.2020;04:00;126
18.01.2020;05:00;132
18.01.2020;06:00;143
18.01.2020;07:00;137
18.01.2020;08:00;139
18.01.2020;09:00;154
18.01.2020;10:00;149
18.01.2020;11:00;141
18.01.2020;12:00;132
18.01.2020;13:00;120
18.01.2020;14:00;119
18.01.2020;15:00;119
18.01.2020;16:00;125
18.01.2020;17:00;116
18.01.2020;18:00;143
18.01.2020;19:00;145
18.01.2020;20:00;132
18.01.2020;21:00;123
18.01.2020;22:00;122
18.01.2020;23:00;124
19.01.2020;00:00;154
19.01.2020;01:00;150
19.01.2020;02:00;149
19.01.2020;03:00;150
19.01.2020;04:00;149
19.01.2020;05:00;148
19.01.2020;06:00;147
19.01.2020;07:00;150
19.01.2020;08:00;148
19.01.2020;09:00;143
19.01.2020;10:00;141
19.01.2020;11:00;139
19.01.2020;12:00;144
19.01.2020;13:00;145
19.01.2020;14:00;145
19.01.2020;15:00;146
19.01.2020;16:00;145
19.01.2020;17:00;142
19.01.2020;18:00;140
19.01.2020;19:00;142
19.01.2020;20:00;143
19.01.2020;21:00;144
19.01.2020;22:00;145
19.01.2020;23:00;141
20.01.2020;00:00;147
20.01.2020;01:00;149
20.01.2020;02:00;149
20.01.2020;03:00;152
20.01.2020;04:00;152
20.01.2020;05:00;152
20.01.2020;06:00;152
20.01.2020;07:00;153
20.01.2020;08:00;157
20.01.2020;09:00;157
20.01.2020;10:00;155
20.01.2020;11:00;161
20.01.2020;12:00;157
20.01.2020;13:00;156
20.01.2020;14:00;144
20.01.2020;15:00;156
20.01.2020;16:00;152
20.01.2020;17:00;152
20.01.2020;18:00;160
20.01.2020;19:00;155
20.01.2020;20:00;142
20.01.2020;21:00;145
20.01.2020;22:00;146
20.01.2020;23:00;130
21.01.2020;00:00;131
21.01.2020;01:00;126
21.01.2020;02:00;132
21.01.2020;03:00;152
21.01.2020;04:00;155
21.01.2020;05:00;154
21.01.2020;06:00;158
21.01.2020;07:00;167
21.01.2020;08:00;148
21.01.2020;09:00;145
21.01.2020;10:00;163
21.01.2020;11:00;142
21.01.2020;12:00;136
21.01.2020;13:00;150
21.01.2020;14:00;153
21.01.2020;15:00;151
21.01.2020;16:00;147
21.01.2020;17:00;147
21.01.2020;18:00;149
21.01.2020;19:00;158
21.01.2020;20:00;154
21.01.2020;21:00;161
21.01.2020;22:00;159
21.01.2020;23:00;158
22.01.2020;00:00;159
22.01.2020;01:00;157
22.01.2020;02:00;158
22.01.2020;03:00;156
22.01.2020;04:00;155
22.01.2020;05:00;153
22.01.2020;06:00;151
22.01.2020;07:00;154
22.01.2020;08:00;158
22.01.2020;09:00;154
22.01.2020;10:00;148
22.01.2020;11:00;150
22.01.2020;12:00;148
22.01.2020;13:00;166
22.01.2020;14:00;167
22.01.2020;15:00;166
22.01.2020;16:00;166
22.01.2020;17:00;150
22.01.2020;18:00;156
22.01.2020;19:00;156
22.01.2020;20:00;156
22.01.2020;21:00;157
22.01.2020;22:00;154
22.01.2020;23:00;152
23.01.2020;00:00;152
23.01.2020;01:00;146
23.01.2020;02:00;148
23.01.2020;03:00;144
23.01.2020;04:00;141
23.01.2020;05:00;139
23.01.2020;06:00;142
23.01.2020;07:00;144
23.01.2020;08:00;139
23.01.2020;09:00;137
23.01.2020;10:00;135
23.01.2020;11:00;142
23.01.2020;12:00;161
23.01.2020;13:00;169
23.01.2020;14:00;161
23.01.2020;15:00;167
23.01.2020;16:00;165
23.01.2020;17:00;161
23.01.2020;18:00;159
23.01.2020;19:00;146
23.01.2020;20:00;153
23.01.2020;21:00;153
23.01.2020;22:00;154
23.01.2020;23:00;154
