Datum;Uhrzeit;Generation_DE GT 3[MW];Generation_DE Block 4[MW];Generation_DE Block 3[MW]
17.01.2020;22:00;-;111;-
17.01.2020;23:00;-;0;-
18.01.2020;00:00;-;110;-
18.01.2020;01:00;-;98;-
18.01.2020;02:00;-;118;-
18.01.2020;03:00;-;114;-
18.01.2020;04:00;-;106;-
18.01.2020;05:00;-;121;-
18.01.2020;06:00;-;110;-
18.01.2020;07:00;-;119;-
18.01.2020;08:00;-;101;-
18.01.2020;09:00;-;110;-
18.01.2020;10:00;-;99;-
18.01.2020;11:00;-;47;-
18.01.2020;12:00;-;42;-
18.01.2020;13:00;-;42;-
18.01.2020;14:00;-;50;-
18.01.2020;15:00;-;108;-
18.01.2020;16:00;-;117;-
18.01.2020;17:00;-;106;-
18.01.2020;18:00;-;110;-
18.01.2020;19:00;-;123;-
18.01.2020;20:00;-;126;-
18.01.2020;21:00;-;89;-
18.01.2020;22:00;-;96;-
18.01.2020;23:00;-;0;-
19.01.2020;00:00;-;87;-
19.01.2020;01:00;-;80;-
19.01.2020;02:00;-;82;-
19.01.2020;03:00;-;107;-
19.01.2020;04:00;-;114;-
19.01.2020;05:00;-;108;-
19.01.2020;06:00;-;115;-
19.01.2020;07:00;-;119;-
19.01.2020;08:00;-;129;-
19.01.2020;09:00;-;130;-
19.01.2020;10:00;-;129;-
19.01.2020;11:00;-;142;-
19.01.2020;12:00;-;117;-
19.01.2020;13:00;-;126;-
19.01.2020;14:00;-;120;-
19.01.2020;15:00;-;103;-
19.01.2020;16:00;-;117;-
19.01.2020;17:00;-;115;-
19.01.2020;18:00;-;100;-
19.01.2020;19:00;-;104;-
19.01.2020;20:00;-;111;-
19.01.2020;21:00;-;110;-
19.01.2020;22:00;-;113;-
19.01.2020;23:00;-;0;-
20.01.2020;00:00;-;123;-
20.01.2020;01:00;-;111;-
20.01.2020;02:00;-;105;-
20.01.2020;03:00;-;74;-
20.01.2020;04:00;-;72;-
20.01.2020;05:00;-;69;-
20.01.2020;06:00;-;69;-
20.01.2020;07:00;-;70;-
20.01.2020;08:00;-;71;-
20.01.2020;09:00;-;80;-
20.01.2020;10:00;-;102;-
20.01.2020;11:00;-;98;-
20.01.2020;12:00;-;98;-
20.01.2020;13:00;-;98;-
20.01.2020;14:00;-;98;-
20.01.2020;15:00;-;107;-
20.01.2020;16:00;-;113;-
20.01.2020;17:00;-;114;-
20.01.2020;18:00;-;116;-
20.01.2020;19:00;-;117;-
20.01.2020;20:00;-;114;-
20.01.2020;21:00;-;108;-
20.01.2020;22:00;-;100;-
20.01.2020;23:00;-;0;-
21.01.2020;00:00;-;110;-
21.01.2020;01:00;-;108;-
21.01.2020;02:00;-;94;-
21.01.2020;03:00;-;61;-
21.01.2020;04:00;-;59;-
21.01.2020;05:00;-;59;-
21.01.2020;06:00;-;60;-
21.01.2020;07:00;-;60;-
21.01.2020;08:00;-;60;-
21.01.2020;09:00;-;71;-
21.01.2020;10:00;-;71;-
21.01.2020;11:00;-;60;-
21.01.2020;12:00;-;61;-
21.01.2020;13:00;-;61;-
21.01.2020;14:00;-;61;-
21.01.2020;15:00;-;61;-
21.01.2020;16:00;-;60;-
21.01.2020;17:00;-;63;-
21.01.2020;18:00;-;90;-
21.01.2020;19:00;-;100;-
21.01.2020;20:00;-;33;-
21.01.2020;21:00;-;0;-
21.01.2020;22:00;-;13;-
21.01.2020;23:00;-;0;-
22.01.2020;00:00;-;0;-
22.01.2020;01:00;-;63;-
22.01.2020;02:00;-;90;-
22.01.2020;03:00;-;96;-
22.01.2020;04:00;-;118;-
22.01.2020;05:00;-;120;-
22.01.2020;06:00;-;116;-
22.01.2020;07:00;-;115;-
22.01.2020;08:00;-;114;-
22.01.2020;09:00;-;114;-
22.01.2020;10:00;-;120;-
22.01.2020;11:00;-;90;-
22.01.2020;12:00;-;82;-
22.01.2020;13:00;-;85;-
22.01.2020;14:00;-;105;-
22.01.2020;15:00;-;132;-
22.01.2020;16:00;-;130;-
22.01.2020;17:00;-;113;-
22.01.2020;18:00;-;116;-
22.01.2020;19:00;-;121;-
22.01.2020;20:00;-;121;-
22.01.2020;21:00;-;121;-
22.01.2020;22:00;-;137;-
22.01.2020;23:00;-;0;-
23.01.2020;00:00;-;0;-
23.01.2020;01:00;-;137;-
23.01.2020;02:00;-;138;-
23.01.2020;03:00;-;128;-
23.01.2020;04:00;-;121;-
23.01.2020;05:00;-;123;-
23.01.2020;06:00;-;106;-
23.01.2020;07:00;-;114;-
23.01.2020;08:00;-;95;-
23.01.2020;09:00;-;120;-
23.01.2020;10:00;-;136;-
23.01.2020;11:00;-;124;-
23.01.2020;12:00;-;112;-
23.01.2020;13:00;-;128;-
23.01.2020;14:00;-;100;-
23.01.2020;15:00;-;98;-
23.01.2020;16:00;-;98;-
23.01.2020;17:00;-;99;-
23.01.2020;18:00;-;116;-
23.01.2020;19:00;-;120;-
23.01.2020;20:00;-;120;-
23.01.2020;21:00;-;117;-
23.01.2020;22:00;-;129;-
23.01.2020;23:00;-;0;-
24.01.2020;00:00;-;0;-
24.01.2020;01:00;-;117;-
24.01.2020;02:00;-;127;-
