Datum;Uhrzeit;Generation_DE D[MW];Generation_DE C[MW];Generation_DE H_VGT[MW];Generation_DE G_VGT[MW];Generation_DE F[MW];Generation_DE H[MW];Generation_DE G[MW];Generation_DE E[MW]
10.01.2020;17:00;-;-;0;0;0;665;663;312
10.01.2020;18:00;-;-;0;0;0;658;661;316
10.01.2020;19:00;-;-;0;0;0;660;662;316
10.01.2020;20:00;-;-;0;0;0;662;662;315
10.01.2020;21:00;-;-;0;0;0;662;663;316
10.01.2020;22:00;-;-;0;0;0;663;658;315
10.01.2020;23:00;-;-;0;0;0;661;662;316
11.01.2020;00:00;-;-;0;0;0;660;664;316
11.01.2020;01:00;-;-;0;0;0;661;666;317
11.01.2020;02:00;-;-;0;0;0;663;662;256
11.01.2020;03:00;-;-;0;0;0;506;662;191
11.01.2020;04:00;-;-;0;0;0;326;516;191
11.01.2020;05:00;-;-;0;0;0;281;422;191
11.01.2020;06:00;-;-;0;0;0;304;334;191
11.01.2020;07:00;-;-;0;0;0;437;338;193
11.01.2020;08:00;-;-;0;0;0;595;613;195
11.01.2020;09:00;-;-;0;0;0;663;663;201
11.01.2020;10:00;-;-;0;0;0;661;663;294
11.01.2020;11:00;-;-;0;0;0;662;662;316
11.01.2020;12:00;-;-;0;0;0;647;659;217
11.01.2020;13:00;-;-;0;0;0;406;427;192
11.01.2020;14:00;-;-;0;0;0;258;279;192
11.01.2020;15:00;-;-;0;0;0;419;340;193
11.01.2020;16:00;-;-;0;0;0;629;625;193
11.01.2020;17:00;-;-;0;0;0;663;657;215
11.01.2020;18:00;-;-;0;0;0;663;661;247
11.01.2020;19:00;-;-;0;0;0;613;659;199
11.01.2020;20:00;-;-;0;0;0;352;485;192
11.01.2020;21:00;-;-;0;0;0;293;258;194
11.01.2020;22:00;-;-;0;0;0;265;256;194
11.01.2020;23:00;-;-;0;0;0;261;255;196
12.01.2020;00:00;-;-;0;0;0;258;255;194
12.01.2020;01:00;-;-;0;0;0;257;255;194
12.01.2020;02:00;-;-;0;0;0;258;255;194
12.01.2020;03:00;-;-;0;0;0;257;255;193
12.01.2020;04:00;-;-;0;0;0;257;255;193
12.01.2020;05:00;-;-;0;0;0;266;253;190
12.01.2020;06:00;-;-;0;0;0;275;254;190
12.01.2020;07:00;-;-;0;0;0;273;255;191
12.01.2020;08:00;-;-;0;0;0;274;256;192
12.01.2020;09:00;-;-;0;0;0;274;255;193
12.01.2020;10:00;-;-;0;0;0;267;255;191
12.01.2020;11:00;-;-;0;0;0;258;255;190
12.01.2020;12:00;-;-;0;0;0;255;255;189
12.01.2020;13:00;-;-;0;0;0;248;254;189
12.01.2020;14:00;-;-;0;0;0;248;255;190
12.01.2020;15:00;-;-;0;0;0;249;254;193
12.01.2020;16:00;-;-;0;0;0;256;255;194
12.01.2020;17:00;-;-;0;0;0;256;259;196
12.01.2020;18:00;-;-;0;0;0;312;356;196
12.01.2020;19:00;-;-;0;0;0;257;326;197
12.01.2020;20:00;-;-;0;0;0;254;249;196
12.01.2020;21:00;-;-;0;0;0;254;250;195
12.01.2020;22:00;-;-;0;0;0;276;249;193
12.01.2020;23:00;-;-;0;0;0;287;250;193
13.01.2020;00:00;-;-;0;0;0;265;249;195
13.01.2020;01:00;-;-;0;0;0;252;250;194
13.01.2020;02:00;-;-;0;0;0;255;250;195
13.01.2020;03:00;-;-;0;0;0;254;249;194
13.01.2020;04:00;-;-;0;0;6;277;250;192
13.01.2020;05:00;-;-;0;0;86;465;313;213
13.01.2020;06:00;-;-;64;0;88;632;594;303
13.01.2020;07:00;-;-;182;137;99;640;636;313
13.01.2020;08:00;-;-;190;198;104;654;654;316
13.01.2020;09:00;-;-;191;199;113;654;658;321
