Datum;Uhrzeit;Generation_DE Block2[MW];Generation_DE Block1[MW]
11.01.2020;18:00;0;111
11.01.2020;19:00;0;111
11.01.2020;20:00;0;109
11.01.2020;21:00;0;108
11.01.2020;22:00;0;111
11.01.2020;23:00;0;111
12.01.2020;00:00;0;110
12.01.2020;01:00;0;110
12.01.2020;02:00;0;110
12.01.2020;03:00;0;104
12.01.2020;04:00;0;105
12.01.2020;05:00;0;105
12.01.2020;06:00;0;105
12.01.2020;07:00;0;105
12.01.2020;08:00;0;104
12.01.2020;09:00;0;105
12.01.2020;10:00;0;104
12.01.2020;11:00;0;105
12.01.2020;12:00;0;103
12.01.2020;13:00;0;110
12.01.2020;14:00;0;109
12.01.2020;15:00;0;109
12.01.2020;16:00;0;109
12.01.2020;17:00;0;111
12.01.2020;18:00;0;108
12.01.2020;19:00;0;109
12.01.2020;20:00;0;109
12.01.2020;21:00;0;109
12.01.2020;22:00;0;106
12.01.2020;23:00;0;104
13.01.2020;00:00;0;100
13.01.2020;01:00;0;108
13.01.2020;02:00;0;106
13.01.2020;03:00;0;104
13.01.2020;04:00;40;106
13.01.2020;05:00;57;110
13.01.2020;06:00;70;110
13.01.2020;07:00;91;110
13.01.2020;08:00;102;109
13.01.2020;09:00;99;102
13.01.2020;10:00;109;109
13.01.2020;11:00;110;101
13.01.2020;12:00;110;100
13.01.2020;13:00;112;101
13.01.2020;14:00;110;102
13.01.2020;15:00;110;101
13.01.2020;16:00;114;105
13.01.2020;17:00;100;89
13.01.2020;18:00;89;81
13.01.2020;19:00;80;79
13.01.2020;20:00;61;63
13.01.2020;21:00;60;69
13.01.2020;22:00;62;84
13.01.2020;23:00;54;84
14.01.2020;00:00;51;77
14.01.2020;01:00;51;71
14.01.2020;02:00;50;70
14.01.2020;03:00;49;70
14.01.2020;04:00;50;74
14.01.2020;05:00;50;81
14.01.2020;06:00;49;81
14.01.2020;07:00;49;80
14.01.2020;08:00;49;71
14.01.2020;09:00;50;75
14.01.2020;10:00;49;64
14.01.2020;11:00;48;66
14.01.2020;12:00;49;64
14.01.2020;13:00;50;65
14.01.2020;14:00;50;65
14.01.2020;15:00;49;67
14.01.2020;16:00;51;70
14.01.2020;17:00;50;69
14.01.2020;18:00;50;65
14.01.2020;19:00;49;66
14.01.2020;20:00;50;79
14.01.2020;21:00;49;89
14.01.2020;22:00;51;90
14.01.2020;23:00;59;89
15.01.2020;00:00;50;78
15.01.2020;01:00;50;70
15.01.2020;02:00;50;69
15.01.2020;03:00;50;70
15.01.2020;04:00;49;79
15.01.2020;05:00;49;84
15.01.2020;06:00;49;80
15.01.2020;07:00;49;84
15.01.2020;08:00;52;97
15.01.2020;09:00;70;125
15.01.2020;10:00;61;116
15.01.2020;11:00;51;72
15.01.2020;12:00;51;66
15.01.2020;13:00;50;64
15.01.2020;14:00;51;65
15.01.2020;15:00;50;66
15.01.2020;16:00;65;85
15.01.2020;17:00;80;99
15.01.2020;18:00;84;99
15.01.2020;19:00;71;91
15.01.2020;20:00;50;79
15.01.2020;21:00;51;85
15.01.2020;22:00;50;90
15.01.2020;23:00;51;100
16.01.2020;00:00;50;84
16.01.2020;01:00;51;70
16.01.2020;02:00;50;70
16.01.2020;03:00;50;72
16.01.2020;04:00;49;76
16.01.2020;05:00;49;87
16.01.2020;06:00;49;89
16.01.2020;07:00;66;91
16.01.2020;08:00;94;99
16.01.2020;09:00;110;124
16.01.2020;10:00;119;112
16.01.2020;11:00;97;93
16.01.2020;12:00;77;57
16.01.2020;13:00;81;47
16.01.2020;14:00;101;42
16.01.2020;15:00;126;35
16.01.2020;16:00;129;33
16.01.2020;17:00;129;63
16.01.2020;18:00;124;83
16.01.2020;19:00;90;95
16.01.2020;20:00;83;91
16.01.2020;21:00;58;87
16.01.2020;22:00;51;81
16.01.2020;23:00;50;80
17.01.2020;00:00;51;66
17.01.2020;01:00;51;65
17.01.2020;02:00;51;66
17.01.2020;03:00;51;67
17.01.2020;04:00;51;70
17.01.2020;05:00;50;85
17.01.2020;06:00;50;80
17.01.2020;07:00;50;71
17.01.2020;08:00;51;64
17.01.2020;09:00;50;65
17.01.2020;10:00;50;65
17.01.2020;11:00;51;65
17.01.2020;12:00;60;65
17.01.2020;13:00;77;65
17.01.2020;14:00;85;37
17.01.2020;15:00;86;23
17.01.2020;16:00;94;19
17.01.2020;17:00;94;20
17.01.2020;18:00;120;25
17.01.2020;19:00;93;56
17.01.2020;20:00;56;71
17.01.2020;21:00;51;63
17.01.2020;22:00;51;63
17.01.2020;23:00;50;72
18.01.2020;00:00;50;65
18.01.2020;01:00;50;64
18.01.2020;02:00;51;65
18.01.2020;03:00;51;67
18.01.2020;04:00;50;80
18.01.2020;05:00;50;87
18.01.2020;06:00;48;90
18.01.2020;07:00;51;93
18.01.2020;08:00;49;84
18.01.2020;09:00;50;89
18.01.2020;10:00;50;108
18.01.2020;11:00;50;110
18.01.2020;12:00;51;88
18.01.2020;13:00;50;86
18.01.2020;14:00;51;83
18.01.2020;15:00;50;83
18.01.2020;16:00;49;72
18.01.2020;17:00;49;70
18.01.2020;18:00;49;84
18.01.2020;19:00;49;66
18.01.2020;20:00;50;53
18.01.2020;21:00;51;50
18.01.2020;22:00;54;51
18.01.2020;23:00;49;50
19.01.2020;00:00;50;50
19.01.2020;01:00;52;51
19.01.2020;02:00;50;55
19.01.2020;03:00;50;59
19.01.2020;04:00;51;62
19.01.2020;05:00;51;67
19.01.2020;06:00;50;74
19.01.2020;07:00;49;74
19.01.2020;08:00;49;76
19.01.2020;09:00;49;78
19.01.2020;10:00;49;90
19.01.2020;11:00;50;75
19.01.2020;12:00;51;77
19.01.2020;13:00;51;75
19.01.2020;14:00;51;76
19.01.2020;15:00;51;73
19.01.2020;16:00;50;64
19.01.2020;17:00;48;65
19.01.2020;18:00;49;75
19.01.2020;19:00;48;66
19.01.2020;20:00;49;64
19.01.2020;21:00;50;51
19.01.2020;22:00;51;51
19.01.2020;23:00;51;50
20.01.2020;00:00;50;49
20.01.2020;01:00;50;49
20.01.2020;02:00;50;54
20.01.2020;03:00;50;64
20.01.2020;04:00;49;68
20.01.2020;05:00;55;75
20.01.2020;06:00;79;92
20.01.2020;07:00;116;121
20.01.2020;08:00;129;127
20.01.2020;09:00;131;128
20.01.2020;10:00;132;129
20.01.2020;11:00;132;130
20.01.2020;12:00;132;131
20.01.2020;13:00;132;132
20.01.2020;14:00;117;130
20.01.2020;15:00;118;129
20.01.2020;16:00;118;119
20.01.2020;17:00;118;113
20.01.2020;18:00;130;97
20.01.2020;19:00;115;98
20.01.2020;20:00;95;96
20.01.2020;21:00;77;79
20.01.2020;22:00;60;73
20.01.2020;23:00;49;62
21.01.2020;00:00;49;61
21.01.2020;01:00;48;59
21.01.2020;02:00;47;59
21.01.2020;03:00;48;59
21.01.2020;04:00;51;59
21.01.2020;05:00;53;78
21.01.2020;06:00;72;91
21.01.2020;07:00;87;88
21.01.2020;08:00;94;87
21.01.2020;09:00;80;83
21.01.2020;10:00;85;101
21.01.2020;11:00;90;108
21.01.2020;12:00;92;124
21.01.2020;13:00;91;130
21.01.2020;14:00;91;123
21.01.2020;15:00;90;112
21.01.2020;16:00;103;110
21.01.2020;17:00;97;110
21.01.2020;18:00;101;105
21.01.2020;19:00;95;87
21.01.2020;20:00;73;67
21.01.2020;21:00;53;65
21.01.2020;22:00;50;63
21.01.2020;23:00;48;51
22.01.2020;00:00;47;50
22.01.2020;01:00;47;50
22.01.2020;02:00;46;49
22.01.2020;03:00;47;50
22.01.2020;04:00;47;63
22.01.2020;05:00;54;86
22.01.2020;06:00;75;105
22.01.2020;07:00;96;123
22.01.2020;08:00;97;128
22.01.2020;09:00;99;132
22.01.2020;10:00;114;131
22.01.2020;11:00;133;133
22.01.2020;12:00;132;125
22.01.2020;13:00;131;125
22.01.2020;14:00;131;125
22.01.2020;15:00;132;124
22.01.2020;16:00;132;132
22.01.2020;17:00;132;133
22.01.2020;18:00;132;133
22.01.2020;19:00;133;131
22.01.2020;20:00;132;130
22.01.2020;21:00;121;114
22.01.2020;22:00;97;91
22.01.2020;23:00;59;60
23.01.2020;00:00;55;55
23.01.2020;01:00;51;59
23.01.2020;02:00;45;53
23.01.2020;03:00;46;54
23.01.2020;04:00;50;59
23.01.2020;05:00;61;86
23.01.2020;06:00;105;119
23.01.2020;07:00;133;130
23.01.2020;08:00;132;129
23.01.2020;09:00;132;130
23.01.2020;10:00;133;130
23.01.2020;11:00;133;131
23.01.2020;12:00;133;131
23.01.2020;13:00;132;131
23.01.2020;14:00;134;132
23.01.2020;15:00;133;133
23.01.2020;16:00;134;133
23.01.2020;17:00;132;131
23.01.2020;18:00;133;132
23.01.2020;19:00;132;132
23.01.2020;20:00;133;133
23.01.2020;21:00;112;116
23.01.2020;22:00;72;100
23.01.2020;23:00;54;71
24.01.2020;00:00;47;55
24.01.2020;01:00;45;54
24.01.2020;02:00;46;54
24.01.2020;03:00;46;55
24.01.2020;04:00;48;61
24.01.2020;05:00;55;91
24.01.2020;06:00;81;106
24.01.2020;07:00;116;116
24.01.2020;08:00;129;115
24.01.2020;09:00;129;118
24.01.2020;10:00;116;119
24.01.2020;11:00;128;120
24.01.2020;12:00;116;121
24.01.2020;13:00;95;122
24.01.2020;14:00;94;122
24.01.2020;15:00;90;106
24.01.2020;16:00;120;121
24.01.2020;17:00;124;123
24.01.2020;18:00;125;124
24.01.2020;19:00;123;124
24.01.2020;20:00;93;95
24.01.2020;21:00;62;72
24.01.2020;22:00;53;71
24.01.2020;23:00;51;58
25.01.2020;00:00;49;52
25.01.2020;01:00;50;49
25.01.2020;02:00;51;51
25.01.2020;03:00;50;50
25.01.2020;04:00;50;51
25.01.2020;05:00;50;53
25.01.2020;06:00;51;51
25.01.2020;07:00;51;51
25.01.2020;08:00;51;81
25.01.2020;09:00;62;108
25.01.2020;10:00;99;117
25.01.2020;11:00;133;119
25.01.2020;12:00;133;120
25.01.2020;13:00;125;121
25.01.2020;14:00;120;109
25.01.2020;15:00;96;107
25.01.2020;16:00;114;113
25.01.2020;17:00;126;124
25.01.2020;18:00;129;125
25.01.2020;19:00;128;122
25.01.2020;20:00;85;85
25.01.2020;21:00;51;55
25.01.2020;22:00;51;52
25.01.2020;23:00;50;51
26.01.2020;00:00;50;50
26.01.2020;01:00;51;50
26.01.2020;02:00;50;50
26.01.2020;03:00;51;49
26.01.2020;04:00;49;48
26.01.2020;05:00;50;49
26.01.2020;06:00;50;50
26.01.2020;07:00;50;50
26.01.2020;08:00;50;50
26.01.2020;09:00;51;50
26.01.2020;10:00;51;68
26.01.2020;11:00;50;50
26.01.2020;12:00;50;51
26.01.2020;13:00;49;52
26.01.2020;14:00;50;50
26.01.2020;15:00;50;50
26.01.2020;16:00;53;52
26.01.2020;17:00;60;68
26.01.2020;18:00;60;98
26.01.2020;19:00;54;68
26.01.2020;20:00;49;56
26.01.2020;21:00;50;52
26.01.2020;22:00;50;51
26.01.2020;23:00;51;50
27.01.2020;00:00;50;52
27.01.2020;01:00;50;63
27.01.2020;02:00;51;65
27.01.2020;03:00;50;65
27.01.2020;04:00;50;82
27.01.2020;05:00;49;98
27.01.2020;06:00;49;98
27.01.2020;07:00;51;81
27.01.2020;08:00;50;65
27.01.2020;09:00;49;66
27.01.2020;10:00;50;66
27.01.2020;11:00;50;65
27.01.2020;12:00;50;64
27.01.2020;13:00;50;64
27.01.2020;14:00;54;70
27.01.2020;15:00;53;79
27.01.2020;16:00;54;96
27.01.2020;17:00;54;112
27.01.2020;18:00;56;118
27.01.2020;19:00;55;98
27.01.2020;20:00;52;67
27.01.2020;21:00;50;66
27.01.2020;22:00;51;66
27.01.2020;23:00;51;64
28.01.2020;00:00;51;69
28.01.2020;01:00;50;77
28.01.2020;02:00;52;79
28.01.2020;03:00;51;68
28.01.2020;04:00;51;70
28.01.2020;05:00;51;98
28.01.2020;06:00;50;100
28.01.2020;07:00;50;81
28.01.2020;08:00;51;71
28.01.2020;09:00;51;76
28.01.2020;10:00;52;85
28.01.2020;11:00;53;84
28.01.2020;12:00;55;83
28.01.2020;13:00;52;85
28.01.2020;14:00;50;70
28.01.2020;15:00;49;71
28.01.2020;16:00;49;77
28.01.2020;17:00;57;79
28.01.2020;18:00;73;81
28.01.2020;19:00;52;71
28.01.2020;20:00;49;83
28.01.2020;21:00;50;98
28.01.2020;22:00;49;99
28.01.2020;23:00;50;102
29.01.2020;00:00;50;99
29.01.2020;01:00;50;90
29.01.2020;02:00;50;91
29.01.2020;03:00;51;90
29.01.2020;04:00;50;93
29.01.2020;05:00;50;101
29.01.2020;06:00;49;109
29.01.2020;07:00;51;110
29.01.2020;08:00;49;110
29.01.2020;09:00;49;106
29.01.2020;10:00;50;89
29.01.2020;11:00;52;67
29.01.2020;12:00;49;65
29.01.2020;13:00;49;64
29.01.2020;14:00;57;70
29.01.2020;15:00;52;69
29.01.2020;16:00;50;70
29.01.2020;17:00;52;71
29.01.2020;18:00;65;70
29.01.2020;19:00;64;70
29.01.2020;20:00;50;65
29.01.2020;21:00;49;65
29.01.2020;22:00;51;79
29.01.2020;23:00;51;67
30.01.2020;00:00;50;65
30.01.2020;01:00;50;65
30.01.2020;02:00;51;66
30.01.2020;03:00;50;69
30.01.2020;04:00;51;72
30.01.2020;05:00;51;95
