Datum;Uhrzeit;Generation_DE Block 2 Tiefstack[MW];Generation_DE Gas-und-Dampfturbinen Tiefstack[MW]
16.01.2020;11:00;158;-
16.01.2020;12:00;145;-
16.01.2020;13:00;143;-
16.01.2020;14:00;141;-
16.01.2020;15:00;139;-
16.01.2020;16:00;144;-
16.01.2020;17:00;144;-
16.01.2020;18:00;143;-
16.01.2020;19:00;143;-
16.01.2020;20:00;143;-
16.01.2020;21:00;143;-
16.01.2020;22:00;145;-
16.01.2020;23:00;143;-
17.01.2020;00:00;143;-
17.01.2020;01:00;140;-
17.01.2020;02:00;128;-
17.01.2020;03:00;127;-
17.01.2020;04:00;133;-
17.01.2020;05:00;140;-
17.01.2020;06:00;145;-
17.01.2020;07:00;142;-
17.01.2020;08:00;145;-
17.01.2020;09:00;148;-
17.01.2020;10:00;150;-
17.01.2020;11:00;152;-
17.01.2020;12:00;151;-
17.01.2020;13:00;153;-
17.01.2020;14:00;153;-
17.01.2020;15:00;144;-
17.01.2020;16:00;148;-
17.01.2020;17:00;140;-
17.01.2020;18:00;145;-
17.01.2020;19:00;143;-
17.01.2020;20:00;142;-
17.01.2020;21:00;141;-
17.01.2020;22:00;147;-
17.01.2020;23:00;137;-
18.01.2020;00:00;122;-
18.01.2020;01:00;115;-
18.01.2020;02:00;116;-
18.01.2020;03:00;120;-
18.01.2020;04:00;129;-
18.01.2020;05:00;139;-
18.01.2020;06:00;145;-
18.01.2020;07:00;146;-
18.01.2020;08:00;147;-
18.01.2020;09:00;147;-
18.01.2020;10:00;147;-
18.01.2020;11:00;148;-
18.01.2020;12:00;148;-
18.01.2020;13:00;147;-
18.01.2020;14:00;146;-
18.01.2020;15:00;146;-
18.01.2020;16:00;146;-
18.01.2020;17:00;144;-
18.01.2020;18:00;146;-
18.01.2020;19:00;147;-
18.01.2020;20:00;149;-
18.01.2020;21:00;146;-
18.01.2020;22:00;141;-
18.01.2020;23:00;139;-
19.01.2020;00:00;139;-
19.01.2020;01:00;141;-
19.01.2020;02:00;143;-
19.01.2020;03:00;143;-
19.01.2020;04:00;144;-
19.01.2020;05:00;144;-
19.01.2020;06:00;146;-
19.01.2020;07:00;147;-
19.01.2020;08:00;146;-
19.01.2020;09:00;146;-
19.01.2020;10:00;144;-
19.01.2020;11:00;147;-
19.01.2020;12:00;146;-
19.01.2020;13:00;149;-
19.01.2020;14:00;147;-
19.01.2020;15:00;146;-
19.01.2020;16:00;143;-
19.01.2020;17:00;144;-
19.01.2020;18:00;142;-
19.01.2020;19:00;142;-
19.01.2020;20:00;145;-
19.01.2020;21:00;148;-
19.01.2020;22:00;145;-
19.01.2020;23:00;145;-
20.01.2020;00:00;145;-
20.01.2020;01:00;140;-
20.01.2020;02:00;137;-
20.01.2020;03:00;136;-
20.01.2020;04:00;136;-
20.01.2020;05:00;137;-
20.01.2020;06:00;144;-
20.01.2020;07:00;146;-
20.01.2020;08:00;149;-
20.01.2020;09:00;149;-
20.01.2020;10:00;148;-
20.01.2020;11:00;156;-
20.01.2020;12:00;160;-
20.01.2020;13:00;158;-
20.01.2020;14:00;158;-
20.01.2020;15:00;163;-
20.01.2020;16:00;156;-
20.01.2020;17:00;150;-
20.01.2020;18:00;151;-
20.01.2020;19:00;152;-
20.01.2020;20:00;156;-
20.01.2020;21:00;150;-
20.01.2020;22:00;149;-
20.01.2020;23:00;145;-
21.01.2020;00:00;140;-
21.01.2020;01:00;137;-
21.01.2020;02:00;137;-
21.01.2020;03:00;137;-
21.01.2020;04:00;140;-
21.01.2020;05:00;147;-
21.01.2020;06:00;148;-
21.01.2020;07:00;146;-
21.01.2020;08:00;148;-
21.01.2020;09:00;151;-
21.01.2020;10:00;151;-
21.01.2020;11:00;112;-
21.01.2020;12:00;152;-
21.01.2020;13:00;150;-
21.01.2020;14:00;149;-
21.01.2020;15:00;151;-
21.01.2020;16:00;149;-
21.01.2020;17:00;147;-
21.01.2020;18:00;147;-
21.01.2020;19:00;150;-
21.01.2020;20:00;150;-
21.01.2020;21:00;144;-
21.01.2020;22:00;138;-
21.01.2020;23:00;134;-
22.01.2020;00:00;128;-
22.01.2020;01:00;126;-
22.01.2020;02:00;125;-
22.01.2020;03:00;126;-
22.01.2020;04:00;129;-
22.01.2020;05:00;136;-
22.01.2020;06:00;141;-
22.01.2020;07:00;149;-
22.01.2020;08:00;148;-
22.01.2020;09:00;147;-
22.01.2020;10:00;156;-
22.01.2020;11:00;163;-
22.01.2020;12:00;164;-
22.01.2020;13:00;164;-
22.01.2020;14:00;162;-
22.01.2020;15:00;162;-
22.01.2020;16:00;156;-
22.01.2020;17:00;156;-
22.01.2020;18:00;158;-
22.01.2020;19:00;161;-
22.01.2020;20:00;161;-
22.01.2020;21:00;162;-
22.01.2020;22:00;156;-
22.01.2020;23:00;141;-
23.01.2020;00:00;144;-
23.01.2020;01:00;145;-
23.01.2020;02:00;146;-
23.01.2020;03:00;145;-
23.01.2020;04:00;140;-
23.01.2020;05:00;140;-
23.01.2020;06:00;152;-
23.01.2020;07:00;154;-
23.01.2020;08:00;152;-
23.01.2020;09:00;150;-
23.01.2020;10:00;150;-
23.01.2020;11:00;154;-
23.01.2020;12:00;155;-
23.01.2020;13:00;155;-
23.01.2020;14:00;152;-
23.01.2020;15:00;152;-
23.01.2020;16:00;152;-
23.01.2020;17:00;152;-
23.01.2020;18:00;152;-
23.01.2020;19:00;151;-
23.01.2020;20:00;154;-
23.01.2020;21:00;150;-
23.01.2020;22:00;153;-
23.01.2020;23:00;147;-
24.01.2020;00:00;144;-
24.01.2020;01:00;143;-
24.01.2020;02:00;143;-
24.01.2020;03:00;145;-
24.01.2020;04:00;144;-
24.01.2020;05:00;143;-
24.01.2020;06:00;144;-
24.01.2020;07:00;144;-
24.01.2020;08:00;144;-
24.01.2020;09:00;145;-
24.01.2020;10:00;145;-
24.01.2020;11:00;144;-
24.01.2020;12:00;144;-
24.01.2020;13:00;144;-
24.01.2020;14:00;145;-
24.01.2020;15:00;146;-
24.01.2020;16:00;145;-
24.01.2020;17:00;145;-
24.01.2020;18:00;145;-
24.01.2020;19:00;144;-
24.01.2020;20:00;143;-
24.01.2020;21:00;148;-
24.01.2020;22:00;155;-
24.01.2020;23:00;146;-
25.01.2020;00:00;146;-
25.01.2020;01:00;146;-
25.01.2020;02:00;138;-
25.01.2020;03:00;138;-
25.01.2020;04:00;143;-
25.01.2020;05:00;141;-
25.01.2020;06:00;134;-
25.01.2020;07:00;143;-
25.01.2020;08:00;147;-
25.01.2020;09:00;146;-
25.01.2020;10:00;146;-
25.01.2020;11:00;145;-
25.01.2020;12:00;145;-
25.01.2020;13:00;146;-
25.01.2020;14:00;146;-
25.01.2020;15:00;145;-
25.01.2020;16:00;146;-
25.01.2020;17:00;146;-
25.01.2020;18:00;146;-
25.01.2020;19:00;146;-
25.01.2020;20:00;150;-
25.01.2020;21:00;149;-
25.01.2020;22:00;146;-
25.01.2020;23:00;147;-
26.01.2020;00:00;148;-
26.01.2020;01:00;136;-
26.01.2020;02:00;131;-
26.01.2020;03:00;123;-
26.01.2020;04:00;135;-
26.01.2020;05:00;134;-
26.01.2020;06:00;136;-
26.01.2020;07:00;144;-
26.01.2020;08:00;145;-
26.01.2020;09:00;147;-
26.01.2020;10:00;147;-
26.01.2020;11:00;147;-
26.01.2020;12:00;147;-
26.01.2020;13:00;147;-
26.01.2020;14:00;147;-
26.01.2020;15:00;147;-
26.01.2020;16:00;147;-
26.01.2020;17:00;147;-
26.01.2020;18:00;147;-
26.01.2020;19:00;148;-
26.01.2020;20:00;155;-
26.01.2020;21:00;148;-
26.01.2020;22:00;149;-
26.01.2020;23:00;149;-
27.01.2020;00:00;149;-
27.01.2020;01:00;146;-
27.01.2020;02:00;140;-
27.01.2020;03:00;136;-
27.01.2020;04:00;140;-
27.01.2020;05:00;144;-
27.01.2020;06:00;148;-
