Datum;Uhrzeit;Generation_DE Gas-und-Dampfturbinen Mitte[MW]
19.01.2020;01:00;373
19.01.2020;02:00;371
19.01.2020;03:00;358
19.01.2020;04:00;358
19.01.2020;05:00;369
19.01.2020;06:00;385
19.01.2020;07:00;397
19.01.2020;08:00;420
19.01.2020;09:00;425
19.01.2020;10:00;426
19.01.2020;11:00;425
19.01.2020;12:00;427
19.01.2020;13:00;427
19.01.2020;14:00;427
19.01.2020;15:00;428
19.01.2020;16:00;428
19.01.2020;17:00;427
19.01.2020;18:00;426
19.01.2020;19:00;426
19.01.2020;20:00;426
19.01.2020;21:00;426
19.01.2020;22:00;403
19.01.2020;23:00;384
20.01.2020;00:00;377
20.01.2020;01:00;378
20.01.2020;02:00;377
20.01.2020;03:00;377
20.01.2020;04:00;379
20.01.2020;05:00;416
20.01.2020;06:00;424
20.01.2020;07:00;426
20.01.2020;08:00;426
20.01.2020;09:00;425
20.01.2020;10:00;426
20.01.2020;11:00;426
20.01.2020;12:00;426
20.01.2020;13:00;426
20.01.2020;14:00;426
20.01.2020;15:00;426
20.01.2020;16:00;426
20.01.2020;17:00;426
20.01.2020;18:00;426
20.01.2020;19:00;425
20.01.2020;20:00;425
20.01.2020;21:00;426
20.01.2020;22:00;426
20.01.2020;23:00;426
21.01.2020;00:00;426
21.01.2020;01:00;412
21.01.2020;02:00;425
21.01.2020;03:00;428
21.01.2020;04:00;432
21.01.2020;05:00;432
21.01.2020;06:00;431
21.01.2020;07:00;431
21.01.2020;08:00;431
21.01.2020;09:00;431
21.01.2020;10:00;431
21.01.2020;11:00;431
21.01.2020;12:00;431
21.01.2020;13:00;432
21.01.2020;14:00;432
21.01.2020;15:00;432
21.01.2020;16:00;431
21.01.2020;17:00;431
21.01.2020;18:00;431
21.01.2020;19:00;431
21.01.2020;20:00;430
21.01.2020;21:00;430
21.01.2020;22:00;431
21.01.2020;23:00;431
22.01.2020;00:00;431
22.01.2020;01:00;432
22.01.2020;02:00;430
22.01.2020;03:00;430
22.01.2020;04:00;431
22.01.2020;05:00;431
22.01.2020;06:00;431
22.01.2020;07:00;431
22.01.2020;08:00;431
22.01.2020;09:00;431
22.01.2020;10:00;431
22.01.2020;11:00;431
22.01.2020;12:00;431
22.01.2020;13:00;431
22.01.2020;14:00;432
22.01.2020;15:00;432
22.01.2020;16:00;433
22.01.2020;17:00;433
22.01.2020;18:00;432
22.01.2020;19:00;431
22.01.2020;20:00;430
22.01.2020;21:00;431
22.01.2020;22:00;431
22.01.2020;23:00;431
23.01.2020;00:00;431
23.01.2020;01:00;432
23.01.2020;02:00;431
23.01.2020;03:00;432
23.01.2020;04:00;431
23.01.2020;05:00;431
23.01.2020;06:00;431
23.01.2020;07:00;431
23.01.2020;08:00;431
23.01.2020;09:00;430
23.01.2020;10:00;431
23.01.2020;11:00;431
23.01.2020;12:00;431
23.01.2020;13:00;431
23.01.2020;14:00;431
23.01.2020;15:00;431
23.01.2020;16:00;431
23.01.2020;17:00;430
23.01.2020;18:00;430
