Datum;Uhrzeit;Generation_DE Block 3[MW];Generation_DE Block 4[MW];Generation_DE Block 5[MW]
10.01.2020;10:00;-;46;172
10.01.2020;11:00;-;44;168
10.01.2020;12:00;-;50;164
10.01.2020;13:00;-;49;175
10.01.2020;14:00;-;41;170
10.01.2020;15:00;-;42;137
10.01.2020;16:00;-;40;127
10.01.2020;17:00;-;42;160
10.01.2020;18:00;-;38;175
10.01.2020;19:00;-;45;133
10.01.2020;20:00;-;51;138
10.01.2020;21:00;-;45;187
10.01.2020;22:00;-;40;195
10.01.2020;23:00;-;44;183
11.01.2020;00:00;-;41;182
11.01.2020;01:00;-;41;178
11.01.2020;02:00;-;36;150
11.01.2020;03:00;-;38;174
11.01.2020;04:00;-;47;164
11.01.2020;05:00;-;56;204
11.01.2020;06:00;-;54;205
11.01.2020;07:00;-;83;206
11.01.2020;08:00;-;76;203
11.01.2020;09:00;-;68;204
11.01.2020;10:00;-;59;209
11.01.2020;11:00;-;61;203
11.01.2020;12:00;-;63;210
11.01.2020;13:00;-;75;213
11.01.2020;14:00;-;64;222
11.01.2020;15:00;-;77;211
11.01.2020;16:00;-;69;199
11.01.2020;17:00;-;71;217
11.01.2020;18:00;-;88;224
11.01.2020;19:00;-;83;215
11.01.2020;20:00;-;60;217
11.01.2020;21:00;-;64;206
11.01.2020;22:00;-;39;188
11.01.2020;23:00;-;43;196
12.01.2020;00:00;-;78;216
12.01.2020;01:00;-;83;217
12.01.2020;02:00;-;78;211
12.01.2020;03:00;-;77;216
12.01.2020;04:00;-;66;210
12.01.2020;05:00;-;53;200
12.01.2020;06:00;-;54;202
12.01.2020;07:00;-;59;211
12.01.2020;08:00;-;59;219
12.01.2020;09:00;-;73;218
12.01.2020;10:00;-;80;216
12.01.2020;11:00;-;66;205
12.01.2020;12:00;-;65;213
12.01.2020;13:00;-;73;208
12.01.2020;14:00;-;55;185
12.01.2020;15:00;-;57;180
12.01.2020;16:00;-;52;180
12.01.2020;17:00;-;76;205
12.01.2020;18:00;-;69;212
12.01.2020;19:00;-;68;213
12.01.2020;20:00;-;74;201
12.01.2020;21:00;-;48;181
12.01.2020;22:00;-;42;192
12.01.2020;23:00;-;56;204
13.01.2020;00:00;-;75;212
13.01.2020;01:00;-;75;218
13.01.2020;02:00;-;84;218
13.01.2020;03:00;-;90;223
13.01.2020;04:00;-;88;224
13.01.2020;05:00;-;90;225
13.01.2020;06:00;-;83;225
13.01.2020;07:00;-;83;222
13.01.2020;08:00;-;69;213
13.01.2020;09:00;-;54;174
13.01.2020;10:00;-;55;180
13.01.2020;11:00;-;69;193
13.01.2020;12:00;-;87;213
13.01.2020;13:00;-;79;206
13.01.2020;14:00;-;77;193
13.01.2020;15:00;-;49;188
13.01.2020;16:00;-;49;191
13.01.2020;17:00;-;39;198
13.01.2020;18:00;-;65;204
13.01.2020;19:00;-;86;210
13.01.2020;20:00;-;79;204
13.01.2020;21:00;-;73;210
13.01.2020;22:00;-;67;204
13.01.2020;23:00;-;80;209
14.01.2020;00:00;-;85;219
14.01.2020;01:00;-;87;213
14.01.2020;02:00;-;82;215
14.01.2020;03:00;-;87;219
14.01.2020;04:00;-;83;217
14.01.2020;05:00;-;82;218
14.01.2020;06:00;-;70;207
