Datum;Uhrzeit;Generation_DE Kraftwerk Rheinfelden[MW]
14.01.2020;03:00;22
14.01.2020;04:00;22
14.01.2020;05:00;22
14.01.2020;06:00;21
14.01.2020;07:00;22
14.01.2020;08:00;22
14.01.2020;09:00;23
14.01.2020;10:00;23
14.01.2020;11:00;23
14.01.2020;12:00;23
14.01.2020;13:00;23
14.01.2020;14:00;23
14.01.2020;15:00;23
14.01.2020;16:00;23
14.01.2020;17:00;23
14.01.2020;18:00;23
14.01.2020;19:00;23
14.01.2020;20:00;23
14.01.2020;21:00;23
14.01.2020;22:00;23
14.01.2020;23:00;23
15.01.2020;00:00;23
15.01.2020;01:00;23
15.01.2020;02:00;23
15.01.2020;03:00;22
15.01.2020;04:00;23
15.01.2020;05:00;23
15.01.2020;06:00;23
15.01.2020;07:00;23
15.01.2020;08:00;23
15.01.2020;09:00;22
15.01.2020;10:00;22
15.01.2020;11:00;22
15.01.2020;12:00;22
15.01.2020;13:00;22
15.01.2020;14:00;22
15.01.2020;15:00;22
15.01.2020;16:00;22
15.01.2020;17:00;22
15.01.2020;18:00;23
15.01.2020;19:00;23
15.01.2020;20:00;23
15.01.2020;21:00;23
15.01.2020;22:00;23
15.01.2020;23:00;23
16.01.2020;00:00;23
16.01.2020;01:00;23
16.01.2020;02:00;23
16.01.2020;03:00;22
16.01.2020;04:00;22
16.01.2020;05:00;21
16.01.2020;06:00;21
16.01.2020;07:00;21
16.01.2020;08:00;22
16.01.2020;09:00;23
16.01.2020;10:00;23
16.01.2020;11:00;23
16.01.2020;12:00;23
16.01.2020;13:00;23
16.01.2020;14:00;23
16.01.2020;15:00;23
16.01.2020;16:00;23
16.01.2020;17:00;24
16.01.2020;18:00;24
16.01.2020;19:00;23
16.01.2020;20:00;22
16.01.2020;21:00;22
16.01.2020;22:00;21
16.01.2020;23:00;21
17.01.2020;00:00;21
17.01.2020;01:00;21
17.01.2020;02:00;21
17.01.2020;03:00;22
17.01.2020;04:00;22
17.01.2020;05:00;23
17.01.2020;06:00;22
17.01.2020;07:00;21
17.01.2020;08:00;21
17.01.2020;09:00;21
17.01.2020;10:00;21
17.01.2020;11:00;21
17.01.2020;12:00;21
17.01.2020;13:00;21
17.01.2020;14:00;21
17.01.2020;15:00;21
17.01.2020;16:00;21
17.01.2020;17:00;21
17.01.2020;18:00;21
17.01.2020;19:00;21
17.01.2020;20:00;21
17.01.2020;21:00;21
17.01.2020;22:00;21
17.01.2020;23:00;21
18.01.2020;00:00;22
18.01.2020;01:00;22
18.01.2020;02:00;22
18.01.2020;03:00;22
18.01.2020;04:00;22
18.01.2020;05:00;23
18.01.2020;06:00;23
18.01.2020;07:00;23
18.01.2020;08:00;23
18.01.2020;09:00;23
18.01.2020;10:00;23
18.01.2020;11:00;22
18.01.2020;12:00;22
18.01.2020;13:00;22
18.01.2020;14:00;22
18.01.2020;15:00;22
18.01.2020;16:00;22
18.01.2020;17:00;22
18.01.2020;18:00;22
18.01.2020;19:00;22
18.01.2020;20:00;23
18.01.2020;21:00;23
18.01.2020;22:00;23
18.01.2020;23:00;23
19.01.2020;00:00;23
19.01.2020;01:00;23
19.01.2020;02:00;23
19.01.2020;03:00;23
19.01.2020;04:00;23
19.01.2020;05:00;22
19.01.2020;06:00;22
19.01.2020;07:00;21
19.01.2020;08:00;21
19.01.2020;09:00;21
19.01.2020;10:00;21
19.01.2020;11:00;22
19.01.2020;12:00;22
19.01.2020;13:00;22
19.01.2020;14:00;22
19.01.2020;15:00;22
19.01.2020;16:00;22
19.01.2020;17:00;22
19.01.2020;18:00;22
19.01.2020;19:00;22
19.01.2020;20:00;22
19.01.2020;21:00;22
19.01.2020;22:00;22
19.01.2020;23:00;22
20.01.2020;00:00;22
20.01.2020;01:00;22
20.01.2020;02:00;22
20.01.2020;03:00;22
20.01.2020;04:00;21
20.01.2020;05:00;21
20.01.2020;06:00;21
20.01.2020;07:00;22
20.01.2020;08:00;23
20.01.2020;09:00;23
20.01.2020;10:00;23
20.01.2020;11:00;23
20.01.2020;12:00;23
20.01.2020;13:00;23
20.01.2020;14:00;24
20.01.2020;15:00;24
20.01.2020;16:00;23
20.01.2020;17:00;23
20.01.2020;18:00;23
20.01.2020;19:00;22
20.01.2020;20:00;21
20.01.2020;21:00;21
20.01.2020;22:00;21
20.01.2020;23:00;21
21.01.2020;00:00;21
21.01.2020;01:00;22
21.01.2020;02:00;22
21.01.2020;03:00;22
21.01.2020;04:00;22
21.01.2020;05:00;22
21.01.2020;06:00;22
21.01.2020;07:00;22
21.01.2020;08:00;22
21.01.2020;09:00;23
21.01.2020;10:00;23
21.01.2020;11:00;23
21.01.2020;12:00;23
21.01.2020;13:00;22
21.01.2020;14:00;22
21.01.2020;15:00;22
21.01.2020;16:00;22
21.01.2020;17:00;23
21.01.2020;18:00;23
21.01.2020;19:00;23
21.01.2020;20:00;24
21.01.2020;21:00;24
21.01.2020;22:00;23
21.01.2020;23:00;23
22.01.2020;00:00;23
22.01.2020;01:00;23
22.01.2020;02:00;22
22.01.2020;03:00;22
22.01.2020;04:00;21
22.01.2020;05:00;21
22.01.2020;06:00;21
22.01.2020;07:00;21
22.01.2020;08:00;21
22.01.2020;09:00;22
22.01.2020;10:00;23
22.01.2020;11:00;23
22.01.2020;12:00;23
22.01.2020;13:00;23
22.01.2020;14:00;23
22.01.2020;15:00;23
22.01.2020;16:00;23
22.01.2020;17:00;23
22.01.2020;18:00;24
22.01.2020;19:00;24
22.01.2020;20:00;23
22.01.2020;21:00;22
22.01.2020;22:00;21
22.01.2020;23:00;21
23.01.2020;00:00;21
23.01.2020;01:00;21
23.01.2020;02:00;21
23.01.2020;03:00;21
23.01.2020;04:00;21
23.01.2020;05:00;21
23.01.2020;06:00;21
23.01.2020;07:00;21
23.01.2020;08:00;21
23.01.2020;09:00;22
23.01.2020;10:00;23
23.01.2020;11:00;23
23.01.2020;12:00;23
23.01.2020;13:00;23
23.01.2020;14:00;23
23.01.2020;15:00;23
23.01.2020;16:00;22
23.01.2020;17:00;23
23.01.2020;18:00;23
23.01.2020;19:00;24
23.01.2020;20:00;24
23.01.2020;21:00;24
23.01.2020;22:00;23
23.01.2020;23:00;23
24.01.2020;00:00;22
24.01.2020;01:00;22
24.01.2020;02:00;22
24.01.2020;03:00;22
24.01.2020;04:00;21
24.01.2020;05:00;21
24.01.2020;06:00;21
24.01.2020;07:00;21
24.01.2020;08:00;22
24.01.2020;09:00;22
24.01.2020;10:00;22
24.01.2020;11:00;22
24.01.2020;12:00;22
24.01.2020;13:00;22
24.01.2020;14:00;22
24.01.2020;15:00;22
24.01.2020;16:00;23
24.01.2020;17:00;23
24.01.2020;18:00;24
24.01.2020;19:00;24
24.01.2020;20:00;23
24.01.2020;21:00;23
24.01.2020;22:00;22
24.01.2020;23:00;22
25.01.2020;00:00;22
25.01.2020;01:00;22
25.01.2020;02:00;22
25.01.2020;03:00;22
25.01.2020;04:00;21
25.01.2020;05:00;21
25.01.2020;06:00;21
25.01.2020;07:00;21
25.01.2020;08:00;21
25.01.2020;09:00;21
25.01.2020;10:00;21
25.01.2020;11:00;23
25.01.2020;12:00;24
25.01.2020;13:00;22
25.01.2020;14:00;22
25.01.2020;15:00;23
25.01.2020;16:00;23
25.01.2020;17:00;23
25.01.2020;18:00;24
25.01.2020;19:00;25
25.01.2020;20:00;24
25.01.2020;21:00;23
25.01.2020;22:00;22
