Datum;Uhrzeit;Generation_DE A[MW];Generation_DE B[MW]
20.01.2020;12:00;648;747
20.01.2020;13:00;680;663
20.01.2020;14:00;670;459
20.01.2020;15:00;674;440
20.01.2020;16:00;671;435
20.01.2020;17:00;663;440
20.01.2020;18:00;648;445
20.01.2020;19:00;628;473
20.01.2020;20:00;619;0
20.01.2020;21:00;621;0
20.01.2020;22:00;605;0
20.01.2020;23:00;619;0
21.01.2020;00:00;625;0
21.01.2020;01:00;559;0
21.01.2020;02:00;539;0
21.01.2020;03:00;547;0
21.01.2020;04:00;552;0
21.01.2020;05:00;612;0
21.01.2020;06:00;624;0
21.01.2020;07:00;619;0
21.01.2020;08:00;618;0
21.01.2020;09:00;612;0
21.01.2020;10:00;618;0
21.01.2020;11:00;624;0
21.01.2020;12:00;621;0
21.01.2020;13:00;615;0
21.01.2020;14:00;598;0
21.01.2020;15:00;608;0
21.01.2020;16:00;603;0
21.01.2020;17:00;608;2
21.01.2020;18:00;614;314
21.01.2020;19:00;602;583
21.01.2020;20:00;637;675
21.01.2020;21:00;649;725
21.01.2020;22:00;656;729
21.01.2020;23:00;661;734
22.01.2020;00:00;659;734
22.01.2020;01:00;651;735
22.01.2020;02:00;659;737
22.01.2020;03:00;669;735
22.01.2020;04:00;674;723
22.01.2020;05:00;696;723
22.01.2020;06:00;686;718
22.01.2020;07:00;687;719
22.01.2020;08:00;679;718
22.01.2020;09:00;679;721
22.01.2020;10:00;672;724
22.01.2020;11:00;680;731
22.01.2020;12:00;673;730
22.01.2020;13:00;674;732
22.01.2020;14:00;671;730
22.01.2020;15:00;663;724
22.01.2020;16:00;677;717
22.01.2020;17:00;670;710
22.01.2020;18:00;663;719
22.01.2020;19:00;678;716
22.01.2020;20:00;676;718
22.01.2020;21:00;686;715
22.01.2020;22:00;679;718
22.01.2020;23:00;669;716
23.01.2020;00:00;665;716
23.01.2020;01:00;668;719
23.01.2020;02:00;674;720
23.01.2020;03:00;675;720
23.01.2020;04:00;678;723
23.01.2020;05:00;703;715
23.01.2020;06:00;707;720
23.01.2020;07:00;701;720
23.01.2020;08:00;704;718
23.01.2020;09:00;706;720
23.01.2020;10:00;697;718
23.01.2020;11:00;699;718
23.01.2020;12:00;691;720
23.01.2020;13:00;692;725
23.01.2020;14:00;693;723
23.01.2020;15:00;685;723
23.01.2020;16:00;685;717
23.01.2020;17:00;687;716
23.01.2020;18:00;691;714
23.01.2020;19:00;677;720
23.01.2020;20:00;684;726
23.01.2020;21:00;696;723
23.01.2020;22:00;687;731
23.01.2020;23:00;688;728
24.01.2020;00:00;688;728
24.01.2020;01:00;681;729
24.01.2020;02:00;685;725
24.01.2020;03:00;683;724
24.01.2020;04:00;683;716
24.01.2020;05:00;689;720
24.01.2020;06:00;696;709
