Datum;Uhrzeit;Generation_DE B[MW];Generation_DE C[MW];Generation_DE F[MW];Generation_DE E[MW];Generation_DE D[MW]
15.01.2020;10:00;224;187;-;-;-
15.01.2020;11:00;212;203;-;-;-
15.01.2020;12:00;258;259;-;-;-
15.01.2020;13:00;207;207;-;-;-
15.01.2020;14:00;218;220;-;-;-
15.01.2020;15:00;225;224;-;-;-
15.01.2020;16:00;214;207;-;-;-
15.01.2020;17:00;215;206;-;-;-
15.01.2020;18:00;214;206;-;-;-
15.01.2020;19:00;215;167;-;-;-
15.01.2020;20:00;210;161;-;-;-
15.01.2020;21:00;206;158;-;-;-
15.01.2020;22:00;205;144;-;-;-
15.01.2020;23:00;205;149;-;-;-
16.01.2020;00:00;205;150;-;-;-
16.01.2020;01:00;187;136;-;-;-
16.01.2020;02:00;165;136;-;-;-
16.01.2020;03:00;166;138;-;-;-
16.01.2020;04:00;164;137;-;-;-
16.01.2020;05:00;178;144;-;-;-
16.01.2020;06:00;185;173;-;-;-
16.01.2020;07:00;185;178;-;-;-
16.01.2020;08:00;185;190;-;-;-
16.01.2020;09:00;206;197;-;-;-
16.01.2020;10:00;246;236;-;-;-
16.01.2020;11:00;262;264;-;-;-
16.01.2020;12:00;262;235;-;-;-
16.01.2020;13:00;258;235;-;-;-
16.01.2020;14:00;253;234;-;-;-
16.01.2020;15:00;252;235;-;-;-
16.01.2020;16:00;250;225;-;-;-
16.01.2020;17:00;243;215;-;-;-
16.01.2020;18:00;241;215;-;-;-
16.01.2020;19:00;244;217;-;-;-
16.01.2020;20:00;242;216;-;-;-
16.01.2020;21:00;235;215;-;-;-
16.01.2020;22:00;224;216;-;-;-
16.01.2020;23:00;223;196;-;-;-
17.01.2020;00:00;214;221;-;-;-
17.01.2020;01:00;205;192;-;-;-
17.01.2020;02:00;160;147;-;-;-
17.01.2020;03:00;145;147;-;-;-
17.01.2020;04:00;163;156;-;-;-
17.01.2020;05:00;214;202;-;-;-
