Datum,Uhrzeit,Gesamt[MWh]
04.01.2020,14:30,14353
04.01.2020,14:45,14255
04.01.2020,15:00,14188
04.01.2020,15:15,14194
04.01.2020,15:30,14155
04.01.2020,15:45,14114
04.01.2020,16:00,14359
04.01.2020,16:15,14434
04.01.2020,16:30,14586
04.01.2020,16:45,14765
04.01.2020,17:00,14913
04.01.2020,17:15,15114
04.01.2020,17:30,15168
04.01.2020,17:45,15242
04.01.2020,18:00,15204
04.01.2020,18:15,15060
04.01.2020,18:30,14914
04.01.2020,18:45,14794
04.01.2020,19:00,14777
04.01.2020,19:15,14604
04.01.2020,19:30,14465
04.01.2020,19:45,14247
04.01.2020,20:00,13979
04.01.2020,20:15,13765
04.01.2020,20:30,13520
04.01.2020,20:45,13340
04.01.2020,21:00,13140
04.01.2020,21:15,13063
04.01.2020,21:30,12972
04.01.2020,21:45,12854
04.01.2020,22:00,12872
04.01.2020,22:15,12744
04.01.2020,22:30,12594
04.01.2020,22:45,12513
04.01.2020,23:00,12269
04.01.2020,23:15,12077
04.01.2020,23:30,11894
04.01.2020,23:45,11755
05.01.2020,00:00,11398
05.01.2020,00:15,11266
05.01.2020,00:30,11182
05.01.2020,00:45,11035
05.01.2020,01:00,10836
05.01.2020,01:15,10683
05.01.2020,01:30,10596
05.01.2020,01:45,10524
05.01.2020,02:00,10500
05.01.2020,02:15,10485
05.01.2020,02:30,10482
05.01.2020,02:45,10398
05.01.2020,03:00,10216
05.01.2020,03:15,10153
05.01.2020,03:30,10191
05.01.2020,03:45,10193
05.01.2020,04:00,10219
05.01.2020,04:15,10219
05.01.2020,04:30,10131
05.01.2020,04:45,10186
05.01.2020,05:00,10229
05.01.2020,05:15,10166
05.01.2020,05:30,10037
05.01.2020,05:45,9978
05.01.2020,06:00,9922
05.01.2020,06:15,9871
05.01.2020,06:30,9910
05.01.2020,06:45,10048
05.01.2020,07:00,10333
05.01.2020,07:15,10470
05.01.2020,07:30,10497
05.01.2020,07:45,10654
05.01.2020,08:00,10739
05.01.2020,08:15,10806
05.01.2020,08:30,10999
05.01.2020,08:45,11208
05.01.2020,09:00,11423
05.01.2020,09:15,11669
05.01.2020,09:30,11877
05.01.2020,09:45,12076
05.01.2020,10:00,12341
05.01.2020,10:15,12529
05.01.2020,10:30,12721
05.01.2020,10:45,12807
05.01.2020,11:00,12943
05.01.2020,11:15,13201
05.01.2020,11:30,13291
05.01.2020,11:45,13310
05.01.2020,12:00,13264
05.01.2020,12:15,13233
05.01.2020,12:30,13202
05.01.2020,12:45,13126
05.01.2020,13:00,13053
05.01.2020,13:15,12924
05.01.2020,13:30,12849
05.01.2020,13:45,12742
05.01.2020,14:00,12742
05.01.2020,14:15,12638
05.01.2020,14:30,12542
05.01.2020,14:45,12548
05.01.2020,15:00,12588
05.01.2020,15:15,12544
05.01.2020,15:30,12500
05.01.2020,15:45,12545
05.01.2020,16:00,12653
05.01.2020,16:15,12729
05.01.2020,16:30,12970
05.01.2020,16:45,13300
05.01.2020,17:00,13663
05.01.2020,17:15,13826
05.01.2020,17:30,13959
05.01.2020,17:45,14153
05.01.2020,18:00,14202
05.01.2020,18:15,14155
05.01.2020,18:30,14063
05.01.2020,18:45,13993
05.01.2020,19:00,13896
05.01.2020,19:15,13769
05.01.2020,19:30,13616
05.01.2020,19:45,13527
05.01.2020,20:00,13343
05.01.2020,20:15,13183
05.01.2020,20:30,13024
05.01.2020,20:45,12928
05.01.2020,21:00,12850
05.01.2020,21:15,12739
05.01.2020,21:30,12706
05.01.2020,21:45,12678
05.01.2020,22:00,12840
05.01.2020,22:15,12748
05.01.2020,22:30,12530
05.01.2020,22:45,12321
05.01.2020,23:00,12093
05.01.2020,23:15,11915
05.01.2020,23:30,11773
05.01.2020,23:45,11618
06.01.2020,00:00,11402
06.01.2020,00:15,11309
06.01.2020,00:30,11310
06.01.2020,00:45,11205
06.01.2020,01:00,11058
06.01.2020,01:15,10980
06.01.2020,01:30,10859
06.01.2020,01:45,10749
06.01.2020,02:00,10756
06.01.2020,02:15,10699
06.01.2020,02:30,10671
06.01.2020,02:45,10686
