Datum,Uhrzeit,Generation_DE Iffezheim M10M5[MW]
13.01.2020,09:00,61
13.01.2020,10:00,67
13.01.2020,11:00,71
13.01.2020,12:00,66
13.01.2020,13:00,68
13.01.2020,14:00,71
13.01.2020,15:00,69
13.01.2020,16:00,69
13.01.2020,17:00,70
13.01.2020,18:00,70
13.01.2020,19:00,70
13.01.2020,20:00,73
13.01.2020,21:00,74
13.01.2020,22:00,73
13.01.2020,23:00,74
14.01.2020,00:00,70
14.01.2020,01:00,69
14.01.2020,02:00,72
14.01.2020,03:00,71
14.01.2020,04:00,67
14.01.2020,05:00,66
14.01.2020,06:00,69
14.01.2020,07:00,68
14.01.2020,08:00,66
14.01.2020,09:00,66
14.01.2020,10:00,65
14.01.2020,11:00,63
14.01.2020,12:00,63
14.01.2020,13:00,64
14.01.2020,14:00,70
14.01.2020,15:00,72
14.01.2020,16:00,69
14.01.2020,17:00,68
14.01.2020,18:00,69
14.01.2020,19:00,69
14.01.2020,20:00,67
14.01.2020,21:00,66
14.01.2020,22:00,66
14.01.2020,23:00,64
15.01.2020,00:00,65
15.01.2020,01:00,67
15.01.2020,02:00,66
15.01.2020,03:00,64
15.01.2020,04:00,66
15.01.2020,05:00,65
15.01.2020,06:00,63
15.01.2020,07:00,63
15.01.2020,08:00,65
15.01.2020,09:00,64
15.01.2020,10:00,62
15.01.2020,11:00,64
15.01.2020,12:00,63
15.01.2020,13:00,61
15.01.2020,14:00,64
15.01.2020,15:00,56
15.01.2020,16:00,59
15.01.2020,17:00,61
15.01.2020,18:00,61
15.01.2020,19:00,61
15.01.2020,20:00,59
15.01.2020,21:00,62
15.01.2020,22:00,62
15.01.2020,23:00,60
16.01.2020,00:00,63
16.01.2020,01:00,62
16.01.2020,02:00,61
16.01.2020,03:00,63
16.01.2020,04:00,63
16.01.2020,05:00,64
16.01.2020,06:00,64
16.01.2020,07:00,63
16.01.2020,08:00,64
16.01.2020,09:00,63
16.01.2020,10:00,62
16.01.2020,11:00,62
16.01.2020,12:00,66
16.01.2020,13:00,66
16.01.2020,14:00,64
16.01.2020,15:00,64
16.01.2020,16:00,65
16.01.2020,17:00,66
16.01.2020,18:00,67
16.01.2020,19:00,67
16.01.2020,20:00,68
16.01.2020,21:00,67
16.01.2020,22:00,62
16.01.2020,23:00,63
17.01.2020,00:00,62
17.01.2020,01:00,59
17.01.2020,02:00,63
17.01.2020,03:00,61
17.01.2020,04:00,60
17.01.2020,05:00,61
17.01.2020,06:00,62
17.01.2020,07:00,63
17.01.2020,08:00,65
17.01.2020,09:00,61
17.01.2020,10:00,64
17.01.2020,11:00,59
17.01.2020,12:00,63
17.01.2020,13:00,59
17.01.2020,14:00,59
17.01.2020,15:00,61
17.01.2020,16:00,60
17.01.2020,17:00,60
17.01.2020,18:00,60
17.01.2020,19:00,60
17.01.2020,20:00,60
17.01.2020,21:00,61
17.01.2020,22:00,62
17.01.2020,23:00,62
18.01.2020,00:00,61
18.01.2020,01:00,61
18.01.2020,02:00,61
18.01.2020,03:00,61
18.01.2020,04:00,63
18.01.2020,05:00,63
18.01.2020,06:00,63
18.01.2020,07:00,64
18.01.2020,08:00,66
18.01.2020,09:00,67
18.01.2020,10:00,66
18.01.2020,11:00,65
18.01.2020,12:00,65
18.01.2020,13:00,66
18.01.2020,14:00,64
18.01.2020,15:00,63
18.01.2020,16:00,62
18.01.2020,17:00,59
18.01.2020,18:00,60
18.01.2020,19:00,59
18.01.2020,20:00,59
18.01.2020,21:00,59
18.01.2020,22:00,62
18.01.2020,23:00,63
19.01.2020,00:00,62
19.01.2020,01:00,62
19.01.2020,02:00,63
19.01.2020,03:00,64
19.01.2020,04:00,63
19.01.2020,05:00,62
19.01.2020,06:00,64
19.01.2020,07:00,64
19.01.2020,08:00,61
19.01.2020,09:00,67
19.01.2020,10:00,65
19.01.2020,11:00,64
19.01.2020,12:00,65
19.01.2020,13:00,64
19.01.2020,14:00,62
19.01.2020,15:00,63
19.01.2020,16:00,60
19.01.2020,17:00,61
19.01.2020,18:00,59
19.01.2020,19:00,59
19.01.2020,20:00,59
19.01.2020,21:00,61
19.01.2020,22:00,61
19.01.2020,23:00,61
20.01.2020,00:00,61
20.01.2020,01:00,62
20.01.2020,02:00,61
20.01.2020,03:00,59
20.01.2020,04:00,60
20.01.2020,05:00,62
20.01.2020,06:00,63
20.01.2020,07:00,59
20.01.2020,08:00,58
20.01.2020,09:00,59
20.01.2020,10:00,60
20.01.2020,11:00,64
20.01.2020,12:00,64
20.01.2020,13:00,62
20.01.2020,14:00,63
20.01.2020,15:00,63
20.01.2020,16:00,64
20.01.2020,17:00,66
20.01.2020,18:00,65
20.01.2020,19:00,63
20.01.2020,20:00,62
20.01.2020,21:00,63
20.01.2020,22:00,61
20.01.2020,23:00,58
21.01.2020,00:00,62
21.01.2020,01:00,60
21.01.2020,02:00,59
21.01.2020,03:00,61
21.01.2020,04:00,63
21.01.2020,05:00,61
21.01.2020,06:00,62
21.01.2020,07:00,60
21.01.2020,08:00,59
21.01.2020,09:00,58
21.01.2020,10:00,60
21.01.2020,11:00,61
21.01.2020,12:00,64
21.01.2020,13:00,65
21.01.2020,14:00,60
21.01.2020,15:00,61
21.01.2020,16:00,60
21.01.2020,17:00,58
21.01.2020,18:00,59
21.01.2020,19:00,58
21.01.2020,20:00,61
21.01.2020,21:00,63
21.01.2020,22:00,65
21.01.2020,23:00,64
22.01.2020,00:00,66
22.01.2020,01:00,63
22.01.2020,02:00,65
22.01.2020,03:00,65
22.01.2020,04:00,61
22.01.2020,05:00,61
22.01.2020,06:00,60
22.01.2020,07:00,55
22.01.2020,08:00,57
22.01.2020,09:00,59
22.01.2020,10:00,60
22.01.2020,11:00,60
22.01.2020,12:00,65
22.01.2020,13:00,65
22.01.2020,14:00,63
22.01.2020,15:00,62
22.01.2020,16:00,65
22.01.2020,17:00,65
22.01.2020,18:00,63
22.01.2020,19:00,63
22.01.2020,20:00,63
22.01.2020,21:00,66
22.01.2020,22:00,66
22.01.2020,23:00,62
23.01.2020,00:00,60
23.01.2020,01:00,60
23.01.2020,02:00,59
23.01.2020,03:00,63
23.01.2020,04:00,61
23.01.2020,05:00,61
23.01.2020,06:00,58
23.01.2020,07:00,57
23.01.2020,08:00,60
23.01.2020,09:00,58
23.01.2020,10:00,60
23.01.2020,11:00,57
23.01.2020,12:00,61
23.01.2020,13:00,66
23.01.2020,14:00,63
23.01.2020,15:00,64
23.01.2020,16:00,64
23.01.2020,17:00,62
23.01.2020,18:00,61
23.01.2020,19:00,61
23.01.2020,20:00,62
23.01.2020,21:00,65
23.01.2020,22:00,66
23.01.2020,23:00,66
24.01.2020,00:00,67
24.01.2020,01:00,62
24.01.2020,02:00,62
24.01.2020,03:00,62
24.01.2020,04:00,60
24.01.2020,05:00,61
24.01.2020,06:00,59
24.01.2020,07:00,58
24.01.2020,08:00,57
24.01.2020,09:00,55
24.01.2020,10:00,57
24.01.2020,11:00,57
24.01.2020,12:00,60
24.01.2020,13:00,59
24.01.2020,14:00,57
24.01.2020,15:00,58
24.01.2020,16:00,60
24.01.2020,17:00,59
24.01.2020,18:00,59
24.01.2020,19:00,63
24.01.2020,20:00,67
24.01.2020,21:00,71
24.01.2020,22:00,71
24.01.2020,23:00,66
25.01.2020,00:00,65
25.01.2020,01:00,66
25.01.2020,02:00,63
25.01.2020,03:00,64
25.01.2020,04:00,64
25.01.2020,05:00,63
25.01.2020,06:00,62
