Datum,Uhrzeit,Generation_DE C2[MW],Generation_DE B2[MW],Generation_DE D[MW],Generation_DE C1[MW],Generation_DE B1[MW]
10.01.2020,04:00,0,0,820,0,0
10.01.2020,05:00,0,0,833,0,0
10.01.2020,06:00,0,0,823,0,0
10.01.2020,07:00,0,0,836,0,0
10.01.2020,08:00,0,0,837,0,0
10.01.2020,09:00,0,0,837,0,0
10.01.2020,10:00,0,0,838,0,0
10.01.2020,11:00,0,0,836,0,0
10.01.2020,12:00,0,0,838,0,0
10.01.2020,13:00,0,0,839,0,0
10.01.2020,14:00,62,0,840,0,0
10.01.2020,15:00,123,0,833,0,0
10.01.2020,16:00,137,0,840,0,0
10.01.2020,17:00,137,0,826,0,0
10.01.2020,18:00,136,0,849,0,0
10.01.2020,19:00,135,0,852,0,0
10.01.2020,20:00,135,0,818,0,0
10.01.2020,21:00,60,0,841,0,0
10.01.2020,22:00,0,0,849,0,0
10.01.2020,23:00,0,0,817,0,0
11.01.2020,00:00,0,0,838,0,0
11.01.2020,01:00,0,0,846,0,0
11.01.2020,02:00,0,0,849,0,0
11.01.2020,03:00,0,0,844,0,0
11.01.2020,04:00,0,0,851,0,0
11.01.2020,05:00,0,0,847,0,0
11.01.2020,06:00,0,0,848,0,0
11.01.2020,07:00,0,0,851,0,0
11.01.2020,08:00,0,0,851,0,0
11.01.2020,09:00,0,0,851,0,0
11.01.2020,10:00,0,0,828,0,0
11.01.2020,11:00,0,0,836,0,0
11.01.2020,12:00,0,0,846,0,0
11.01.2020,13:00,0,0,849,0,0
11.01.2020,14:00,0,0,853,0,0
11.01.2020,15:00,0,0,846,0,0
11.01.2020,16:00,0,0,853,0,0
11.01.2020,17:00,0,0,849,0,0
11.01.2020,18:00,0,0,845,0,0
11.01.2020,19:00,0,0,755,0,0
11.01.2020,20:00,0,0,40,0,0
11.01.2020,21:00,0,0,0,0,0
11.01.2020,22:00,0,0,0,0,0
11.01.2020,23:00,0,0,0,0,0
12.01.2020,00:00,0,0,0,0,0
12.01.2020,01:00,0,0,0,0,0
12.01.2020,02:00,0,0,0,0,0
12.01.2020,03:00,0,0,0,0,0
12.01.2020,04:00,0,0,0,0,0
12.01.2020,05:00,0,0,0,0,0
12.01.2020,06:00,0,0,0,0,0
12.01.2020,07:00,0,0,0,0,0
12.01.2020,08:00,0,0,0,0,0
12.01.2020,09:00,0,0,0,0,0
12.01.2020,10:00,0,0,0,0,0
12.01.2020,11:00,0,0,0,0,0
12.01.2020,12:00,0,0,0,0,0
12.01.2020,13:00,0,0,0,0,0
12.01.2020,14:00,0,0,0,0,0
12.01.2020,15:00,0,0,0,0,0
12.01.2020,16:00,0,0,0,0,0
12.01.2020,17:00,0,0,0,0,0
12.01.2020,18:00,0,0,0,0,0
12.01.2020,19:00,0,0,0,0,0
12.01.2020,20:00,0,0,0,0,0
12.01.2020,21:00,0,0,0,0,0
12.01.2020,22:00,0,0,0,0,0
12.01.2020,23:00,0,0,0,0,0
13.01.2020,00:00,0,0,0,0,0
13.01.2020,01:00,0,0,0,0,0
13.01.2020,02:00,0,0,0,0,0
13.01.2020,03:00,0,0,0,0,0
13.01.2020,04:00,0,0,16,0,0
13.01.2020,05:00,0,0,74,0,0
13.01.2020,06:00,109,102,398,0,0
13.01.2020,07:00,130,132,784,0,0
13.01.2020,08:00,224,223,840,0,0
13.01.2020,09:00,422,419,840,0,0
13.01.2020,10:00,482,482,841,0,0
13.01.2020,11:00,482,482,842,0,0
13.01.2020,12:00,482,482,842,0,0
13.01.2020,13:00,396,392,841,0,0
13.01.2020,14:00,216,213,839,0,0
13.01.2020,15:00,388,297,840,0,0
13.01.2020,16:00,460,458,840,0,0
13.01.2020,17:00,258,433,840,0,0
13.01.2020,18:00,169,428,838,0,0
13.01.2020,19:00,130,307,836,0,0
13.01.2020,20:00,0,60,609,0,0
13.01.2020,21:00,0,0,0,0,0
13.01.2020,22:00,0,0,0,0,0
13.01.2020,23:00,0,0,0,0,0
14.01.2020,00:00,0,0,0,0,0
14.01.2020,01:00,0,0,0,0,0
14.01.2020,02:00,0,0,0,0,0
14.01.2020,03:00,0,0,0,0,0
14.01.2020,04:00,0,0,0,0,0
14.01.2020,05:00,0,0,0,0,0
14.01.2020,06:00,119,0,203,0,0
14.01.2020,07:00,215,0,620,0,0
14.01.2020,08:00,354,0,689,0,0
14.01.2020,09:00,319,0,515,0,0
14.01.2020,10:00,301,0,492,0,0
14.01.2020,11:00,351,0,592,0,0
14.01.2020,12:00,28,0,520,0,0
14.01.2020,13:00,0,0,805,0,0
14.01.2020,14:00,0,0,819,0,0
14.01.2020,15:00,0,0,814,0,0
14.01.2020,16:00,0,0,818,0,0
14.01.2020,17:00,0,0,819,0,0
14.01.2020,18:00,0,0,241,0,0
14.01.2020,19:00,0,0,0,0,0
14.01.2020,20:00,0,0,0,0,0
14.01.2020,21:00,0,0,0,0,0
14.01.2020,22:00,0,0,0,0,0
14.01.2020,23:00,0,0,0,0,0
15.01.2020,00:00,0,0,0,0,0
15.01.2020,01:00,0,0,0,0,0
15.01.2020,02:00,0,0,0,0,0
15.01.2020,03:00,0,0,0,0,0
15.01.2020,04:00,0,0,0,0,0
15.01.2020,05:00,0,0,0,0,0
15.01.2020,06:00,0,0,0,0,0
15.01.2020,07:00,0,0,0,0,0
15.01.2020,08:00,0,0,0,0,0
15.01.2020,09:00,0,0,0,0,0
15.01.2020,10:00,0,0,0,0,0
15.01.2020,11:00,0,0,0,0,0
15.01.2020,12:00,0,0,0,0,0
15.01.2020,13:00,0,0,0,0,0
15.01.2020,14:00,0,0,0,0,0
15.01.2020,15:00,0,0,0,0,0
15.01.2020,16:00,0,0,0,0,0
15.01.2020,17:00,0,0,0,0,0
15.01.2020,18:00,0,0,0,0,0
15.01.2020,19:00,0,0,0,0,0
15.01.2020,20:00,0,0,0,0,0
15.01.2020,21:00,0,0,0,0,0
15.01.2020,22:00,0,0,0,0,0
15.01.2020,23:00,0,0,0,0,0
16.01.2020,00:00,0,0,0,0,0
16.01.2020,01:00,0,0,0,0,0
16.01.2020,02:00,0,0,0,0,0
16.01.2020,03:00,0,0,15,0,0
16.01.2020,04:00,0,0,95,0,0
16.01.2020,05:00,16,17,500,0,0
16.01.2020,06:00,113,115,820,0,0
16.01.2020,07:00,173,196,835,0,0
16.01.2020,08:00,332,382,842,0,0
16.01.2020,09:00,482,482,842,0,0
16.01.2020,10:00,482,482,840,0,0
16.01.2020,11:00,317,309,830,0,0
16.01.2020,12:00,218,216,782,0,0
16.01.2020,13:00,222,217,839,0,0
16.01.2020,14:00,431,446,842,0,0
16.01.2020,15:00,484,484,841,0,0
16.01.2020,16:00,484,483,842,0,0
16.01.2020,17:00,422,420,841,0,0
16.01.2020,18:00,231,239,842,0,0
16.01.2020,19:00,167,173,841,0,0
16.01.2020,20:00,0,28,840,0,0
16.01.2020,21:00,0,0,840,0,0
16.01.2020,22:00,0,0,841,0,0
16.01.2020,23:00,0,0,813,0,0
17.01.2020,00:00,0,0,268,0,0
17.01.2020,01:00,0,0,244,0,0
17.01.2020,02:00,0,0,244,0,0
17.01.2020,03:00,0,0,244,0,0
17.01.2020,04:00,0,0,244,0,0
17.01.2020,05:00,0,0,244,0,0
17.01.2020,06:00,57,59,454,0,0
17.01.2020,07:00,123,126,831,0,0
17.01.2020,08:00,137,137,835,0,0
17.01.2020,09:00,138,137,833,0,0
17.01.2020,10:00,138,137,833,0,0
17.01.2020,11:00,138,137,830,0,0
17.01.2020,12:00,138,137,830,0,0
17.01.2020,13:00,138,138,830,0,0
17.01.2020,14:00,138,138,830,0,0
17.01.2020,15:00,138,138,833,0,0
17.01.2020,16:00,138,137,834,0,0
17.01.2020,17:00,138,137,833,0,0
17.01.2020,18:00,138,137,833,0,0
17.01.2020,19:00,132,131,834,0,0
17.01.2020,20:00,0,0,835,0,0
17.01.2020,21:00,0,0,648,0,0
17.01.2020,22:00,0,0,0,0,0
17.01.2020,23:00,0,0,0,0,0
18.01.2020,00:00,0,0,0,0,0
