Datum,Uhrzeit,Generation_DE B[MW],Generation_DE C[MW],Generation_DE F[MW],Generation_DE E[MW],Generation_DE D[MW]
18.01.2020,09:00,126,207,0,0,0
18.01.2020,10:00,127,207,0,0,0
18.01.2020,11:00,150,182,0,0,0
18.01.2020,12:00,167,168,0,0,0
18.01.2020,13:00,185,167,0,0,0
18.01.2020,14:00,193,167,0,0,0
18.01.2020,15:00,195,167,0,0,0
18.01.2020,16:00,195,166,0,0,0
18.01.2020,17:00,194,166,0,0,0
18.01.2020,18:00,194,166,0,0,0
18.01.2020,19:00,194,168,0,0,0
18.01.2020,20:00,194,168,0,0,0
18.01.2020,21:00,197,168,0,0,0
18.01.2020,22:00,194,197,0,0,0
18.01.2020,23:00,194,203,0,0,0
19.01.2020,00:00,138,130,0,0,0
19.01.2020,01:00,117,126,0,0,0
19.01.2020,02:00,118,126,0,0,0
19.01.2020,03:00,117,127,0,0,0
19.01.2020,04:00,119,127,0,0,0
19.01.2020,05:00,121,127,0,0,0
19.01.2020,06:00,153,149,0,0,0
19.01.2020,07:00,195,170,0,0,0
19.01.2020,08:00,205,168,0,0,0
19.01.2020,09:00,204,172,0,0,0
19.01.2020,10:00,206,170,0,0,0
19.01.2020,11:00,205,169,0,0,0
19.01.2020,12:00,205,169,0,0,0
19.01.2020,13:00,205,169,0,0,0
19.01.2020,14:00,206,169,0,0,0
19.01.2020,15:00,204,168,0,0,0
19.01.2020,16:00,205,168,0,0,0
19.01.2020,17:00,204,168,0,0,0
19.01.2020,18:00,204,171,0,0,0
19.01.2020,19:00,205,169,0,0,0
19.01.2020,20:00,205,170,0,0,0
19.01.2020,21:00,204,170,0,0,0
19.01.2020,22:00,206,169,0,0,0
19.01.2020,23:00,205,169,0,0,0
20.01.2020,00:00,172,134,0,0,0
20.01.2020,01:00,124,127,0,0,0
20.01.2020,02:00,122,127,0,0,0
20.01.2020,03:00,139,128,0,0,0
20.01.2020,04:00,188,142,0,0,0
20.01.2020,05:00,196,146,0,0,0
20.01.2020,06:00,206,163,0,0,0
20.01.2020,07:00,225,243,0,0,0
20.01.2020,08:00,188,174,0,0,0
20.01.2020,09:00,185,170,0,0,0
20.01.2020,10:00,191,168,0,0,0
20.01.2020,11:00,253,236,0,0,0
20.01.2020,12:00,229,194,0,0,0
20.01.2020,13:00,224,185,0,0,0
20.01.2020,14:00,224,186,0,0,0
20.01.2020,15:00,224,186,0,0,0
20.01.2020,16:00,229,194,0,0,0
20.01.2020,17:00,256,249,0,0,0
20.01.2020,18:00,271,262,0,0,0
20.01.2020,19:00,271,262,0,0,0
20.01.2020,20:00,259,246,0,0,0
20.01.2020,21:00,216,211,0,0,0
20.01.2020,22:00,207,198,0,0,0
20.01.2020,23:00,205,196,0,0,0
21.01.2020,00:00,201,198,0,0,0
21.01.2020,01:00,196,195,0,0,0
21.01.2020,02:00,195,197,0,0,0
21.01.2020,03:00,196,136,0,0,0
21.01.2020,04:00,196,148,0,0,0
21.01.2020,05:00,197,199,0,0,0
21.01.2020,06:00,233,232,0,0,0
21.01.2020,07:00,234,233,0,0,0
21.01.2020,08:00,233,234,0,0,0
21.01.2020,09:00,270,196,0,0,0
21.01.2020,10:00,280,197,0,0,0
21.01.2020,11:00,282,190,0,0,0
21.01.2020,12:00,276,199,0,0,0
21.01.2020,13:00,236,239,0,0,0
21.01.2020,14:00,234,256,0,0,0
21.01.2020,15:00,238,244,0,0,0
