Datum,Uhrzeit,Generation_DE GKN II[MW]
15.01.2020,17:00,1305
15.01.2020,18:00,1305
15.01.2020,19:00,1303
15.01.2020,20:00,1302
15.01.2020,21:00,1302
15.01.2020,22:00,1305
15.01.2020,23:00,1306
16.01.2020,00:00,1310
16.01.2020,01:00,1311
16.01.2020,02:00,1310
16.01.2020,03:00,1308
16.01.2020,04:00,1308
16.01.2020,05:00,1308
16.01.2020,06:00,1309
16.01.2020,07:00,1310
16.01.2020,08:00,1309
16.01.2020,09:00,1309
16.01.2020,10:00,1309
16.01.2020,11:00,1309
16.01.2020,12:00,1308
16.01.2020,13:00,1306
16.01.2020,14:00,1306
16.01.2020,15:00,1306
16.01.2020,16:00,1305
16.01.2020,17:00,1304
16.01.2020,18:00,1307
16.01.2020,19:00,1307
16.01.2020,20:00,1307
16.01.2020,21:00,1308
16.01.2020,22:00,1307
16.01.2020,23:00,1309
17.01.2020,00:00,1311
17.01.2020,01:00,1312
17.01.2020,02:00,1316
17.01.2020,03:00,1314
17.01.2020,04:00,1315
17.01.2020,05:00,1314
17.01.2020,06:00,1313
17.01.2020,07:00,1313
17.01.2020,08:00,1313
17.01.2020,09:00,1313
17.01.2020,10:00,1313
17.01.2020,11:00,1312
17.01.2020,12:00,1312
17.01.2020,13:00,1312
17.01.2020,14:00,1312
17.01.2020,15:00,1311
17.01.2020,16:00,1311
17.01.2020,17:00,1311
17.01.2020,18:00,1312
17.01.2020,19:00,1313
17.01.2020,20:00,1313
17.01.2020,21:00,1313
17.01.2020,22:00,1313
17.01.2020,23:00,1313
18.01.2020,00:00,1311
18.01.2020,01:00,1311
18.01.2020,02:00,1311
18.01.2020,03:00,1311
18.01.2020,04:00,1312
18.01.2020,05:00,1312
18.01.2020,06:00,1312
18.01.2020,07:00,1313
18.01.2020,08:00,1313
18.01.2020,09:00,1313
18.01.2020,10:00,1313
18.01.2020,11:00,1312
18.01.2020,12:00,1313
18.01.2020,13:00,1312
18.01.2020,14:00,1314
18.01.2020,15:00,1314
18.01.2020,16:00,1314
18.01.2020,17:00,1313
18.01.2020,18:00,1315
18.01.2020,19:00,1315
18.01.2020,20:00,1314
18.01.2020,21:00,1316
18.01.2020,22:00,1316
18.01.2020,23:00,1314
19.01.2020,00:00,1316
19.01.2020,01:00,1316
19.01.2020,02:00,1316
19.01.2020,03:00,1316
19.01.2020,04:00,1315
19.01.2020,05:00,1316
19.01.2020,06:00,1316
19.01.2020,07:00,1315
19.01.2020,08:00,1315
19.01.2020,09:00,1315
19.01.2020,10:00,1316
19.01.2020,11:00,1315
19.01.2020,12:00,1314
19.01.2020,13:00,1313
19.01.2020,14:00,1313
19.01.2020,15:00,1313
19.01.2020,16:00,1311
19.01.2020,17:00,1310
19.01.2020,18:00,1311
19.01.2020,19:00,1311
19.01.2020,20:00,1311
19.01.2020,21:00,1312
19.01.2020,22:00,1312
19.01.2020,23:00,1313
20.01.2020,00:00,1314
20.01.2020,01:00,1313
20.01.2020,02:00,1312
20.01.2020,03:00,1313
20.01.2020,04:00,1312
20.01.2020,05:00,1313
20.01.2020,06:00,1311
20.01.2020,07:00,1309
20.01.2020,08:00,1310
20.01.2020,09:00,1311
20.01.2020,10:00,1310
20.01.2020,11:00,1310
20.01.2020,12:00,1308
20.01.2020,13:00,1310
20.01.2020,14:00,1311
20.01.2020,15:00,1309
20.01.2020,16:00,1309
20.01.2020,17:00,1309
20.01.2020,18:00,1309
20.01.2020,19:00,1312
20.01.2020,20:00,1312
20.01.2020,21:00,1313
20.01.2020,22:00,1311
20.01.2020,23:00,1312
21.01.2020,00:00,1314
21.01.2020,01:00,1315
21.01.2020,02:00,1315
