Datum,Uhrzeit,Generation_DE Block 3[MW],Generation_DE Block 4[MW],Generation_DE Block 5[MW]
18.01.2020,01:00,0,38,148
18.01.2020,02:00,0,40,142
18.01.2020,03:00,0,36,135
18.01.2020,04:00,0,40,118
18.01.2020,05:00,0,41,128
18.01.2020,06:00,0,44,155
18.01.2020,07:00,0,43,138
18.01.2020,08:00,0,46,149
18.01.2020,09:00,0,47,146
18.01.2020,10:00,0,41,123
18.01.2020,11:00,0,44,114
18.01.2020,12:00,0,41,131
18.01.2020,13:00,0,44,135
18.01.2020,14:00,0,43,124
18.01.2020,15:00,0,46,145
18.01.2020,16:00,0,43,146
18.01.2020,17:00,0,51,161
18.01.2020,18:00,0,45,161
18.01.2020,19:00,0,48,154
18.01.2020,20:00,0,51,149
18.01.2020,21:00,0,48,163
18.01.2020,22:00,0,47,150
18.01.2020,23:00,0,44,156
19.01.2020,00:00,0,49,151
19.01.2020,01:00,0,52,156
19.01.2020,02:00,0,43,160
19.01.2020,03:00,0,51,159
19.01.2020,04:00,0,65,166
19.01.2020,05:00,0,72,202
19.01.2020,06:00,0,61,188
19.01.2020,07:00,0,70,207
19.01.2020,08:00,0,73,211
19.01.2020,09:00,0,74,204
19.01.2020,10:00,0,81,212
19.01.2020,11:00,0,80,216
19.01.2020,12:00,0,80,216
19.01.2020,13:00,0,77,221
19.01.2020,14:00,0,76,220
19.01.2020,15:00,0,75,214
19.01.2020,16:00,0,66,201
19.01.2020,17:00,0,57,209
19.01.2020,18:00,0,66,206
19.01.2020,19:00,0,65,207
19.01.2020,20:00,0,53,210
19.01.2020,21:00,0,52,208
19.01.2020,22:00,0,53,210
19.01.2020,23:00,0,56,215
20.01.2020,00:00,0,69,205
20.01.2020,01:00,0,78,207
20.01.2020,02:00,0,70,209
20.01.2020,03:00,0,79,206
20.01.2020,04:00,0,85,210
20.01.2020,05:00,0,82,211
20.01.2020,06:00,0,59,216
20.01.2020,07:00,0,46,215
20.01.2020,08:00,0,66,212
20.01.2020,09:00,0,70,208
20.01.2020,10:00,0,76,212
20.01.2020,11:00,0,78,211
20.01.2020,12:00,0,77,217
20.01.2020,13:00,0,72,213
20.01.2020,14:00,0,84,219
20.01.2020,15:00,0,83,216
20.01.2020,16:00,0,67,213
20.01.2020,17:00,0,48,209
20.01.2020,18:00,0,49,211
20.01.2020,19:00,0,41,219
20.01.2020,20:00,0,55,220
20.01.2020,21:00,0,54,216
20.01.2020,22:00,0,54,220
20.01.2020,23:00,0,62,218
21.01.2020,00:00,0,77,216
21.01.2020,01:00,0,61,199
21.01.2020,02:00,0,57,203
21.01.2020,03:00,0,50,185
21.01.2020,04:00,0,55,203
21.01.2020,05:00,0,53,214
21.01.2020,06:00,0,53,215
21.01.2020,07:00,0,69,207
21.01.2020,08:00,0,64,210
21.01.2020,09:00,0,53,198
21.01.2020,10:00,0,40,160
21.01.2020,11:00,0,39,144
21.01.2020,12:00,0,50,191
21.01.2020,13:00,0,53,205
21.01.2020,14:00,0,48,212
21.01.2020,15:00,0,50,225
21.01.2020,16:00,0,79,218
21.01.2020,17:00,0,83,218
21.01.2020,18:00,0,80,219
21.01.2020,19:00,0,82,223
21.01.2020,20:00,0,81,220
21.01.2020,21:00,0,81,219
21.01.2020,22:00,0,82,220
21.01.2020,23:00,0,84,217
22.01.2020,00:00,0,0,0
22.01.2020,01:00,0,0,0
22.01.2020,02:00,0,0,0
22.01.2020,03:00,0,0,0
22.01.2020,04:00,0,0,0
22.01.2020,05:00,0,0,0
22.01.2020,06:00,0,0,0
22.01.2020,07:00,0,0,0
22.01.2020,08:00,0,0,0
22.01.2020,09:00,0,0,0
22.01.2020,10:00,0,0,0
22.01.2020,11:00,0,0,0
22.01.2020,12:00,0,0,0
22.01.2020,13:00,0,0,0
22.01.2020,14:00,0,0,0
22.01.2020,15:00,0,0,0
22.01.2020,16:00,0,0,0
22.01.2020,17:00,0,0,0
22.01.2020,18:00,0,0,0
22.01.2020,19:00,0,0,0
22.01.2020,20:00,0,0,0
22.01.2020,21:00,0,0,0
22.01.2020,22:00,0,0,0
22.01.2020,23:00,0,0,0
23.01.2020,00:00,0,39,184
23.01.2020,01:00,0,48,163
23.01.2020,02:00,0,49,150
23.01.2020,03:00,0,37,130
23.01.2020,04:00,0,41,141
23.01.2020,05:00,0,37,119
23.01.2020,06:00,0,41,114
23.01.2020,07:00,0,42,118
23.01.2020,08:00,0,36,126
