Datum,Uhrzeit,Generation_DE KKI 2[MW]
21.01.2020,12:00,1432
21.01.2020,13:00,1432
21.01.2020,14:00,1432
21.01.2020,15:00,1431
21.01.2020,16:00,1432
21.01.2020,17:00,1433
21.01.2020,18:00,1433
21.01.2020,19:00,1433
21.01.2020,20:00,1432
21.01.2020,21:00,1432
21.01.2020,22:00,1434
21.01.2020,23:00,1433
22.01.2020,00:00,1431
22.01.2020,01:00,1431
22.01.2020,02:00,1430
22.01.2020,03:00,1431
22.01.2020,04:00,1431
22.01.2020,05:00,1432
22.01.2020,06:00,1432
22.01.2020,07:00,1432
22.01.2020,08:00,1433
22.01.2020,09:00,1434
22.01.2020,10:00,1435
22.01.2020,11:00,1432
22.01.2020,12:00,1433
22.01.2020,13:00,1433
22.01.2020,14:00,1431
22.01.2020,15:00,1423
22.01.2020,16:00,1416
22.01.2020,17:00,1428
22.01.2020,18:00,1428
22.01.2020,19:00,1428
22.01.2020,20:00,1428
22.01.2020,21:00,1429
22.01.2020,22:00,1429
22.01.2020,23:00,1429
23.01.2020,00:00,1427
23.01.2020,01:00,1428
23.01.2020,02:00,1429
23.01.2020,03:00,1429
23.01.2020,04:00,1429
23.01.2020,05:00,1428
23.01.2020,06:00,1427
23.01.2020,07:00,1427
23.01.2020,08:00,1428
23.01.2020,09:00,1427
23.01.2020,10:00,1429
23.01.2020,11:00,1428
23.01.2020,12:00,1426
23.01.2020,13:00,1426
23.01.2020,14:00,1428
23.01.2020,15:00,1425
23.01.2020,16:00,1424
23.01.2020,17:00,1425
23.01.2020,18:00,1426
23.01.2020,19:00,1425
23.01.2020,20:00,1427
23.01.2020,21:00,1428
23.01.2020,22:00,1427
23.01.2020,23:00,1426
24.01.2020,00:00,1427
24.01.2020,01:00,1421
24.01.2020,02:00,1421
24.01.2020,03:00,1428
24.01.2020,04:00,1429
24.01.2020,05:00,1428
24.01.2020,06:00,1425
24.01.2020,07:00,1425
24.01.2020,08:00,1426
24.01.2020,09:00,1426
24.01.2020,10:00,1426
24.01.2020,11:00,1427
24.01.2020,12:00,1427
24.01.2020,13:00,1425
24.01.2020,14:00,1425
24.01.2020,15:00,1425
24.01.2020,16:00,1425
24.01.2020,17:00,1426
24.01.2020,18:00,1427
24.01.2020,19:00,1428
24.01.2020,20:00,1427
24.01.2020,21:00,1427
24.01.2020,22:00,1428
24.01.2020,23:00,1427
25.01.2020,00:00,1428
25.01.2020,01:00,1427
25.01.2020,02:00,1427
25.01.2020,03:00,1428
25.01.2020,04:00,1427
25.01.2020,05:00,1428
25.01.2020,06:00,1428
25.01.2020,07:00,1427
25.01.2020,08:00,1429
25.01.2020,09:00,1429
25.01.2020,10:00,1429
25.01.2020,11:00,1428
25.01.2020,12:00,1427
25.01.2020,13:00,1426
25.01.2020,14:00,1425
25.01.2020,15:00,1423
25.01.2020,16:00,1423
25.01.2020,17:00,1423
25.01.2020,18:00,1424
25.01.2020,19:00,1423
25.01.2020,20:00,1425
25.01.2020,21:00,1425
25.01.2020,22:00,1424
25.01.2020,23:00,1425
26.01.2020,00:00,1426
26.01.2020,01:00,1426
26.01.2020,02:00,1428
26.01.2020,03:00,1428
26.01.2020,04:00,1428
26.01.2020,05:00,1426
26.01.2020,06:00,1425
26.01.2020,07:00,1425
26.01.2020,08:00,1427
26.01.2020,09:00,1427
26.01.2020,10:00,1426
26.01.2020,11:00,1425
26.01.2020,12:00,1424
26.01.2020,13:00,1423
26.01.2020,14:00,1422
26.01.2020,15:00,1420
26.01.2020,16:00,1420
26.01.2020,17:00,1420
26.01.2020,18:00,1422
26.01.2020,19:00,1422
26.01.2020,20:00,1422
26.01.2020,21:00,1420
26.01.2020,22:00,1423
26.01.2020,23:00,1423
27.01.2020,00:00,1421
27.01.2020,01:00,1424
27.01.2020,02:00,1425
27.01.2020,03:00,1409
27.01.2020,04:00,1381
27.01.2020,05:00,1419
27.01.2020,06:00,1422
27.01.2020,07:00,1422
27.01.2020,08:00,1421
27.01.2020,09:00,1422
27.01.2020,10:00,1421
27.01.2020,11:00,1420
27.01.2020,12:00,1417
27.01.2020,13:00,1414
