Datum,Uhrzeit,Generation_DE Klingenberg[MW]
21.01.2020,22:00,130
21.01.2020,23:00,116
22.01.2020,00:00,114
22.01.2020,01:00,114
22.01.2020,02:00,114
22.01.2020,03:00,115
22.01.2020,04:00,114
22.01.2020,05:00,126
22.01.2020,06:00,128
22.01.2020,07:00,128
22.01.2020,08:00,128
22.01.2020,09:00,128
22.01.2020,10:00,128
22.01.2020,11:00,129
22.01.2020,12:00,128
22.01.2020,13:00,129
22.01.2020,14:00,129
22.01.2020,15:00,128
22.01.2020,16:00,127
22.01.2020,17:00,127
22.01.2020,18:00,127
22.01.2020,19:00,127
22.01.2020,20:00,127
22.01.2020,21:00,127
22.01.2020,22:00,121
22.01.2020,23:00,118
23.01.2020,00:00,119
23.01.2020,01:00,119
23.01.2020,02:00,117
23.01.2020,03:00,118
23.01.2020,04:00,119
23.01.2020,05:00,127
23.01.2020,06:00,127
23.01.2020,07:00,127
23.01.2020,08:00,127
23.01.2020,09:00,127
23.01.2020,10:00,127
23.01.2020,11:00,127
23.01.2020,12:00,127
23.01.2020,13:00,112
23.01.2020,14:00,105
23.01.2020,15:00,105
23.01.2020,16:00,122
23.01.2020,17:00,132
23.01.2020,18:00,132
23.01.2020,19:00,132
23.01.2020,20:00,132
23.01.2020,21:00,132
23.01.2020,22:00,132
23.01.2020,23:00,133
24.01.2020,00:00,132
24.01.2020,01:00,132
24.01.2020,02:00,133
24.01.2020,03:00,133
24.01.2020,04:00,133
24.01.2020,05:00,133
24.01.2020,06:00,133
24.01.2020,07:00,133
24.01.2020,08:00,133
24.01.2020,09:00,132
24.01.2020,10:00,132
24.01.2020,11:00,132
24.01.2020,12:00,131
24.01.2020,13:00,132
24.01.2020,14:00,131
24.01.2020,15:00,131
24.01.2020,16:00,131
24.01.2020,17:00,131
24.01.2020,18:00,131
24.01.2020,19:00,131
24.01.2020,20:00,135
24.01.2020,21:00,138
24.01.2020,22:00,136
24.01.2020,23:00,137
25.01.2020,00:00,133
25.01.2020,01:00,127
25.01.2020,02:00,125
25.01.2020,03:00,118
25.01.2020,04:00,118
25.01.2020,05:00,118
25.01.2020,06:00,118
25.01.2020,07:00,130
25.01.2020,08:00,136
25.01.2020,09:00,137
25.01.2020,10:00,136
25.01.2020,11:00,136
25.01.2020,12:00,136
25.01.2020,13:00,136
25.01.2020,14:00,136
25.01.2020,15:00,136
25.01.2020,16:00,135
25.01.2020,17:00,135
25.01.2020,18:00,136
25.01.2020,19:00,135
25.01.2020,20:00,135
25.01.2020,21:00,135
25.01.2020,22:00,136
25.01.2020,23:00,135
