Datum,Uhrzeit,Generation_DE [MW]
14.01.2020,04:00,47
14.01.2020,05:00,48
14.01.2020,06:00,54
14.01.2020,07:00,61
14.01.2020,08:00,67
14.01.2020,09:00,62
14.01.2020,10:00,65
14.01.2020,11:00,61
14.01.2020,12:00,59
14.01.2020,13:00,65
14.01.2020,14:00,69
14.01.2020,15:00,63
14.01.2020,16:00,68
14.01.2020,17:00,68
14.01.2020,18:00,69
14.01.2020,19:00,70
14.01.2020,20:00,68
14.01.2020,21:00,70
14.01.2020,22:00,60
14.01.2020,23:00,43
15.01.2020,00:00,36
15.01.2020,01:00,29
15.01.2020,02:00,29
15.01.2020,03:00,29
15.01.2020,04:00,29
15.01.2020,05:00,29
15.01.2020,06:00,39
15.01.2020,07:00,58
15.01.2020,08:00,74
15.01.2020,09:00,78
15.01.2020,10:00,79
15.01.2020,11:00,74
15.01.2020,12:00,70
15.01.2020,13:00,69
15.01.2020,14:00,70
15.01.2020,15:00,70
15.01.2020,16:00,70
15.01.2020,17:00,70
15.01.2020,18:00,71
15.01.2020,19:00,71
15.01.2020,20:00,72
15.01.2020,21:00,72
15.01.2020,22:00,56
15.01.2020,23:00,32
16.01.2020,00:00,36
16.01.2020,01:00,73
16.01.2020,02:00,96
16.01.2020,03:00,123
16.01.2020,04:00,146
16.01.2020,05:00,156
16.01.2020,06:00,163
16.01.2020,07:00,164
16.01.2020,08:00,165
16.01.2020,09:00,164
16.01.2020,10:00,159
16.01.2020,11:00,147
16.01.2020,12:00,130
16.01.2020,13:00,130
16.01.2020,14:00,146
16.01.2020,15:00,155
16.01.2020,16:00,163
16.01.2020,17:00,159
16.01.2020,18:00,162
16.01.2020,19:00,147
16.01.2020,20:00,148
16.01.2020,21:00,149
16.01.2020,22:00,150
16.01.2020,23:00,133
17.01.2020,00:00,103
17.01.2020,01:00,75
17.01.2020,02:00,63
17.01.2020,03:00,64
17.01.2020,04:00,85
17.01.2020,05:00,129
17.01.2020,06:00,151
17.01.2020,07:00,150
17.01.2020,08:00,151
17.01.2020,09:00,148
17.01.2020,10:00,149
17.01.2020,11:00,148
17.01.2020,12:00,147
17.01.2020,13:00,147
17.01.2020,14:00,146
17.01.2020,15:00,147
17.01.2020,16:00,147
17.01.2020,17:00,148
17.01.2020,18:00,148
17.01.2020,19:00,148
17.01.2020,20:00,144
17.01.2020,21:00,109
17.01.2020,22:00,98
17.01.2020,23:00,100
18.01.2020,00:00,99
18.01.2020,01:00,99
18.01.2020,02:00,97
18.01.2020,03:00,97
18.01.2020,04:00,97
18.01.2020,05:00,102
18.01.2020,06:00,136
18.01.2020,07:00,150
18.01.2020,08:00,150
18.01.2020,09:00,150
18.01.2020,10:00,150
18.01.2020,11:00,149
18.01.2020,12:00,149
18.01.2020,13:00,149
18.01.2020,14:00,149
18.01.2020,15:00,149
18.01.2020,16:00,149
18.01.2020,17:00,149
18.01.2020,18:00,147
18.01.2020,19:00,150
18.01.2020,20:00,150
18.01.2020,21:00,150
18.01.2020,22:00,150
18.01.2020,23:00,151
19.01.2020,00:00,151
19.01.2020,01:00,126
19.01.2020,02:00,84
19.01.2020,03:00,65
19.01.2020,04:00,63
19.01.2020,05:00,63
19.01.2020,06:00,63
19.01.2020,07:00,89
19.01.2020,08:00,131
19.01.2020,09:00,150
19.01.2020,10:00,153
19.01.2020,11:00,152
19.01.2020,12:00,152
19.01.2020,13:00,151
19.01.2020,14:00,151
19.01.2020,15:00,151
19.01.2020,16:00,156
19.01.2020,17:00,161
19.01.2020,18:00,168
19.01.2020,19:00,168
19.01.2020,20:00,168
19.01.2020,21:00,168
19.01.2020,22:00,169
19.01.2020,23:00,169
20.01.2020,00:00,171
20.01.2020,01:00,165
20.01.2020,02:00,152
20.01.2020,03:00,152
20.01.2020,04:00,151
20.01.2020,05:00,153
20.01.2020,06:00,164
20.01.2020,07:00,172
20.01.2020,08:00,172
20.01.2020,09:00,173
20.01.2020,10:00,173
20.01.2020,11:00,170
20.01.2020,12:00,170
20.01.2020,13:00,169
20.01.2020,14:00,169
20.01.2020,15:00,171
20.01.2020,16:00,171
20.01.2020,17:00,170
20.01.2020,18:00,171
20.01.2020,19:00,171
20.01.2020,20:00,171
20.01.2020,21:00,170
20.01.2020,22:00,167
20.01.2020,23:00,159
21.01.2020,00:00,153
21.01.2020,01:00,152
21.01.2020,02:00,131
21.01.2020,03:00,61
21.01.2020,04:00,82
21.01.2020,05:00,105
21.01.2020,06:00,126
21.01.2020,07:00,126
21.01.2020,08:00,123
21.01.2020,09:00,121
21.01.2020,10:00,121
21.01.2020,11:00,121
21.01.2020,12:00,121
21.01.2020,13:00,114
21.01.2020,14:00,82
21.01.2020,15:00,76
21.01.2020,16:00,91
21.01.2020,17:00,117
21.01.2020,18:00,121
21.01.2020,19:00,121
21.01.2020,20:00,121
21.01.2020,21:00,121
21.01.2020,22:00,121
21.01.2020,23:00,121
22.01.2020,00:00,121
22.01.2020,01:00,121
22.01.2020,02:00,121
22.01.2020,03:00,121
22.01.2020,04:00,121
22.01.2020,05:00,121
22.01.2020,06:00,121
22.01.2020,07:00,123
22.01.2020,08:00,121
22.01.2020,09:00,122
22.01.2020,10:00,123
22.01.2020,11:00,123
22.01.2020,12:00,123
22.01.2020,13:00,123
22.01.2020,14:00,121
22.01.2020,15:00,123
22.01.2020,16:00,123
22.01.2020,17:00,123
22.01.2020,18:00,123
22.01.2020,19:00,123
22.01.2020,20:00,123
22.01.2020,21:00,122
22.01.2020,22:00,121
22.01.2020,23:00,121
23.01.2020,00:00,121
23.01.2020,01:00,121
23.01.2020,02:00,121
23.01.2020,03:00,121
23.01.2020,04:00,121
23.01.2020,05:00,121
23.01.2020,06:00,119
23.01.2020,07:00,123
23.01.2020,08:00,78
23.01.2020,09:00,62
23.01.2020,10:00,62
23.01.2020,11:00,74
23.01.2020,12:00,76
23.01.2020,13:00,76
23.01.2020,14:00,82
23.01.2020,15:00,127
23.01.2020,16:00,149
23.01.2020,17:00,166
23.01.2020,18:00,167
23.01.2020,19:00,168
23.01.2020,20:00,153
23.01.2020,21:00,148
23.01.2020,22:00,130
23.01.2020,23:00,123
24.01.2020,00:00,123
24.01.2020,01:00,123
24.01.2020,02:00,123
24.01.2020,03:00,123
24.01.2020,04:00,140
24.01.2020,05:00,158
24.01.2020,06:00,163
24.01.2020,07:00,166
24.01.2020,08:00,166
24.01.2020,09:00,157
24.01.2020,10:00,150
24.01.2020,11:00,150
24.01.2020,12:00,128
24.01.2020,13:00,63
24.01.2020,14:00,100
24.01.2020,15:00,117
24.01.2020,16:00,64
24.01.2020,17:00,59
24.01.2020,18:00,61
24.01.2020,19:00,61
24.01.2020,20:00,63
24.01.2020,21:00,74
24.01.2020,22:00,101
24.01.2020,23:00,121
25.01.2020,00:00,125
25.01.2020,01:00,125
25.01.2020,02:00,125
25.01.2020,03:00,125
25.01.2020,04:00,125
25.01.2020,05:00,125
25.01.2020,06:00,125
25.01.2020,07:00,125
25.01.2020,08:00,125
25.01.2020,09:00,125
25.01.2020,10:00,125
25.01.2020,11:00,125
25.01.2020,12:00,125
25.01.2020,13:00,125
25.01.2020,14:00,125
25.01.2020,15:00,125
25.01.2020,16:00,125
25.01.2020,17:00,125
25.01.2020,18:00,125
25.01.2020,19:00,125
25.01.2020,20:00,125
25.01.2020,21:00,125
25.01.2020,22:00,125
25.01.2020,23:00,125
26.01.2020,00:00,125
26.01.2020,01:00,125
26.01.2020,02:00,125
26.01.2020,03:00,125
26.01.2020,04:00,125
26.01.2020,05:00,125
26.01.2020,06:00,125
26.01.2020,07:00,125
26.01.2020,08:00,125
26.01.2020,09:00,125
26.01.2020,10:00,125
26.01.2020,11:00,125
26.01.2020,12:00,125
26.01.2020,13:00,125
26.01.2020,14:00,125
26.01.2020,15:00,125
26.01.2020,16:00,125
26.01.2020,17:00,125
26.01.2020,18:00,125
26.01.2020,19:00,125
26.01.2020,20:00,125
26.01.2020,21:00,125
26.01.2020,22:00,125
26.01.2020,23:00,125
27.01.2020,00:00,125
27.01.2020,01:00,125
27.01.2020,02:00,125
27.01.2020,03:00,124
27.01.2020,04:00,124
27.01.2020,05:00,124
27.01.2020,06:00,124
27.01.2020,07:00,124
27.01.2020,08:00,124
27.01.2020,09:00,124
27.01.2020,10:00,123
27.01.2020,11:00,122
27.01.2020,12:00,121
27.01.2020,13:00,120
27.01.2020,14:00,121
27.01.2020,15:00,120
27.01.2020,16:00,120
27.01.2020,17:00,121
27.01.2020,18:00,121
27.01.2020,19:00,121
27.01.2020,20:00,121
27.01.2020,21:00,119
27.01.2020,22:00,121
27.01.2020,23:00,121
28.01.2020,00:00,116
28.01.2020,01:00,97
28.01.2020,02:00,89
28.01.2020,03:00,89
28.01.2020,04:00,96
28.01.2020,05:00,115
28.01.2020,06:00,120
28.01.2020,07:00,120
28.01.2020,08:00,120
28.01.2020,09:00,120
28.01.2020,10:00,120
28.01.2020,11:00,119
28.01.2020,12:00,117
28.01.2020,13:00,120
28.01.2020,14:00,109
28.01.2020,15:00,100
28.01.2020,16:00,116
28.01.2020,17:00,119
28.01.2020,18:00,121
28.01.2020,19:00,122
28.01.2020,20:00,122
28.01.2020,21:00,122
28.01.2020,22:00,122
28.01.2020,23:00,116
29.01.2020,00:00,109
29.01.2020,01:00,109
29.01.2020,02:00,109
29.01.2020,03:00,116
29.01.2020,04:00,123
29.01.2020,05:00,123
29.01.2020,06:00,123
29.01.2020,07:00,123
29.01.2020,08:00,123
29.01.2020,09:00,123
29.01.2020,10:00,123
29.01.2020,11:00,122
29.01.2020,12:00,122
29.01.2020,13:00,122
29.01.2020,14:00,122
29.01.2020,15:00,122
29.01.2020,16:00,122
29.01.2020,17:00,123
29.01.2020,18:00,123
29.01.2020,19:00,123
29.01.2020,20:00,123
29.01.2020,21:00,124
29.01.2020,22:00,124
29.01.2020,23:00,117
30.01.2020,00:00,109
30.01.2020,01:00,109
30.01.2020,02:00,109
30.01.2020,03:00,110
30.01.2020,04:00,118
30.01.2020,05:00,120
30.01.2020,06:00,119
30.01.2020,07:00,119
30.01.2020,08:00,118
30.01.2020,09:00,118
30.01.2020,10:00,118
30.01.2020,11:00,115
30.01.2020,12:00,116
30.01.2020,13:00,112
30.01.2020,14:00,114
30.01.2020,15:00,117
30.01.2020,16:00,117
30.01.2020,17:00,118
30.01.2020,18:00,118
30.01.2020,19:00,108
30.01.2020,20:00,92
30.01.2020,21:00,66
30.01.2020,22:00,27
30.01.2020,23:00,26
31.01.2020,00:00,26
31.01.2020,01:00,26
31.01.2020,02:00,26
31.01.2020,03:00,26
31.01.2020,04:00,26
31.01.2020,05:00,26
31.01.2020,06:00,33
31.01.2020,07:00,52
31.01.2020,08:00,58
31.01.2020,09:00,58
31.01.2020,10:00,58
31.01.2020,11:00,58
31.01.2020,12:00,58
31.01.2020,13:00,58
31.01.2020,14:00,58
31.01.2020,15:00,58
31.01.2020,16:00,58
31.01.2020,17:00,58
31.01.2020,18:00,58
31.01.2020,19:00,58
31.01.2020,20:00,51
31.01.2020,21:00,31
31.01.2020,22:00,26
31.01.2020,23:00,26
01.02.2020,00:00,26
01.02.2020,01:00,26
01.02.2020,02:00,26
01.02.2020,03:00,26
01.02.2020,04:00,26
01.02.2020,05:00,26
01.02.2020,06:00,26
01.02.2020,07:00,26
01.02.2020,08:00,26
01.02.2020,09:00,26
01.02.2020,10:00,26
01.02.2020,11:00,26
01.02.2020,12:00,26
01.02.2020,13:00,26
01.02.2020,14:00,26
01.02.2020,15:00,33
01.02.2020,16:00,52
01.02.2020,17:00,58
01.02.2020,18:00,58
01.02.2020,19:00,58
01.02.2020,20:00,51
01.02.2020,21:00,32
01.02.2020,22:00,26
01.02.2020,23:00,26
02.02.2020,00:00,28
02.02.2020,01:00,28
02.02.2020,02:00,28
02.02.2020,03:00,28
02.02.2020,04:00,28
02.02.2020,05:00,28
02.02.2020,06:00,28
02.02.2020,07:00,27
02.02.2020,08:00,26
02.02.2020,09:00,26
02.02.2020,10:00,26
02.02.2020,11:00,26
02.02.2020,12:00,26
02.02.2020,13:00,26
02.02.2020,14:00,26
02.02.2020,15:00,33
02.02.2020,16:00,52
02.02.2020,17:00,58
02.02.2020,18:00,58
02.02.2020,19:00,57
02.02.2020,20:00,58
02.02.2020,21:00,58
02.02.2020,22:00,58
02.02.2020,23:00,51
03.02.2020,00:00,36
03.02.2020,01:00,26
03.02.2020,02:00,26
03.02.2020,03:00,26
03.02.2020,04:00,33
03.02.2020,05:00,52
03.02.2020,06:00,59
03.02.2020,07:00,59
03.02.2020,08:00,58
03.02.2020,09:00,59
03.02.2020,10:00,59
03.02.2020,11:00,59
03.02.2020,12:00,59
03.02.2020,13:00,59
03.02.2020,14:00,59
03.02.2020,15:00,59
03.02.2020,16:00,59
03.02.2020,17:00,70
03.02.2020,18:00,61
03.02.2020,19:00,59
03.02.2020,20:00,59
03.02.2020,21:00,59
03.02.2020,22:00,59
03.02.2020,23:00,52
04.02.2020,00:00,37
04.02.2020,01:00,26
04.02.2020,02:00,26
04.02.2020,03:00,26
04.02.2020,04:00,33
04.02.2020,05:00,48
04.02.2020,06:00,59
04.02.2020,07:00,60
04.02.2020,08:00,60
04.02.2020,09:00,60
04.02.2020,10:00,60
04.02.2020,11:00,60
04.02.2020,12:00,60
04.02.2020,13:00,60
04.02.2020,14:00,60
04.02.2020,15:00,60
04.02.2020,16:00,60
04.02.2020,17:00,60
04.02.2020,18:00,60
04.02.2020,19:00,60
04.02.2020,20:00,53
04.02.2020,21:00,39
04.02.2020,22:00,40
04.02.2020,23:00,40
05.02.2020,00:00,40
05.02.2020,01:00,40
05.02.2020,02:00,39
05.02.2020,03:00,43
05.02.2020,04:00,61
05.02.2020,05:00,87
05.02.2020,06:00,123
05.02.2020,07:00,149
05.02.2020,08:00,167
05.02.2020,09:00,170
05.02.2020,10:00,169
05.02.2020,11:00,169
05.02.2020,12:00,171
