Datum,Uhrzeit,Generation_DE GT 3[MW],Generation_DE Block 4[MW],Generation_DE Block 3[MW]
22.01.2020,04:00,0,118,0
22.01.2020,05:00,0,120,0
22.01.2020,06:00,0,116,0
22.01.2020,07:00,0,115,0
22.01.2020,08:00,0,114,0
22.01.2020,09:00,0,114,0
22.01.2020,10:00,0,120,0
22.01.2020,11:00,0,90,0
22.01.2020,12:00,0,82,0
22.01.2020,13:00,0,85,0
22.01.2020,14:00,0,105,0
22.01.2020,15:00,0,132,0
22.01.2020,16:00,0,130,0
22.01.2020,17:00,0,113,0
22.01.2020,18:00,0,116,0
22.01.2020,19:00,0,121,0
22.01.2020,20:00,0,121,0
22.01.2020,21:00,0,121,0
22.01.2020,22:00,0,137,0
22.01.2020,23:00,0,0,0
23.01.2020,00:00,0,0,0
23.01.2020,01:00,0,137,0
23.01.2020,02:00,0,138,0
23.01.2020,03:00,0,128,0
23.01.2020,04:00,0,121,0
23.01.2020,05:00,0,123,0
23.01.2020,06:00,0,106,0
23.01.2020,07:00,0,114,0
23.01.2020,08:00,0,95,0
23.01.2020,09:00,0,120,0
23.01.2020,10:00,0,136,0
23.01.2020,11:00,0,124,0
23.01.2020,12:00,0,112,0
23.01.2020,13:00,0,128,0
23.01.2020,14:00,0,100,0
23.01.2020,15:00,0,98,0
23.01.2020,16:00,0,98,0
23.01.2020,17:00,0,99,0
23.01.2020,18:00,0,116,0
23.01.2020,19:00,0,120,0
23.01.2020,20:00,0,120,0
23.01.2020,21:00,0,117,0
23.01.2020,22:00,0,129,0
23.01.2020,23:00,0,0,0
24.01.2020,00:00,0,0,0
24.01.2020,01:00,0,117,0
24.01.2020,02:00,0,127,0
24.01.2020,03:00,0,122,0
24.01.2020,04:00,0,119,0
24.01.2020,05:00,0,133,0
24.01.2020,06:00,0,149,0
24.01.2020,07:00,0,151,0
24.01.2020,08:00,0,127,0
24.01.2020,09:00,0,118,0
24.01.2020,10:00,0,146,0
24.01.2020,11:00,0,139,0
24.01.2020,12:00,0,130,0
24.01.2020,13:00,0,148,0
24.01.2020,14:00,0,150,0
24.01.2020,15:00,0,127,0
24.01.2020,16:00,0,134,0
24.01.2020,17:00,0,130,0
24.01.2020,18:00,0,130,0
24.01.2020,19:00,0,141,0
24.01.2020,20:00,0,116,0
24.01.2020,21:00,0,122,0
24.01.2020,22:00,0,125,0
24.01.2020,23:00,0,0,0
25.01.2020,00:00,0,0,0
25.01.2020,01:00,0,109,0
25.01.2020,02:00,0,99,0
25.01.2020,03:00,0,53,0
25.01.2020,04:00,0,52,0
25.01.2020,05:00,0,125,0
25.01.2020,06:00,0,108,0
25.01.2020,07:00,0,109,0
25.01.2020,08:00,0,109,0
25.01.2020,09:00,0,110,0
25.01.2020,10:00,0,111,0
25.01.2020,11:00,0,106,0
25.01.2020,12:00,0,107,0
25.01.2020,13:00,0,108,0
25.01.2020,14:00,0,110,0
25.01.2020,15:00,0,110,0
25.01.2020,16:00,0,110,0
25.01.2020,17:00,0,110,0
25.01.2020,18:00,0,109,0
25.01.2020,19:00,0,109,0
25.01.2020,20:00,0,109,0
25.01.2020,21:00,0,109,0
25.01.2020,22:00,0,97,0
25.01.2020,23:00,0,0,0
26.01.2020,00:00,0,0,0
26.01.2020,01:00,0,104,0
26.01.2020,02:00,0,117,0
26.01.2020,03:00,0,101,0
26.01.2020,04:00,0,109,0
26.01.2020,05:00,0,113,0
26.01.2020,06:00,0,116,0
26.01.2020,07:00,0,126,0
26.01.2020,08:00,0,120,0
26.01.2020,09:00,0,134,0
26.01.2020,10:00,0,132,0
26.01.2020,11:00,0,108,0
26.01.2020,12:00,0,118,0
26.01.2020,13:00,0,119,0
26.01.2020,14:00,0,121,0
26.01.2020,15:00,0,120,0
26.01.2020,16:00,0,107,0
26.01.2020,17:00,0,103,0
26.01.2020,18:00,0,120,0
26.01.2020,19:00,0,108,0
26.01.2020,20:00,0,133,0
26.01.2020,21:00,0,132,0
26.01.2020,22:00,0,122,0
26.01.2020,23:00,0,0,0
27.01.2020,00:00,0,0,0
27.01.2020,01:00,0,123,0
27.01.2020,02:00,0,136,0
27.01.2020,03:00,0,122,0
27.01.2020,04:00,0,118,0
27.01.2020,05:00,0,127,0
27.01.2020,06:00,0,139,0
27.01.2020,07:00,0,154,0
27.01.2020,08:00,0,128,0
27.01.2020,09:00,0,124,0
27.01.2020,10:00,0,130,0
27.01.2020,11:00,0,143,0
27.01.2020,12:00,0,144,0
27.01.2020,13:00,0,128,0
27.01.2020,14:00,0,126,0
27.01.2020,15:00,0,128,0
27.01.2020,16:00,0,127,0
27.01.2020,17:00,0,136,0
27.01.2020,18:00,0,152,0
27.01.2020,19:00,0,150,0
27.01.2020,20:00,0,146,0
27.01.2020,21:00,0,155,0
27.01.2020,22:00,0,156,0
27.01.2020,23:00,0,0,0
28.01.2020,00:00,0,0,0
28.01.2020,01:00,0,126,0
28.01.2020,02:00,0,138,0
28.01.2020,03:00,0,133,0
28.01.2020,04:00,0,126,0
28.01.2020,05:00,0,118,0
28.01.2020,06:00,0,133,0
28.01.2020,07:00,0,155,0
28.01.2020,08:00,0,162,0
28.01.2020,09:00,0,147,0
28.01.2020,10:00,0,124,0
28.01.2020,11:00,0,136,0
28.01.2020,12:00,0,133,0
28.01.2020,13:00,0,143,0
28.01.2020,14:00,0,143,0
28.01.2020,15:00,0,138,0
28.01.2020,16:00,0,139,0
28.01.2020,17:00,0,141,0
28.01.2020,18:00,0,131,0
28.01.2020,19:00,0,122,0
28.01.2020,20:00,0,129,0
28.01.2020,21:00,0,118,0
28.01.2020,22:00,0,133,0
28.01.2020,23:00,0,0,0
29.01.2020,00:00,0,122,0
29.01.2020,01:00,0,141,0
29.01.2020,02:00,0,142,0
29.01.2020,03:00,0,129,0
29.01.2020,04:00,0,118,0
29.01.2020,05:00,0,128,0
29.01.2020,06:00,0,128,0
29.01.2020,07:00,0,120,0
29.01.2020,08:00,0,120,0
29.01.2020,09:00,0,127,0
29.01.2020,10:00,0,135,0
29.01.2020,11:00,0,134,0
29.01.2020,12:00,0,124,0
29.01.2020,13:00,0,118,0
29.01.2020,14:00,0,124,0
29.01.2020,15:00,0,123,0
29.01.2020,16:00,0,121,0
29.01.2020,17:00,0,126,0
29.01.2020,18:00,0,113,0
29.01.2020,19:00,0,116,0
29.01.2020,20:00,0,140,0
29.01.2020,21:00,0,113,0
29.01.2020,22:00,0,108,0
29.01.2020,23:00,0,0,0
30.01.2020,00:00,0,0,0
30.01.2020,01:00,0,111,0
30.01.2020,02:00,0,101,0
30.01.2020,03:00,0,121,0
30.01.2020,04:00,0,148,0
30.01.2020,05:00,0,142,0
30.01.2020,06:00,0,131,0
30.01.2020,07:00,0,115,0
30.01.2020,08:00,0,122,0
30.01.2020,09:00,0,137,0
30.01.2020,10:00,0,136,0
30.01.2020,11:00,0,116,0
30.01.2020,12:00,0,107,0
30.01.2020,13:00,0,109,0
30.01.2020,14:00,0,104,0
30.01.2020,15:00,0,74,0
30.01.2020,16:00,0,59,0
30.01.2020,17:00,0,59,0
30.01.2020,18:00,0,60,0
30.01.2020,19:00,0,69,0
30.01.2020,20:00,0,61,0
30.01.2020,21:00,0,57,0
30.01.2020,22:00,0,60,0
30.01.2020,23:00,0,0,0
31.01.2020,00:00,0,119,0
31.01.2020,01:00,0,99,0
31.01.2020,02:00,0,111,0
31.01.2020,03:00,0,107,0
31.01.2020,04:00,0,106,0
31.01.2020,05:00,0,103,0
31.01.2020,06:00,0,107,0
31.01.2020,07:00,0,118,0
31.01.2020,08:00,0,110,0
31.01.2020,09:00,0,109,0
31.01.2020,10:00,0,136,0
31.01.2020,11:00,0,131,0
31.01.2020,12:00,0,114,0
31.01.2020,13:00,0,124,0
31.01.2020,14:00,0,128,0
31.01.2020,15:00,0,108,0
31.01.2020,16:00,0,108,0
31.01.2020,17:00,0,114,0
31.01.2020,18:00,0,109,0
31.01.2020,19:00,0,104,0
31.01.2020,20:00,0,114,0
31.01.2020,21:00,0,118,0
31.01.2020,22:00,0,117,0
31.01.2020,23:00,0,119,0
01.02.2020,00:00,0,122,0
01.02.2020,01:00,0,121,0
01.02.2020,02:00,0,115,0
01.02.2020,03:00,0,138,0
01.02.2020,04:00,0,129,0
01.02.2020,05:00,0,125,0
01.02.2020,06:00,0,115,0
