Datum,Uhrzeit,Generation_DE Walsum 10[MW],Generation_DE Walsum 9[MW],Generation_DE Walsum 7[MW]
11.01.2020,17:00,0,82,0
11.01.2020,18:00,0,83,0
11.01.2020,19:00,0,82,0
11.01.2020,20:00,0,83,0
11.01.2020,21:00,0,86,0
11.01.2020,22:00,0,98,0
11.01.2020,23:00,0,89,0
12.01.2020,00:00,0,80,0
12.01.2020,01:00,0,85,0
12.01.2020,02:00,0,86,0
12.01.2020,03:00,0,80,0
12.01.2020,04:00,0,79,0
12.01.2020,05:00,0,81,0
12.01.2020,06:00,0,79,0
12.01.2020,07:00,0,80,0
12.01.2020,08:00,0,82,0
12.01.2020,09:00,0,80,0
12.01.2020,10:00,0,80,0
12.01.2020,11:00,0,83,0
12.01.2020,12:00,0,82,0
12.01.2020,13:00,0,81,0
12.01.2020,14:00,0,81,0
12.01.2020,15:00,0,86,0
12.01.2020,16:00,0,90,0
12.01.2020,17:00,0,92,0
12.01.2020,18:00,0,93,0
12.01.2020,19:00,0,93,0
12.01.2020,20:00,0,113,0
12.01.2020,21:00,0,113,0
12.01.2020,22:00,0,115,0
12.01.2020,23:00,0,128,0
13.01.2020,00:00,0,126,0
13.01.2020,01:00,0,170,0
13.01.2020,02:00,0,137,0
13.01.2020,03:00,33,115,0
13.01.2020,04:00,235,122,0
13.01.2020,05:00,310,162,0
13.01.2020,06:00,446,211,0
13.01.2020,07:00,695,298,0
13.01.2020,08:00,714,300,0
13.01.2020,09:00,703,315,0
13.01.2020,10:00,671,320,0
13.01.2020,11:00,539,301,0
13.01.2020,12:00,542,320,0
13.01.2020,13:00,544,321,0
13.01.2020,14:00,546,283,0
13.01.2020,15:00,652,286,0
13.01.2020,16:00,706,284,0
13.01.2020,17:00,709,242,0
13.01.2020,18:00,711,195,0
13.01.2020,19:00,608,180,0
13.01.2020,20:00,272,160,0
13.01.2020,21:00,0,159,0
13.01.2020,22:00,0,208,0
13.01.2020,23:00,0,209,0
14.01.2020,00:00,0,112,0
14.01.2020,01:00,0,82,0
14.01.2020,02:00,0,84,0
14.01.2020,03:00,0,82,0
14.01.2020,04:00,0,82,0
14.01.2020,05:00,0,81,0
14.01.2020,06:00,0,82,0
14.01.2020,07:00,0,82,0
14.01.2020,08:00,0,88,0
14.01.2020,09:00,0,113,0
14.01.2020,10:00,0,86,0
14.01.2020,11:00,0,83,0
14.01.2020,12:00,0,81,0
14.01.2020,13:00,0,81,0
14.01.2020,14:00,0,87,0
14.01.2020,15:00,0,84,0
14.01.2020,16:00,0,80,0
14.01.2020,17:00,0,78,0
14.01.2020,18:00,0,80,0
14.01.2020,19:00,0,90,0
14.01.2020,20:00,0,83,0
