Datum,Uhrzeit,Generation_DE G[MW],Generation_DE H[MW],Generation_DE D[MW],Generation_DE E[MW],Generation_DE C[MW],Generation_DE B[MW],Generation_DE F[MW],Generation_DE K[MW],Generation_DE A[MW]
08.01.2020,10:00,614,0,0,0,274,0,0,935,0
08.01.2020,11:00,616,0,0,0,274,0,0,931,0
08.01.2020,12:00,614,0,0,0,274,0,0,920,0
08.01.2020,13:00,610,0,0,0,273,0,0,920,0
08.01.2020,14:00,614,0,0,0,273,0,0,937,0
08.01.2020,15:00,612,0,0,0,274,0,0,941,0
08.01.2020,16:00,612,0,0,0,274,0,0,936,0
08.01.2020,17:00,614,0,0,0,274,0,0,940,0
08.01.2020,18:00,623,0,0,0,275,0,0,940,0
08.01.2020,19:00,623,0,0,0,274,0,0,945,0
08.01.2020,20:00,558,0,0,0,273,0,0,936,0
08.01.2020,21:00,602,0,0,0,274,0,0,919,0
08.01.2020,22:00,613,0,0,0,275,0,0,921,0
08.01.2020,23:00,616,0,0,0,275,0,0,918,0
09.01.2020,00:00,613,0,0,0,274,0,0,918,0
09.01.2020,01:00,608,0,0,0,274,0,0,920,0
09.01.2020,02:00,612,0,0,0,274,0,0,916,0
09.01.2020,03:00,523,0,0,0,223,0,0,914,0
09.01.2020,04:00,491,0,0,0,152,0,0,915,0
09.01.2020,05:00,606,0,0,0,200,0,0,920,0
09.01.2020,06:00,617,0,0,0,269,0,0,922,0
09.01.2020,07:00,576,0,0,0,267,0,0,936,0
09.01.2020,08:00,619,0,0,0,266,0,0,936,0
09.01.2020,09:00,619,0,0,0,267,0,0,939,0
09.01.2020,10:00,618,0,0,0,267,0,0,917,0
09.01.2020,11:00,615,0,0,0,266,0,0,921,0
09.01.2020,12:00,403,0,0,0,202,0,0,921,0
09.01.2020,13:00,304,0,0,0,153,0,0,918,0
09.01.2020,14:00,303,0,0,0,231,0,0,919,0
09.01.2020,15:00,325,0,0,0,268,0,0,918,0
09.01.2020,16:00,580,0,0,0,267,0,0,916,0
09.01.2020,17:00,616,0,0,0,267,0,0,920,0
09.01.2020,18:00,620,0,0,0,267,0,0,924,0
09.01.2020,19:00,613,0,0,0,266,0,0,923,0
09.01.2020,20:00,459,0,0,0,210,0,0,918,0
09.01.2020,21:00,292,0,0,0,151,0,0,901,0
09.01.2020,22:00,298,0,0,0,152,0,0,917,0
09.01.2020,23:00,304,0,0,0,151,0,0,914,0
10.01.2020,00:00,286,0,0,0,152,0,0,916,0
10.01.2020,01:00,282,0,0,0,152,0,0,916,0
10.01.2020,02:00,283,0,0,0,151,0,0,914,0
10.01.2020,03:00,283,0,0,0,152,0,0,924,0
10.01.2020,04:00,290,0,0,0,153,0,0,924,0
10.01.2020,05:00,356,0,0,0,205,0,0,922,0
10.01.2020,06:00,460,0,0,0,237,0,0,925,0
10.01.2020,07:00,619,0,0,0,279,0,0,942,0
10.01.2020,08:00,613,0,0,0,278,0,0,942,0
10.01.2020,09:00,617,0,0,0,277,0,0,919,0
10.01.2020,10:00,619,0,0,0,277,0,0,924,0
10.01.2020,11:00,617,0,0,0,278,0,0,924,0
10.01.2020,12:00,621,0,0,0,278,0,0,923,0
10.01.2020,13:00,618,0,0,0,277,0,0,928,0
10.01.2020,14:00,622,0,0,0,276,0,0,928,0
10.01.2020,15:00,622,0,0,0,277,0,0,921,0
10.01.2020,16:00,622,0,0,0,277,0,0,929,0
10.01.2020,17:00,624,0,0,0,277,0,0,938,0
10.01.2020,18:00,627,0,0,0,278,0,0,948,0
10.01.2020,19:00,625,0,0,0,277,0,0,949,0
10.01.2020,20:00,622,0,0,0,277,0,0,951,0
10.01.2020,21:00,622,0,0,0,277,0,0,947,0
10.01.2020,22:00,627,0,0,0,267,0,0,926,0
10.01.2020,23:00,596,0,0,0,184,0,0,927,0
11.01.2020,00:00,592,0,0,0,209,0,0,928,0
11.01.2020,01:00,385,0,0,0,188,0,0,927,0
11.01.2020,02:00,275,0,0,0,154,0,0,929,0
11.01.2020,03:00,283,0,0,0,153,0,0,928,0
11.01.2020,04:00,281,0,0,0,153,0,0,910,0
11.01.2020,05:00,279,0,0,0,153,0,0,909,0
11.01.2020,06:00,280,0,0,0,153,0,0,867,0
11.01.2020,07:00,327,0,0,0,157,0,0,931,0
11.01.2020,08:00,542,0,0,0,234,0,0,925,0
11.01.2020,09:00,549,0,0,0,276,0,0,935,0
11.01.2020,10:00,552,0,0,0,278,0,0,928,0
11.01.2020,11:00,621,0,0,0,272,0,0,924,0
11.01.2020,12:00,508,0,0,0,213,0,0,924,0
11.01.2020,13:00,286,0,0,0,153,0,0,918,0
11.01.2020,14:00,282,0,0,0,153,0,0,892,0
11.01.2020,15:00,309,0,0,0,153,0,0,927,0
11.01.2020,16:00,366,0,0,0,153,0,0,929,0
11.01.2020,17:00,526,0,0,0,156,0,0,927,0
11.01.2020,18:00,488,0,0,0,153,0,0,926,0
11.01.2020,19:00,305,0,0,0,153,0,0,928,0
11.01.2020,20:00,283,0,0,0,153,0,0,875,0
11.01.2020,21:00,280,0,0,0,153,0,0,683,0
11.01.2020,22:00,280,0,0,0,153,0,0,376,0
11.01.2020,23:00,281,0,0,0,153,0,0,363,0
12.01.2020,00:00,280,0,0,0,154,0,0,377,0
12.01.2020,01:00,281,0,0,0,153,0,0,373,0
12.01.2020,02:00,280,0,0,0,154,0,0,374,0
12.01.2020,03:00,282,0,0,0,153,0,0,376,0
12.01.2020,04:00,280,0,0,0,154,0,0,373,0
12.01.2020,05:00,280,0,0,0,152,0,0,373,0
12.01.2020,06:00,280,0,0,0,153,0,0,371,0
12.01.2020,07:00,280,0,0,0,153,0,0,370,0
12.01.2020,08:00,279,0,0,0,154,0,0,370,0
12.01.2020,09:00,281,0,0,0,152,0,0,372,0
12.01.2020,10:00,279,0,0,0,152,0,0,371,0
12.01.2020,11:00,280,0,0,0,155,0,0,373,0
12.01.2020,12:00,277,0,0,0,153,0,0,373,0
12.01.2020,13:00,281,0,0,0,154,0,0,369,0
12.01.2020,14:00,283,0,0,0,155,0,0,383,0
12.01.2020,15:00,281,0,0,0,150,0,0,372,0
12.01.2020,16:00,280,0,0,0,149,0,0,374,0
12.01.2020,17:00,279,0,0,0,150,0,0,377,0
12.01.2020,18:00,280,0,0,0,150,0,0,386,0
12.01.2020,19:00,280,0,0,0,150,0,0,398,0
12.01.2020,20:00,278,0,0,0,151,0,0,381,0
12.01.2020,21:00,279,0,0,0,149,0,0,434,0
