Datum,Uhrzeit,Generation_DE E[MW],Generation_DE D[MW],Generation_DE C[MW],Generation_DE F[MW],Generation_DE B[MW],Generation_DE A[MW]
07.01.2020,17:00,0,479,489,0,436,497
07.01.2020,18:00,0,474,486,0,432,493
07.01.2020,19:00,0,430,482,0,407,464
07.01.2020,20:00,0,405,463,0,397,439
07.01.2020,21:00,0,451,489,0,441,484
07.01.2020,22:00,0,457,479,0,430,487
07.01.2020,23:00,0,328,322,0,357,328
08.01.2020,00:00,0,294,298,0,351,292
08.01.2020,01:00,0,292,295,0,361,300
08.01.2020,02:00,0,292,295,0,362,298
08.01.2020,03:00,0,290,295,0,354,296
08.01.2020,04:00,0,290,291,0,359,297
08.01.2020,05:00,0,290,295,0,363,297
08.01.2020,06:00,0,329,295,0,381,302
08.01.2020,07:00,0,339,378,0,383,355
08.01.2020,08:00,0,342,386,0,380,372
08.01.2020,09:00,0,385,430,0,383,413
08.01.2020,10:00,0,412,467,0,410,442
08.01.2020,11:00,0,477,477,0,453,485
08.01.2020,12:00,0,425,477,0,424,457
08.01.2020,13:00,0,488,493,0,448,498
08.01.2020,14:00,0,488,494,0,443,501
08.01.2020,15:00,0,486,493,0,446,500
08.01.2020,16:00,0,487,493,0,446,503
08.01.2020,17:00,0,481,486,0,436,493
08.01.2020,18:00,0,482,488,0,448,496
08.01.2020,19:00,0,486,491,0,443,499
08.01.2020,20:00,0,475,482,0,445,489
08.01.2020,21:00,0,490,488,0,452,498
08.01.2020,22:00,0,489,494,0,462,500
08.01.2020,23:00,0,482,498,0,449,497
09.01.2020,00:00,0,491,494,0,445,493
09.01.2020,01:00,0,491,493,0,445,496
09.01.2020,02:00,0,477,480,0,436,481
09.01.2020,03:00,0,483,484,0,439,486
09.01.2020,04:00,0,483,489,0,451,489
09.01.2020,05:00,0,493,495,0,462,497
09.01.2020,06:00,0,492,496,0,457,500
09.01.2020,07:00,0,490,495,0,454,497
09.01.2020,08:00,0,348,448,0,395,437
09.01.2020,09:00,0,312,333,0,362,326
09.01.2020,10:00,0,327,332,0,386,333
09.01.2020,11:00,0,332,347,0,389,335
09.01.2020,12:00,0,314,325,0,372,319
09.01.2020,13:00,0,335,340,0,399,339
09.01.2020,14:00,0,341,345,0,397,345
09.01.2020,15:00,0,338,346,0,395,341
09.01.2020,16:00,0,335,365,0,388,342
09.01.2020,17:00,0,369,418,0,387,398
09.01.2020,18:00,0,398,481,0,401,439
09.01.2020,19:00,0,380,445,0,396,407
09.01.2020,20:00,0,398,484,0,424,444
09.01.2020,21:00,0,399,481,0,418,442
09.01.2020,22:00,0,355,418,0,357,389
09.01.2020,23:00,0,358,420,0,346,391
10.01.2020,00:00,0,446,495,0,431,487
10.01.2020,01:00,0,459,496,0,438,487
10.01.2020,02:00,0,431,492,0,404,466
10.01.2020,03:00,0,378,441,0,364,414
10.01.2020,04:00,0,328,395,0,333,366
10.01.2020,05:00,0,440,489,0,417,472
10.01.2020,06:00,0,479,498,0,443,489
10.01.2020,07:00,0,401,450,0,383,423
10.01.2020,08:00,0,437,494,0,418,462
10.01.2020,09:00,0,416,473,0,401,445
10.01.2020,10:00,0,490,498,0,438,494
10.01.2020,11:00,0,409,467,0,396,439
10.01.2020,12:00,0,351,357,0,403,359
10.01.2020,13:00,0,356,375,0,407,358
10.01.2020,14:00,0,358,423,0,406,389
10.01.2020,15:00,0,380,460,0,377,411
10.01.2020,16:00,0,398,461,0,379,425
10.01.2020,17:00,0,369,433,0,359,406
10.01.2020,18:00,0,412,474,0,405,441
10.01.2020,19:00,0,411,472,0,399,437
10.01.2020,20:00,0,412,482,0,392,413
10.01.2020,21:00,0,472,492,0,405,471
10.01.2020,22:00,0,478,495,0,403,482
10.01.2020,23:00,0,475,496,0,397,483
11.01.2020,00:00,0,440,491,0,400,332
11.01.2020,01:00,0,493,496,0,387,206
11.01.2020,02:00,0,494,495,0,395,232
11.01.2020,03:00,0,489,490,0,392,230
11.01.2020,04:00,0,473,477,0,402,210
11.01.2020,05:00,0,371,410,0,388,168
11.01.2020,06:00,0,348,411,0,390,172
11.01.2020,07:00,0,365,412,0,412,180
11.01.2020,08:00,0,481,476,0,445,226
11.01.2020,09:00,0,493,497,0,460,239
11.01.2020,10:00,0,478,480,0,445,228
11.01.2020,11:00,0,446,479,0,444,186
11.01.2020,12:00,0,383,447,0,410,195
11.01.2020,13:00,0,330,359,0,393,173
11.01.2020,14:00,0,342,346,0,406,182
11.01.2020,15:00,0,358,480,0,441,179
11.01.2020,16:00,0,481,492,0,455,231
11.01.2020,17:00,0,489,494,0,463,232
11.01.2020,18:00,0,484,489,0,456,227
11.01.2020,19:00,0,384,438,0,408,172
11.01.2020,20:00,0,343,422,0,387,160
11.01.2020,21:00,0,260,332,0,384,167
11.01.2020,22:00,0,189,359,0,435,195
11.01.2020,23:00,0,150,356,0,412,92
12.01.2020,00:00,0,2,346,0,407,0
12.01.2020,01:00,0,0,320,0,395,0
12.01.2020,02:00,0,0,300,0,387,0
12.01.2020,03:00,0,0,316,0,384,0
12.01.2020,04:00,0,0,300,0,377,0
12.01.2020,05:00,0,0,300,0,388,0
12.01.2020,06:00,0,0,299,0,377,0
12.01.2020,07:00,0,0,299,0,377,0
12.01.2020,08:00,0,0,299,0,380,0
12.01.2020,09:00,0,0,355,0,398,0
12.01.2020,10:00,0,0,360,0,389,0
12.01.2020,11:00,0,0,397,0,390,0
12.01.2020,12:00,0,91,395,0,382,0
12.01.2020,13:00,0,143,320,0,381,0
12.01.2020,14:00,0,175,322,0,375,62
12.01.2020,15:00,0,154,312,0,375,122
12.01.2020,16:00,0,170,303,0,394,151
12.01.2020,17:00,0,179,301,0,397,152
12.01.2020,18:00,0,162,301,0,398,152
12.01.2020,19:00,0,162,300,0,391,153
12.01.2020,20:00,0,178,296,0,388,152
12.01.2020,21:00,0,169,294,0,387,148
12.01.2020,22:00,0,164,295,0,414,151
12.01.2020,23:00,0,154,298,0,404,150
13.01.2020,00:00,0,156,305,0,408,149
13.01.2020,01:00,0,153,306,0,411,143
13.01.2020,02:00,0,161,305,0,413,147
13.01.2020,03:00,0,205,353,0,404,145
13.01.2020,04:00,0,315,330,0,411,143
13.01.2020,05:00,0,326,333,0,413,295
13.01.2020,06:00,0,442,462,0,462,427
13.01.2020,07:00,0,492,501,0,459,467
13.01.2020,08:00,0,492,499,0,462,484
13.01.2020,09:00,0,494,501,0,466,493
