Datum,Uhrzeit,Generation_DE PSS B[MW],Generation_DE PSS C[MW],Generation_DE PSS D[MW],Generation_DE PSS F[MW],Generation_DE PSS E[MW],Generation_DE PSS A[MW]
07.01.2020,20:00,0,0,0,26,0,32
07.01.2020,21:00,0,0,0,0,0,1
07.01.2020,22:00,0,0,0,0,0,10
07.01.2020,23:00,0,0,0,0,0,0
08.01.2020,00:00,0,0,0,0,0,0
08.01.2020,01:00,0,0,0,0,0,0
08.01.2020,02:00,0,0,0,0,0,0
08.01.2020,03:00,0,0,0,0,0,0
08.01.2020,04:00,0,0,0,0,0,0
08.01.2020,05:00,0,0,0,0,0,0
08.01.2020,06:00,0,0,0,0,0,0
08.01.2020,07:00,0,0,0,0,0,0
08.01.2020,08:00,0,0,0,0,0,0
08.01.2020,09:00,0,0,0,0,0,0
08.01.2020,10:00,0,0,0,0,0,0
08.01.2020,11:00,0,0,0,0,0,0
08.01.2020,12:00,0,0,0,0,0,0
08.01.2020,13:00,0,0,0,0,0,0
08.01.2020,14:00,0,0,0,0,0,0
08.01.2020,15:00,0,166,164,92,160,162
08.01.2020,16:00,0,61,38,150,151,149
08.01.2020,17:00,0,32,114,114,114,113
08.01.2020,18:00,0,0,113,114,114,112
08.01.2020,19:00,0,0,114,115,115,114
08.01.2020,20:00,0,0,118,121,121,120
08.01.2020,21:00,0,0,0,1,0,2
08.01.2020,22:00,0,0,0,0,0,1
08.01.2020,23:00,0,0,0,0,0,146
09.01.2020,00:00,0,0,0,0,0,0
09.01.2020,01:00,0,0,0,0,0,0
09.01.2020,02:00,0,0,0,0,0,0
09.01.2020,03:00,0,0,0,0,0,0
09.01.2020,04:00,0,0,0,0,0,0
09.01.2020,05:00,0,0,0,0,0,0
09.01.2020,06:00,0,1,1,0,0,1
09.01.2020,07:00,0,160,160,157,158,159
09.01.2020,08:00,0,155,155,155,156,154
09.01.2020,09:00,0,109,138,140,141,140
09.01.2020,10:00,0,0,0,2,0,18
09.01.2020,11:00,0,0,0,0,0,0
09.01.2020,12:00,0,0,0,0,0,0
09.01.2020,13:00,0,0,0,0,0,0
09.01.2020,14:00,0,0,0,0,0,0
09.01.2020,15:00,0,0,0,0,0,0
09.01.2020,16:00,0,0,0,0,0,0
09.01.2020,17:00,0,0,0,0,0,0
09.01.2020,18:00,0,0,0,0,0,138
09.01.2020,19:00,0,0,0,0,0,0
09.01.2020,20:00,0,0,0,0,0,0
09.01.2020,21:00,0,0,0,0,0,0
09.01.2020,22:00,0,0,0,0,0,0
09.01.2020,23:00,0,0,0,0,0,0
10.01.2020,00:00,0,0,0,0,0,0
10.01.2020,01:00,0,0,0,0,0,0
10.01.2020,02:00,0,0,0,0,0,0
10.01.2020,03:00,0,0,0,0,0,0
10.01.2020,04:00,0,0,0,0,0,0
10.01.2020,05:00,0,0,0,0,0,0
10.01.2020,06:00,0,0,0,0,0,0
10.01.2020,07:00,0,0,56,0,0,0
10.01.2020,08:00,0,0,1,0,0,0
10.01.2020,09:00,0,58,149,0,13,147
10.01.2020,10:00,0,0,0,0,0,0
