Datum,Uhrzeit,Generation_DE G[MW],Generation_DE C[MW],Generation_DE F[MW],Generation_DE A[MW],Generation_DE B[MW],Generation_DE D[MW],Generation_DE E[MW]
06.01.2020,16:00,1064,0,1072,0,264,0,0
06.01.2020,17:00,1066,0,1072,0,272,0,0
06.01.2020,18:00,1065,0,1072,0,271,0,0
06.01.2020,19:00,1064,0,1069,0,272,0,0
06.01.2020,20:00,1062,0,1069,0,264,0,0
06.01.2020,21:00,1064,0,1066,0,214,0,0
06.01.2020,22:00,1065,0,1070,0,228,0,0
06.01.2020,23:00,1065,0,1070,0,162,0,0
07.01.2020,00:00,1064,0,1066,0,160,0,0
07.01.2020,01:00,1061,0,1070,0,160,0,0
07.01.2020,02:00,1061,0,1070,0,161,0,0
07.01.2020,03:00,1061,0,1069,0,161,0,0
07.01.2020,04:00,1062,0,1068,0,168,0,0
07.01.2020,05:00,1061,0,1068,0,254,0,0
07.01.2020,06:00,1063,0,1068,0,261,0,0
07.01.2020,07:00,1058,0,1067,0,260,0,0
07.01.2020,08:00,1059,0,1067,0,263,0,0
07.01.2020,09:00,1055,0,1070,0,262,0,0
07.01.2020,10:00,1061,0,1069,0,262,0,0
07.01.2020,11:00,1059,0,1071,0,263,0,0
07.01.2020,12:00,1062,0,1066,0,263,0,0
07.01.2020,13:00,1060,0,1069,0,264,0,0
07.01.2020,14:00,1059,0,1069,0,262,0,0
07.01.2020,15:00,1060,0,1070,0,261,0,0
07.01.2020,16:00,1056,0,1073,0,263,0,0
07.01.2020,17:00,1061,0,1070,0,269,0,0
07.01.2020,18:00,1061,0,1069,0,273,0,0
07.01.2020,19:00,1060,0,1071,0,273,0,0
07.01.2020,20:00,1060,0,1068,0,274,0,0
07.01.2020,21:00,1059,0,1070,0,255,0,0
07.01.2020,22:00,1056,0,1063,0,228,0,0
07.01.2020,23:00,850,0,919,0,165,0,0
08.01.2020,00:00,584,0,683,0,162,0,0
08.01.2020,01:00,503,0,749,0,163,0,0
08.01.2020,02:00,490,0,482,0,166,0,0
08.01.2020,03:00,487,0,487,0,165,0,0
08.01.2020,04:00,523,0,536,0,162,0,0
08.01.2020,05:00,826,0,839,0,165,0,0
08.01.2020,06:00,1036,0,1060,0,187,0,0
08.01.2020,07:00,1056,0,1061,9,254,0,0
08.01.2020,08:00,1058,0,1065,124,269,0,0
08.01.2020,09:00,1061,0,1068,256,275,0,0
08.01.2020,10:00,1057,0,1065,285,274,0,0
08.01.2020,11:00,1053,0,1065,284,274,0,0
08.01.2020,12:00,1048,0,1066,283,274,0,0
08.01.2020,13:00,1051,0,1068,278,274,0,0
08.01.2020,14:00,1048,0,1065,277,274,0,0
08.01.2020,15:00,1048,0,1067,277,274,0,0
08.01.2020,16:00,1047,0,1066,277,274,0,0
08.01.2020,17:00,1049,0,1065,281,277,0,0
08.01.2020,18:00,1047,0,1065,281,277,0,0
08.01.2020,19:00,1049,0,1070,280,275,0,0
08.01.2020,20:00,1046,0,1067,280,277,0,0
08.01.2020,21:00,1048,0,1070,280,277,0,0
08.01.2020,22:00,1046,0,1070,280,276,0,0
08.01.2020,23:00,1049,0,1071,277,274,0,0
09.01.2020,00:00,1061,0,1060,285,284,0,0
09.01.2020,01:00,1056,0,1058,281,284,0,0
09.01.2020,02:00,1059,0,1057,282,283,0,0
09.01.2020,03:00,1057,0,1062,283,282,0,0
09.01.2020,04:00,1053,0,1060,283,284,0,0
09.01.2020,05:00,1054,0,1060,283,285,0,0
09.01.2020,06:00,1054,0,1060,283,285,0,0
09.01.2020,07:00,1055,0,1058,285,284,0,0
09.01.2020,08:00,1056,0,1056,285,284,0,0
09.01.2020,09:00,1048,0,1059,285,283,0,0
09.01.2020,10:00,1050,0,1063,282,283,0,0
09.01.2020,11:00,1045,0,1058,278,282,0,0
09.01.2020,12:00,1045,0,1058,255,229,0,0
09.01.2020,13:00,1041,0,1059,189,141,0,0
09.01.2020,14:00,1043,0,1057,172,140,0,0
09.01.2020,15:00,1039,0,1058,197,142,0,0
09.01.2020,16:00,1041,0,1057,278,142,0,0
09.01.2020,17:00,1036,0,1060,283,159,0,0
09.01.2020,18:00,1041,0,1059,270,275,0,0
09.01.2020,19:00,1043,0,1058,226,215,0,0
09.01.2020,20:00,1042,0,1060,200,0,0,0
09.01.2020,21:00,1040,0,1059,154,0,0,0
09.01.2020,22:00,1039,0,1058,159,0,0,0
09.01.2020,23:00,1037,0,1058,155,0,0,0
10.01.2020,00:00,1038,0,1060,153,0,0,0
10.01.2020,01:00,1040,0,1059,154,0,0,0
10.01.2020,02:00,1044,0,1064,153,0,0,0
10.01.2020,03:00,1044,0,1064,155,0,0,0
10.01.2020,04:00,1040,0,1063,169,0,0,0
10.01.2020,05:00,1038,0,1061,199,0,0,0
10.01.2020,06:00,1041,0,1062,214,0,0,0
10.01.2020,07:00,1040,0,1068,214,0,0,0
10.01.2020,08:00,1041,0,1069,216,0,0,0
10.01.2020,09:00,1041,0,1069,220,0,0,0
10.01.2020,10:00,1043,0,1065,222,0,0,0
10.01.2020,11:00,1046,0,1059,218,0,0,0
10.01.2020,12:00,1050,0,1061,217,0,0,0
10.01.2020,13:00,1053,0,1061,216,0,0,0
10.01.2020,14:00,1054,0,1060,216,0,0,0
10.01.2020,15:00,1056,0,1059,216,0,0,0
10.01.2020,16:00,1053,0,1057,217,0,0,0
10.01.2020,17:00,1052,0,1055,224,0,0,0
10.01.2020,18:00,1053,0,1056,223,0,0,0
10.01.2020,19:00,1053,0,1058,228,0,0,0
10.01.2020,20:00,1054,0,1059,226,0,0,0
10.01.2020,21:00,1056,0,1058,225,0,0,0
10.01.2020,22:00,1056,0,1059,225,0,0,0
10.01.2020,23:00,1054,0,1057,214,0,0,0
11.01.2020,00:00,1053,0,1060,216,0,0,0
11.01.2020,01:00,1057,0,1059,182,0,0,0
11.01.2020,02:00,1055,0,1055,166,0,0,0
11.01.2020,03:00,1054,0,1060,157,0,0,0
11.01.2020,04:00,1055,0,1059,157,0,0,0
11.01.2020,05:00,1056,0,1058,156,0,0,0
11.01.2020,06:00,983,0,984,156,0,0,0
11.01.2020,07:00,1052,0,1054,180,0,0,0
11.01.2020,08:00,1061,0,1054,223,0,0,0
11.01.2020,09:00,1056,0,1055,225,0,0,0
11.01.2020,10:00,1057,0,1058,222,0,0,0
11.01.2020,11:00,1056,0,1058,252,0,0,0
11.01.2020,12:00,1056,0,1057,249,0,0,0
11.01.2020,13:00,1053,0,1054,176,0,0,0
11.01.2020,14:00,1051,0,1056,160,0,0,0
11.01.2020,15:00,1053,0,1058,216,0,0,0
11.01.2020,16:00,1058,0,1059,246,0,0,0
11.01.2020,17:00,1055,0,1061,268,0,0,0
11.01.2020,18:00,1059,0,1061,264,0,0,0
11.01.2020,19:00,1058,0,1063,257,0,0,0
11.01.2020,20:00,1043,0,1063,182,0,0,0
11.01.2020,21:00,1061,0,1058,184,0,0,0
11.01.2020,22:00,849,0,929,166,0,0,0
11.01.2020,23:00,563,0,618,161,0,0,0
12.01.2020,00:00,512,0,494,158,0,0,0
12.01.2020,01:00,477,0,484,162,0,0,0
12.01.2020,02:00,485,0,482,161,0,0,0
12.01.2020,03:00,569,0,543,160,0,0,0
12.01.2020,04:00,519,0,496,160,0,0,0
12.01.2020,05:00,483,0,488,161,0,0,0
12.01.2020,06:00,482,0,485,164,0,0,0
12.01.2020,07:00,482,0,485,165,0,0,0
12.01.2020,08:00,481,0,484,165,0,0,0
12.01.2020,09:00,481,0,482,164,0,0,0
12.01.2020,10:00,483,0,485,165,0,0,0
12.01.2020,11:00,481,0,483,163,0,0,0
12.01.2020,12:00,486,0,482,163,0,0,0
12.01.2020,13:00,503,0,514,164,0,0,0
12.01.2020,14:00,594,0,597,164,0,0,0
12.01.2020,15:00,500,0,534,163,0,0,0
12.01.2020,16:00,732,0,616,165,0,0,0
12.01.2020,17:00,1046,0,944,173,0,0,0
12.01.2020,18:00,1050,0,1053,176,0,0,0
12.01.2020,19:00,977,0,980,177,0,0,0
12.01.2020,20:00,574,0,563,174,0,0,0
12.01.2020,21:00,532,0,543,173,0,0,0
12.01.2020,22:00,816,0,817,182,0,0,0
12.01.2020,23:00,948,0,951,166,0,0,0
13.01.2020,00:00,827,0,831,166,0,0,0
13.01.2020,01:00,876,0,871,164,0,0,0
13.01.2020,02:00,813,0,640,163,0,0,0
13.01.2020,03:00,917,0,841,163,0,0,0
13.01.2020,04:00,1042,0,1051,165,0,0,0
13.01.2020,05:00,1054,0,1052,199,0,0,0
13.01.2020,06:00,1052,0,1052,252,0,0,0
13.01.2020,07:00,1052,0,1051,263,0,0,0
13.01.2020,08:00,1054,0,1053,263,0,0,0
13.01.2020,09:00,1054,0,1055,262,0,0,0
13.01.2020,10:00,1052,0,1055,263,0,0,0
13.01.2020,11:00,1051,0,1055,263,0,0,0
13.01.2020,12:00,1051,0,1055,263,0,0,0
13.01.2020,13:00,1048,0,1059,264,0,0,0
13.01.2020,14:00,1050,0,1055,264,0,0,0
13.01.2020,15:00,1048,0,1059,264,0,0,0
13.01.2020,16:00,1048,0,1057,264,0,0,0
13.01.2020,17:00,1043,0,1061,274,0,0,0
13.01.2020,18:00,1049,0,1054,279,0,0,0
13.01.2020,19:00,1052,0,1055,281,0,0,0
13.01.2020,20:00,958,0,1037,200,0,0,0
13.01.2020,21:00,871,0,918,174,0,0,0
13.01.2020,22:00,864,0,847,174,0,0,0
13.01.2020,23:00,865,0,571,170,0,0,0
14.01.2020,00:00,864,0,483,169,0,0,0
14.01.2020,01:00,865,0,495,171,0,0,0
14.01.2020,02:00,865,0,486,171,0,0,0
14.01.2020,03:00,760,0,481,170,0,0,0
14.01.2020,04:00,480,0,487,170,0,0,0
14.01.2020,05:00,495,0,494,170,0,0,0
14.01.2020,06:00,834,0,836,171,0,0,0
14.01.2020,07:00,1043,0,1046,173,0,0,0
14.01.2020,08:00,1047,0,1049,227,0,0,0
14.01.2020,09:00,1047,0,1050,189,0,0,0
14.01.2020,10:00,1044,0,1008,183,0,0,0
14.01.2020,11:00,1029,0,0,204,0,0,0
14.01.2020,12:00,1036,0,0,169,0,0,0
14.01.2020,13:00,1041,0,0,198,0,0,0
14.01.2020,14:00,1041,0,0,213,0,0,0
14.01.2020,15:00,1037,0,0,244,0,0,0
14.01.2020,16:00,1038,0,0,259,0,0,0
14.01.2020,17:00,1037,0,0,265,0,0,0
14.01.2020,18:00,1042,0,0,268,0,0,0
14.01.2020,19:00,1044,0,0,271,0,0,0
14.01.2020,20:00,1040,0,0,256,0,0,0
14.01.2020,21:00,904,0,0,174,0,0,0
14.01.2020,22:00,898,0,0,170,0,0,0
14.01.2020,23:00,694,0,0,166,0,0,0
15.01.2020,00:00,484,0,0,167,0,0,0
15.01.2020,01:00,485,0,0,164,0,0,0
15.01.2020,02:00,484,0,0,159,0,0,0
15.01.2020,03:00,486,0,0,159,0,0,0
15.01.2020,04:00,485,0,0,161,0,0,0
15.01.2020,05:00,498,0,0,161,0,0,0
15.01.2020,06:00,877,0,0,194,0,0,0
15.01.2020,07:00,1037,0,0,261,0,0,0
15.01.2020,08:00,1040,0,0,270,0,0,0
15.01.2020,09:00,1043,0,0,269,0,0,0
15.01.2020,10:00,1039,0,0,260,0,0,0
15.01.2020,11:00,1045,0,0,191,0,0,0
15.01.2020,12:00,1042,0,0,185,0,0,0
15.01.2020,13:00,1039,0,0,227,0,0,0
15.01.2020,14:00,1042,0,0,265,0,0,0
15.01.2020,15:00,1036,0,0,264,0,0,0
15.01.2020,16:00,1040,0,0,264,0,0,0
15.01.2020,17:00,1039,0,0,269,0,0,0
15.01.2020,18:00,1039,0,0,270,0,0,0
15.01.2020,19:00,1038,0,0,271,0,0,0
15.01.2020,20:00,1039,0,0,270,0,0,0
15.01.2020,21:00,1038,0,0,267,0,0,0
15.01.2020,22:00,1025,0,0,262,0,0,0
15.01.2020,23:00,968,0,0,278,0,0,0
16.01.2020,00:00,942,0,0,285,0,0,0
16.01.2020,01:00,940,0,0,286,0,0,0
16.01.2020,02:00,915,0,0,285,0,0,0
16.01.2020,03:00,926,0,0,286,0,0,0
16.01.2020,04:00,930,0,0,286,0,0,0
16.01.2020,05:00,1030,0,0,286,0,0,108
16.01.2020,06:00,1050,0,0,284,0,0,303
16.01.2020,07:00,1050,0,0,280,0,0,471
16.01.2020,08:00,1047,0,0,284,0,0,585
16.01.2020,09:00,1047,0,0,281,0,0,582
16.01.2020,10:00,1046,0,0,283,0,0,588
16.01.2020,11:00,1049,0,0,282,0,0,586
16.01.2020,12:00,1049,0,0,282,0,0,586
16.01.2020,13:00,1042,0,0,281,0,0,586
16.01.2020,14:00,1046,0,0,281,0,0,585
16.01.2020,15:00,1042,0,0,280,0,0,585
16.01.2020,16:00,1042,0,0,279,0,0,571
16.01.2020,17:00,1048,0,0,282,0,0,577
16.01.2020,18:00,1045,0,0,282,0,0,579
16.01.2020,19:00,1044,0,0,283,0,0,582
16.01.2020,20:00,1045,0,0,276,0,0,555
16.01.2020,21:00,1046,0,0,156,0,0,286
16.01.2020,22:00,1046,0,0,139,0,0,261
16.01.2020,23:00,1046,0,0,138,0,0,258
17.01.2020,00:00,1036,0,0,137,0,0,257
17.01.2020,01:00,1023,0,0,138,0,0,255
17.01.2020,02:00,847,0,0,137,0,0,255
17.01.2020,03:00,977,0,0,136,0,0,256
17.01.2020,04:00,979,0,130,136,0,0,254
17.01.2020,05:00,1039,0,453,144,0,0,342
17.01.2020,06:00,1048,0,797,257,0,0,573
17.01.2020,07:00,1042,0,1044,280,0,0,575
17.01.2020,08:00,1042,0,1053,280,0,0,579
17.01.2020,09:00,1037,0,1060,280,0,0,588
17.01.2020,10:00,1038,0,1054,280,0,0,594
17.01.2020,11:00,1037,0,1056,280,0,0,599
17.01.2020,12:00,1039,0,1057,280,0,0,599
17.01.2020,13:00,1036,0,1059,280,0,0,600
17.01.2020,14:00,1034,0,1053,279,0,0,600
17.01.2020,15:00,1036,0,1060,280,0,0,602
17.01.2020,16:00,1039,0,1064,279,0,0,600
17.01.2020,17:00,1040,0,1062,283,0,0,608
17.01.2020,18:00,1043,0,1064,284,0,0,613
17.01.2020,19:00,1036,0,1063,283,0,0,611
17.01.2020,20:00,1043,0,1064,273,0,0,610
17.01.2020,21:00,1040,0,1062,149,0,0,369
17.01.2020,22:00,1033,0,1065,139,0,0,259
17.01.2020,23:00,1043,0,1066,138,0,0,275
18.01.2020,00:00,923,0,929,137,0,0,279
18.01.2020,01:00,899,0,902,136,0,0,277
18.01.2020,02:00,804,0,800,135,0,0,276
18.01.2020,03:00,776,0,670,136,0,0,275
18.01.2020,04:00,930,0,847,136,0,0,278
18.01.2020,05:00,967,0,984,135,0,0,276
18.01.2020,06:00,997,0,1007,136,0,0,278
18.01.2020,07:00,1038,0,1057,171,0,0,287
18.01.2020,08:00,1038,0,1050,278,0,0,425
18.01.2020,09:00,1036,0,1061,282,0,0,605
18.01.2020,10:00,1034,0,1059,283,0,0,595
18.01.2020,11:00,1036,0,1060,281,0,0,597
18.01.2020,12:00,1035,0,1056,269,0,0,596
18.01.2020,13:00,1035,0,1059,261,0,0,597
18.01.2020,14:00,1035,0,1059,281,0,0,596
18.01.2020,15:00,1034,0,1058,281,0,0,597
18.01.2020,16:00,1037,0,1059,281,0,0,597
18.01.2020,17:00,1042,0,1064,283,0,0,604
18.01.2020,18:00,1045,0,1061,285,0,0,605
18.01.2020,19:00,1045,0,1063,285,0,0,608
18.01.2020,20:00,1042,0,1058,286,0,0,607
18.01.2020,21:00,1048,0,1052,285,0,0,609
18.01.2020,22:00,1046,0,1059,284,0,0,604
18.01.2020,23:00,1045,0,1059,281,0,0,597
19.01.2020,00:00,1050,0,1060,277,0,0,388
19.01.2020,01:00,1046,0,1058,218,0,0,251
19.01.2020,02:00,1045,0,1062,140,0,0,262
19.01.2020,03:00,1045,0,1052,173,0,0,258
19.01.2020,04:00,1044,0,1057,153,0,0,253
19.01.2020,05:00,1044,0,1061,136,0,0,251
19.01.2020,06:00,1044,0,1058,136,0,0,251
19.01.2020,07:00,1043,0,1058,161,0,0,279
19.01.2020,08:00,1043,0,1058,264,0,0,550
19.01.2020,09:00,1045,0,1061,282,0,0,602
19.01.2020,10:00,1045,0,1057,281,0,0,602
19.01.2020,11:00,1046,0,1060,280,0,0,601
19.01.2020,12:00,1042,0,1052,281,0,0,600
19.01.2020,13:00,1046,0,1063,282,0,0,599
19.01.2020,14:00,1044,0,1060,283,0,0,569
19.01.2020,15:00,1045,0,1059,282,0,0,603
19.01.2020,16:00,1043,0,1060,281,0,0,601
19.01.2020,17:00,1042,0,1057,284,0,0,605
19.01.2020,18:00,1046,0,1060,284,0,0,606
19.01.2020,19:00,1044,0,1060,285,0,0,606
19.01.2020,20:00,1044,0,1062,285,0,0,608
19.01.2020,21:00,1043,0,1060,285,0,0,607
19.01.2020,22:00,1045,0,1060,285,0,0,607
19.01.2020,23:00,1041,0,1062,283,0,0,600
20.01.2020,00:00,1046,0,1061,281,0,0,565
20.01.2020,01:00,1045,0,1060,280,0,0,586
20.01.2020,02:00,1048,0,1065,277,0,0,590
20.01.2020,03:00,1044,0,1062,192,38,0,381
20.01.2020,04:00,1042,0,1036,160,161,0,287
20.01.2020,05:00,1049,0,1059,239,181,0,442
20.01.2020,06:00,1045,0,1063,289,250,0,602
20.01.2020,07:00,1044,0,1067,291,286,0,618
20.01.2020,08:00,1046,0,1064,288,288,0,619
20.01.2020,09:00,1047,0,1058,286,289,0,617
20.01.2020,10:00,1046,0,1059,285,289,0,612
20.01.2020,11:00,1047,0,1056,287,288,0,612
20.01.2020,12:00,1044,0,1046,287,288,0,613
20.01.2020,13:00,1052,0,1055,286,289,0,613
20.01.2020,14:00,1046,0,1057,286,288,0,611
20.01.2020,15:00,1050,0,1053,286,289,0,611
20.01.2020,16:00,1052,0,1057,287,289,0,612
20.01.2020,17:00,1049,0,1049,288,292,0,618
20.01.2020,18:00,1053,0,1049,289,294,0,622
20.01.2020,19:00,1053,0,1056,293,294,0,617
20.01.2020,20:00,1053,0,1048,292,292,0,617
20.01.2020,21:00,1051,0,1054,293,295,0,617
20.01.2020,22:00,1053,0,1056,294,297,0,617
20.01.2020,23:00,1053,0,1052,290,294,0,611
21.01.2020,00:00,1050,0,1053,288,166,0,611
21.01.2020,01:00,1053,0,1047,292,144,0,613
21.01.2020,02:00,1049,0,1042,289,144,0,613
21.01.2020,03:00,1053,0,1043,293,145,0,614
21.01.2020,04:00,1046,0,1041,292,235,0,613
21.01.2020,05:00,935,0,937,293,293,32,615
21.01.2020,06:00,1050,0,1042,292,294,130,617
21.01.2020,07:00,1051,0,1053,294,295,308,619
21.01.2020,08:00,1049,0,1051,293,294,374,616
21.01.2020,09:00,1052,0,1048,293,293,376,622
21.01.2020,10:00,1053,0,1047,292,291,375,616
21.01.2020,11:00,1052,0,1052,293,291,377,615
21.01.2020,12:00,1054,0,1053,292,292,384,612
21.01.2020,13:00,1052,0,1044,293,291,385,614
21.01.2020,14:00,1054,0,1051,295,291,384,613
21.01.2020,15:00,1055,0,1053,295,293,386,615
21.01.2020,16:00,1055,0,1054,295,293,386,616
21.01.2020,17:00,1054,0,1054,296,292,386,616
21.01.2020,18:00,1055,0,1061,295,293,386,615
21.01.2020,19:00,1053,0,1057,295,293,386,614
21.01.2020,20:00,1055,0,1057,296,293,386,616
21.01.2020,21:00,1055,0,1061,294,293,387,615
21.01.2020,22:00,1058,0,1060,293,292,385,614
21.01.2020,23:00,1055,0,1062,293,292,384,611
22.01.2020,00:00,1059,0,1058,295,292,383,612
22.01.2020,01:00,1059,0,1063,293,222,384,610
22.01.2020,02:00,1059,0,1061,279,219,384,612
22.01.2020,03:00,1058,0,1062,248,247,385,602
22.01.2020,04:00,1057,0,1064,288,292,385,601
22.01.2020,05:00,1059,0,1062,294,292,383,602
22.01.2020,06:00,1057,0,1064,293,292,384,600
22.01.2020,07:00,1059,0,1065,294,292,385,600
22.01.2020,08:00,1058,0,1061,294,292,384,604
22.01.2020,09:00,1057,0,1065,294,293,384,600
22.01.2020,10:00,1055,0,1062,288,292,383,599
22.01.2020,11:00,1055,0,1061,291,292,383,599
22.01.2020,12:00,1056,0,1063,294,292,384,601
22.01.2020,13:00,1056,0,1065,293,292,384,599
