Datum,Uhrzeit,Generation_DE Block E GTE1[MW],Generation_DE Block E GTE2[MW],Generation_DE GuD F[MW],Generation_DE AGas0und0Dampfturbinen[MW],Generation_DE Block E[MW]
14.01.2020,16:00,0,0,558,0,0
14.01.2020,17:00,0,0,558,0,0
14.01.2020,18:00,0,0,560,0,0
14.01.2020,19:00,0,0,560,0,0
14.01.2020,20:00,0,0,489,0,0
14.01.2020,21:00,0,0,480,0,0
14.01.2020,22:00,0,0,263,0,0
14.01.2020,23:00,0,0,1,0,0
15.01.2020,00:00,0,0,0,0,0
15.01.2020,01:00,0,0,0,0,0
15.01.2020,02:00,0,0,0,0,0
15.01.2020,03:00,0,0,0,0,0
15.01.2020,04:00,0,0,0,0,0
15.01.2020,05:00,0,0,0,0,0
15.01.2020,06:00,0,0,202,0,0
15.01.2020,07:00,0,0,537,0,0
15.01.2020,08:00,0,0,528,0,0
15.01.2020,09:00,0,0,529,0,0
15.01.2020,10:00,0,0,504,0,0
15.01.2020,11:00,0,0,503,0,0
15.01.2020,12:00,0,0,500,0,0
15.01.2020,13:00,0,0,523,0,0
15.01.2020,14:00,0,0,523,0,0
15.01.2020,15:00,0,0,525,0,0
15.01.2020,16:00,0,0,558,0,0
15.01.2020,17:00,0,0,562,0,0
15.01.2020,18:00,0,0,561,0,0
15.01.2020,19:00,0,0,563,0,0
15.01.2020,20:00,0,0,537,0,0
15.01.2020,21:00,0,0,507,0,0
15.01.2020,22:00,0,0,65,0,0
15.01.2020,23:00,0,0,0,0,0
16.01.2020,00:00,0,0,0,0,0
16.01.2020,01:00,0,0,0,0,0
16.01.2020,02:00,0,0,0,0,0
16.01.2020,03:00,0,0,0,0,0
16.01.2020,04:00,0,0,0,0,0
16.01.2020,05:00,0,0,0,0,0
16.01.2020,06:00,0,0,198,0,0
16.01.2020,07:00,0,0,565,0,0
16.01.2020,08:00,0,0,562,0,0
16.01.2020,09:00,0,0,571,0,0
16.01.2020,10:00,0,0,570,0,0
16.01.2020,11:00,0,0,571,0,0
16.01.2020,12:00,0,0,560,0,0
16.01.2020,13:00,0,0,570,0,0
16.01.2020,14:00,0,0,547,0,0
16.01.2020,15:00,0,0,545,0,0
16.01.2020,16:00,0,0,560,0,0
16.01.2020,17:00,0,0,560,0,0
16.01.2020,18:00,0,0,535,0,0
16.01.2020,19:00,0,0,536,0,0
16.01.2020,20:00,0,0,539,0,0
16.01.2020,21:00,0,0,505,0,0
16.01.2020,22:00,0,0,516,0,0
16.01.2020,23:00,0,0,230,0,0
17.01.2020,00:00,0,0,0,0,0
17.01.2020,01:00,0,0,0,0,0
17.01.2020,02:00,0,0,0,0,0
17.01.2020,03:00,0,0,0,0,0
17.01.2020,04:00,0,0,12,0,0
17.01.2020,05:00,0,0,250,0,0
17.01.2020,06:00,0,0,514,0,0
17.01.2020,07:00,0,0,546,0,0
17.01.2020,08:00,0,0,576,0,0
17.01.2020,09:00,0,0,577,0,0
17.01.2020,10:00,0,0,578,0,0
17.01.2020,11:00,0,0,543,0,0
17.01.2020,12:00,0,0,574,0,0
17.01.2020,13:00,0,0,573,0,0
17.01.2020,14:00,0,0,572,0,0
17.01.2020,15:00,0,0,575,0,0
17.01.2020,16:00,0,0,569,0,0
17.01.2020,17:00,0,0,566,0,0
17.01.2020,18:00,0,0,573,0,0
17.01.2020,19:00,0,0,573,0,0
17.01.2020,20:00,0,0,571,0,0
17.01.2020,21:00,0,0,544,0,0
17.01.2020,22:00,0,0,552,0,0
17.01.2020,23:00,0,0,517,0,0
18.01.2020,00:00,0,0,531,0,0
18.01.2020,01:00,0,0,550,0,0
18.01.2020,02:00,0,0,573,0,0
18.01.2020,03:00,0,0,496,0,0
18.01.2020,04:00,0,0,483,0,0
18.01.2020,05:00,0,0,539,0,0
18.01.2020,06:00,0,0,515,0,0
18.01.2020,07:00,0,0,554,0,0
18.01.2020,08:00,0,0,547,0,0
18.01.2020,09:00,0,0,574,0,0
18.01.2020,10:00,0,0,575,0,0
18.01.2020,11:00,0,0,575,0,0
18.01.2020,12:00,0,0,584,0,0
18.01.2020,13:00,0,0,584,0,0
18.01.2020,14:00,0,0,584,0,0
18.01.2020,15:00,0,0,582,0,0
18.01.2020,16:00,0,0,582,0,0
18.01.2020,17:00,0,0,583,0,0
18.01.2020,18:00,0,0,573,0,0
18.01.2020,19:00,0,0,574,0,0
18.01.2020,20:00,0,0,576,0,0
18.01.2020,21:00,0,0,578,0,0
18.01.2020,22:00,0,0,582,0,0
18.01.2020,23:00,0,0,585,0,0
19.01.2020,00:00,0,0,585,0,0
19.01.2020,01:00,0,0,585,0,0
19.01.2020,02:00,0,0,551,0,0
19.01.2020,03:00,0,0,496,0,0
19.01.2020,04:00,0,0,366,0,0
19.01.2020,05:00,0,0,378,0,0
19.01.2020,06:00,0,0,415,0,0
19.01.2020,07:00,0,0,438,0,0
19.01.2020,08:00,0,0,491,0,0
19.01.2020,09:00,0,0,525,0,0
19.01.2020,10:00,0,0,557,0,0
19.01.2020,11:00,0,0,575,0,0
19.01.2020,12:00,0,0,586,0,0
19.01.2020,13:00,0,0,563,0,0
19.01.2020,14:00,0,0,583,0,0
19.01.2020,15:00,0,0,582,0,0
19.01.2020,16:00,0,0,580,0,0
19.01.2020,17:00,0,0,581,0,0
19.01.2020,18:00,0,0,583,0,0
19.01.2020,19:00,0,0,572,0,0
19.01.2020,20:00,0,0,575,0,0
19.01.2020,21:00,0,0,578,0,0
19.01.2020,22:00,0,0,583,0,0
19.01.2020,23:00,0,0,586,0,0
20.01.2020,00:00,0,0,584,0,0
20.01.2020,01:00,0,0,581,0,0
20.01.2020,02:00,0,0,583,0,0
20.01.2020,03:00,0,0,581,0,0
20.01.2020,04:00,0,0,553,0,0
20.01.2020,05:00,0,0,545,0,0
20.01.2020,06:00,0,0,573,5,0
20.01.2020,07:00,0,0,572,40,0
20.01.2020,08:00,0,0,568,76,0
20.01.2020,09:00,0,0,583,85,0
20.01.2020,10:00,0,0,576,95,0
20.01.2020,11:00,0,0,578,95,0
20.01.2020,12:00,0,0,578,95,0
20.01.2020,13:00,0,0,571,101,0
20.01.2020,14:00,0,0,565,107,0
20.01.2020,15:00,0,0,560,107,0
20.01.2020,16:00,0,0,560,107,0
20.01.2020,17:00,0,0,573,98,0
20.01.2020,18:00,0,0,591,76,0
20.01.2020,19:00,0,0,591,77,0
20.01.2020,20:00,0,0,592,89,0
20.01.2020,21:00,0,0,595,90,0
20.01.2020,22:00,0,0,595,85,0
20.01.2020,23:00,0,0,579,12,0
21.01.2020,00:00,0,0,588,0,0
21.01.2020,01:00,0,0,588,0,0
21.01.2020,02:00,0,0,588,0,0
21.01.2020,03:00,0,0,584,0,0
21.01.2020,04:00,0,0,567,0,0
21.01.2020,05:00,0,0,575,0,0
21.01.2020,06:00,0,0,577,21,0
21.01.2020,07:00,0,0,578,79,0
21.01.2020,08:00,0,0,570,95,0
21.01.2020,09:00,0,0,570,95,0
21.01.2020,10:00,0,0,573,100,0
21.01.2020,11:00,0,0,574,102,0
21.01.2020,12:00,0,0,573,103,0
21.01.2020,13:00,0,0,571,103,0
21.01.2020,14:00,0,0,568,106,0
21.01.2020,15:00,0,0,570,105,0
21.01.2020,16:00,0,0,591,78,0
21.01.2020,17:00,0,0,589,81,0
21.01.2020,18:00,0,0,589,83,0
21.01.2020,19:00,0,0,589,83,0
21.01.2020,20:00,0,0,589,85,0
21.01.2020,21:00,0,0,589,87,0
21.01.2020,22:00,0,0,596,84,0
21.01.2020,23:00,0,0,579,33,0
22.01.2020,00:00,0,0,580,0,0
22.01.2020,01:00,0,0,580,0,0
22.01.2020,02:00,0,0,579,0,0
22.01.2020,03:00,0,0,579,0,0
22.01.2020,04:00,0,0,575,0,0
22.01.2020,05:00,0,0,570,0,0
22.01.2020,06:00,0,0,570,24,0
22.01.2020,07:00,0,0,571,88,0
22.01.2020,08:00,0,0,572,94,0
22.01.2020,09:00,0,0,572,97,0
22.01.2020,10:00,0,0,574,98,0
22.01.2020,11:00,0,0,578,97,0
22.01.2020,12:00,0,0,581,94,0
22.01.2020,13:00,0,0,585,90,0
22.01.2020,14:00,0,0,578,96,0
22.01.2020,15:00,0,0,579,97,0
22.01.2020,16:00,0,0,571,99,0
22.01.2020,17:00,0,0,581,86,0
22.01.2020,18:00,0,0,582,88,0
22.01.2020,19:00,0,0,583,87,0
22.01.2020,20:00,0,0,591,84,0
22.01.2020,21:00,0,0,597,77,0
22.01.2020,22:00,0,0,599,82,0
22.01.2020,23:00,0,0,594,79,0
23.01.2020,00:00,0,0,582,76,0
23.01.2020,01:00,0,0,581,76,0
23.01.2020,02:00,0,0,582,76,0
23.01.2020,03:00,0,0,580,76,0
23.01.2020,04:00,0,0,578,76,0
23.01.2020,05:00,0,0,575,76,0
23.01.2020,06:00,0,0,588,79,0
23.01.2020,07:00,0,0,589,81,0
23.01.2020,08:00,0,0,588,86,0
23.01.2020,09:00,0,0,587,86,0
23.01.2020,10:00,0,0,588,86,0
23.01.2020,11:00,0,0,590,100,0
23.01.2020,12:00,0,0,589,103,0
23.01.2020,13:00,0,0,588,103,0
23.01.2020,14:00,0,0,580,102,0
23.01.2020,15:00,0,0,584,105,0
23.01.2020,16:00,0,0,587,99,0
23.01.2020,17:00,0,0,586,100,0
23.01.2020,18:00,0,0,585,102,0
23.01.2020,19:00,0,0,585,86,0
23.01.2020,20:00,0,0,584,86,0
23.01.2020,21:00,0,0,586,87,0
23.01.2020,22:00,0,0,592,86,0
23.01.2020,23:00,0,0,590,74,0
24.01.2020,00:00,0,0,580,73,0
24.01.2020,01:00,0,0,558,73,0
24.01.2020,02:00,0,0,558,73,0
24.01.2020,03:00,0,0,558,73,0
24.01.2020,04:00,0,0,558,73,0
24.01.2020,05:00,0,0,570,75,0
24.01.2020,06:00,0,0,577,82,0
24.01.2020,07:00,0,0,576,86,0
24.01.2020,08:00,0,0,577,91,0
24.01.2020,09:00,0,0,581,89,0
24.01.2020,10:00,0,0,581,92,0
24.01.2020,11:00,0,0,581,92,0
24.01.2020,12:00,0,0,581,91,0
24.01.2020,13:00,0,0,584,91,0
24.01.2020,14:00,0,0,585,88,0
24.01.2020,15:00,0,0,585,88,0
24.01.2020,16:00,0,0,586,76,0
24.01.2020,17:00,0,0,585,75,0
24.01.2020,18:00,0,0,587,75,0
24.01.2020,19:00,0,0,588,76,0
24.01.2020,20:00,0,0,590,76,0
24.01.2020,21:00,0,0,591,79,0
24.01.2020,22:00,0,0,590,84,0
24.01.2020,23:00,0,0,589,81,0
25.01.2020,00:00,0,0,584,14,0
25.01.2020,01:00,0,0,580,0,0
25.01.2020,02:00,0,0,579,0,0
25.01.2020,03:00,0,0,579,0,0
25.01.2020,04:00,0,0,576,0,0
25.01.2020,05:00,0,0,571,2,0
25.01.2020,06:00,0,0,570,63,0
25.01.2020,07:00,0,0,578,91,0
25.01.2020,08:00,0,0,580,91,0
25.01.2020,09:00,0,0,578,91,0
25.01.2020,10:00,0,0,577,93,0
25.01.2020,11:00,0,0,578,95,0
25.01.2020,12:00,0,0,577,96,0
25.01.2020,13:00,0,0,578,95,0
25.01.2020,14:00,0,0,582,91,0
25.01.2020,15:00,0,0,582,89,0
25.01.2020,16:00,0,0,582,91,0
25.01.2020,17:00,0,0,583,91,0
25.01.2020,18:00,0,0,583,91,0
25.01.2020,19:00,0,0,583,91,0
