Datum,Uhrzeit,Generation_DE KBR[MW]
17.01.2020,08:00,950
17.01.2020,09:00,986
17.01.2020,10:00,990
17.01.2020,11:00,990
17.01.2020,12:00,990
17.01.2020,13:00,1002
17.01.2020,14:00,1155
17.01.2020,15:00,1271
17.01.2020,16:00,1286
17.01.2020,17:00,1325
17.01.2020,18:00,1326
17.01.2020,19:00,1313
17.01.2020,20:00,1295
17.01.2020,21:00,1243
17.01.2020,22:00,1161
17.01.2020,23:00,1095
18.01.2020,00:00,1066
18.01.2020,01:00,1023
18.01.2020,02:00,986
18.01.2020,03:00,988
18.01.2020,04:00,1026
18.01.2020,05:00,971
18.01.2020,06:00,928
18.01.2020,07:00,934
18.01.2020,08:00,943
18.01.2020,09:00,945
18.01.2020,10:00,926
18.01.2020,11:00,932
18.01.2020,12:00,1003
18.01.2020,13:00,1013
18.01.2020,14:00,1054
18.01.2020,15:00,1097
18.01.2020,16:00,1100
18.01.2020,17:00,1212
18.01.2020,18:00,1292
18.01.2020,19:00,1325
18.01.2020,20:00,1326
18.01.2020,21:00,1326
18.01.2020,22:00,1326
18.01.2020,23:00,1326
19.01.2020,00:00,1324
19.01.2020,01:00,1325
19.01.2020,02:00,1325
19.01.2020,03:00,1325
19.01.2020,04:00,1324
19.01.2020,05:00,1325
19.01.2020,06:00,1326
19.01.2020,07:00,1327
19.01.2020,08:00,1327
19.01.2020,09:00,1327
19.01.2020,10:00,1327
19.01.2020,11:00,1327
19.01.2020,12:00,1326
19.01.2020,13:00,1326
19.01.2020,14:00,1326
19.01.2020,15:00,1326
19.01.2020,16:00,1326
19.01.2020,17:00,1326
19.01.2020,18:00,1326
19.01.2020,19:00,1327
19.01.2020,20:00,1327
19.01.2020,21:00,1327
19.01.2020,22:00,1327
19.01.2020,23:00,1327
20.01.2020,00:00,1326
20.01.2020,01:00,1326
20.01.2020,02:00,1326
20.01.2020,03:00,1326
20.01.2020,04:00,1325
20.01.2020,05:00,1325
20.01.2020,06:00,1326
20.01.2020,07:00,1326
20.01.2020,08:00,1329
20.01.2020,09:00,1331
20.01.2020,10:00,1330
20.01.2020,11:00,1328
20.01.2020,12:00,1329
20.01.2020,13:00,1329
20.01.2020,14:00,1329
20.01.2020,15:00,1325
20.01.2020,16:00,1321
20.01.2020,17:00,1321
20.01.2020,18:00,1321
20.01.2020,19:00,1323
20.01.2020,20:00,1323
20.01.2020,21:00,1324
20.01.2020,22:00,1325
20.01.2020,23:00,1225
21.01.2020,00:00,1182
21.01.2020,01:00,1245
21.01.2020,02:00,1282
21.01.2020,03:00,1282
21.01.2020,04:00,1279
21.01.2020,05:00,1281
21.01.2020,06:00,1280
21.01.2020,07:00,1282
21.01.2020,08:00,1287
21.01.2020,09:00,1328
21.01.2020,10:00,1329
21.01.2020,11:00,1328
21.01.2020,12:00,1328
21.01.2020,13:00,1329
21.01.2020,14:00,1328
21.01.2020,15:00,1327
21.01.2020,16:00,1327
21.01.2020,17:00,1327
21.01.2020,18:00,1326
21.01.2020,19:00,1327
21.01.2020,20:00,1327
21.01.2020,21:00,1328
21.01.2020,22:00,1328
21.01.2020,23:00,1327
22.01.2020,00:00,1261
22.01.2020,01:00,1155
22.01.2020,02:00,1155
22.01.2020,03:00,1155
22.01.2020,04:00,1155
22.01.2020,05:00,1155
22.01.2020,06:00,1140
22.01.2020,07:00,1163
22.01.2020,08:00,1163
22.01.2020,09:00,1170
22.01.2020,10:00,1283
22.01.2020,11:00,1326
22.01.2020,12:00,1326
22.01.2020,13:00,1326
22.01.2020,14:00,1327
22.01.2020,15:00,1326
22.01.2020,16:00,1326
22.01.2020,17:00,1326
22.01.2020,18:00,1326
22.01.2020,19:00,1325
22.01.2020,20:00,1325
22.01.2020,21:00,1326
22.01.2020,22:00,1326
22.01.2020,23:00,1327
23.01.2020,00:00,1326
23.01.2020,01:00,1327
23.01.2020,02:00,1326
23.01.2020,03:00,1326
23.01.2020,04:00,1326
23.01.2020,05:00,1326
23.01.2020,06:00,1326
23.01.2020,07:00,1326
23.01.2020,08:00,1326
23.01.2020,09:00,1326
23.01.2020,10:00,1327
23.01.2020,11:00,1327
23.01.2020,12:00,1327
23.01.2020,13:00,1327
23.01.2020,14:00,1328
23.01.2020,15:00,1328
23.01.2020,16:00,1328
23.01.2020,17:00,1328
23.01.2020,18:00,1328
23.01.2020,19:00,1327
23.01.2020,20:00,1328
23.01.2020,21:00,1328
23.01.2020,22:00,1327
23.01.2020,23:00,1327
24.01.2020,00:00,1328
24.01.2020,01:00,1328
24.01.2020,02:00,1328
24.01.2020,03:00,1328
24.01.2020,04:00,1328
24.01.2020,05:00,1327
24.01.2020,06:00,1327
24.01.2020,07:00,1326
24.01.2020,08:00,1326
24.01.2020,09:00,1326
24.01.2020,10:00,1327
24.01.2020,11:00,1327
24.01.2020,12:00,1328
24.01.2020,13:00,1328
24.01.2020,14:00,1328
24.01.2020,15:00,1328
24.01.2020,16:00,1328
24.01.2020,17:00,1327
24.01.2020,18:00,1327
24.01.2020,19:00,1327
24.01.2020,20:00,1327
24.01.2020,21:00,1327
24.01.2020,22:00,1327
