Datum,Uhrzeit,Generation_DE ALT GT E (solo)[MW],Generation_DE ALT GT A (Solo)[MW],Generation_DE ALT GT B[MW],Generation_DE ALT GT C[MW],Generation_DE ALT Heizkraftwerk 1[MW],Generation_DE ALT Heizkraftwerk 2 (DT Solobetrieb)[MW]
08.01.2020,20:00,0,0,0,0,0,255
08.01.2020,21:00,0,0,0,0,0,255
08.01.2020,22:00,0,0,0,0,0,254
08.01.2020,23:00,0,0,0,0,0,254
09.01.2020,00:00,0,0,0,0,0,128
09.01.2020,01:00,0,0,0,0,0,115
09.01.2020,02:00,0,0,0,0,0,117
09.01.2020,03:00,0,0,0,0,0,117
09.01.2020,04:00,0,0,0,0,0,117
09.01.2020,05:00,0,0,0,0,0,117
09.01.2020,06:00,0,0,0,0,0,188
09.01.2020,07:00,0,0,0,0,0,255
09.01.2020,08:00,0,0,0,0,0,246
09.01.2020,09:00,0,0,0,0,0,115
09.01.2020,10:00,0,0,0,0,0,105
09.01.2020,11:00,0,0,0,0,0,108
09.01.2020,12:00,0,0,0,0,0,107
09.01.2020,13:00,0,0,0,0,0,107
09.01.2020,14:00,0,0,0,0,0,108
09.01.2020,15:00,0,0,0,0,0,108
09.01.2020,16:00,0,0,0,0,0,175
09.01.2020,17:00,0,0,0,0,0,262
09.01.2020,18:00,0,0,0,0,0,282
09.01.2020,19:00,0,0,0,0,0,284
09.01.2020,20:00,0,0,0,0,0,121
09.01.2020,21:00,0,0,0,0,0,105
09.01.2020,22:00,0,0,0,0,0,107
09.01.2020,23:00,0,0,0,0,0,107
10.01.2020,00:00,0,0,0,0,0,107
10.01.2020,01:00,0,0,0,0,0,108
10.01.2020,02:00,0,0,0,0,0,107
10.01.2020,03:00,0,0,0,0,0,107
10.01.2020,04:00,0,0,0,0,0,108
10.01.2020,05:00,0,0,0,0,0,112
10.01.2020,06:00,0,0,0,0,0,161
10.01.2020,07:00,0,0,0,0,0,255
10.01.2020,08:00,0,0,0,0,0,253
10.01.2020,09:00,0,0,0,0,0,266
10.01.2020,10:00,0,0,0,0,0,253
10.01.2020,11:00,0,0,0,0,0,258
10.01.2020,12:00,0,0,0,0,0,259
10.01.2020,13:00,0,0,0,0,0,192
10.01.2020,14:00,0,0,0,0,0,256
10.01.2020,15:00,0,0,0,0,0,254
10.01.2020,16:00,0,0,0,0,0,229
10.01.2020,17:00,0,0,0,0,0,149
10.01.2020,18:00,0,0,0,0,0,153
10.01.2020,19:00,0,0,0,0,0,153
10.01.2020,20:00,0,0,0,0,0,152
10.01.2020,21:00,0,0,0,0,0,106
10.01.2020,22:00,0,0,0,0,0,101
10.01.2020,23:00,0,0,0,0,0,102
11.01.2020,00:00,0,0,0,0,0,100
11.01.2020,01:00,0,0,0,0,0,101
11.01.2020,02:00,0,0,0,0,0,101
11.01.2020,03:00,0,0,0,0,0,101
11.01.2020,04:00,0,0,0,0,0,101
11.01.2020,05:00,0,0,0,0,0,100
11.01.2020,06:00,0,0,0,0,0,101
11.01.2020,07:00,0,0,0,0,0,100
11.01.2020,08:00,0,0,0,0,0,102
11.01.2020,09:00,0,0,0,0,0,99
11.01.2020,10:00,0,0,0,0,0,100
11.01.2020,11:00,0,0,0,0,0,102
11.01.2020,12:00,0,0,0,0,0,100
11.01.2020,13:00,0,0,0,0,0,102
11.01.2020,14:00,0,0,0,0,0,102
11.01.2020,15:00,0,0,0,0,0,103
11.01.2020,16:00,0,0,0,0,0,103
11.01.2020,17:00,0,0,0,0,0,102
11.01.2020,18:00,0,0,0,0,0,103
11.01.2020,19:00,0,0,0,0,0,102
11.01.2020,20:00,0,0,0,0,0,103
11.01.2020,21:00,0,0,0,0,0,103
11.01.2020,22:00,0,0,0,0,0,103
11.01.2020,23:00,0,0,0,0,0,100
12.01.2020,00:00,0,0,0,0,0,98
12.01.2020,01:00,0,0,0,0,0,98
12.01.2020,02:00,0,0,0,0,0,98
12.01.2020,03:00,0,0,0,0,0,99
12.01.2020,04:00,0,0,0,0,0,98
12.01.2020,05:00,0,0,0,0,0,99
12.01.2020,06:00,0,0,0,0,0,99
12.01.2020,07:00,0,0,0,0,0,97
12.01.2020,08:00,0,0,0,0,0,97
12.01.2020,09:00,0,0,0,0,0,99
12.01.2020,10:00,0,0,0,0,0,99
12.01.2020,11:00,0,0,0,0,0,97
12.01.2020,12:00,0,0,0,0,0,99
12.01.2020,13:00,0,0,0,0,0,100
12.01.2020,14:00,0,0,0,0,0,101
12.01.2020,15:00,0,0,0,0,0,101
12.01.2020,16:00,0,0,0,0,0,101
12.01.2020,17:00,0,0,0,0,0,100
12.01.2020,18:00,0,0,0,0,0,101
12.01.2020,19:00,0,0,0,0,0,101
12.01.2020,20:00,0,0,0,0,0,102
12.01.2020,21:00,0,0,0,0,0,130
12.01.2020,22:00,0,0,0,0,0,256
12.01.2020,23:00,0,0,0,0,0,132
13.01.2020,00:00,0,0,0,0,0,108
13.01.2020,01:00,0,0,0,0,0,110
13.01.2020,02:00,0,0,0,0,0,111
13.01.2020,03:00,0,0,0,0,0,113
