Datum,Uhrzeit,Generation_DE SE 4[MW],Generation_DE Block 6 SE 6[MW],Generation_DE Block 5 SE 5[MW],Generation_DE Block 1 SE 1[MW],Generation_DE Block 2 SE 2[MW]
13.01.2020,19:00,0,0,0,82,81
13.01.2020,20:00,0,0,0,82,81
13.01.2020,21:00,0,0,0,82,81
13.01.2020,22:00,0,0,0,82,81
13.01.2020,23:00,0,0,0,82,81
14.01.2020,00:00,0,0,0,82,81
14.01.2020,01:00,0,0,0,82,81
14.01.2020,02:00,0,0,0,82,81
14.01.2020,03:00,0,0,0,82,81
14.01.2020,04:00,0,0,0,82,81
14.01.2020,05:00,0,0,0,82,81
14.01.2020,06:00,0,0,0,82,81
14.01.2020,07:00,0,0,0,82,81
14.01.2020,08:00,0,0,0,82,81
14.01.2020,09:00,0,0,0,82,81
14.01.2020,10:00,0,0,0,82,81
14.01.2020,11:00,0,0,0,82,81
14.01.2020,12:00,0,0,0,82,81
14.01.2020,13:00,0,0,0,82,81
14.01.2020,14:00,0,0,0,82,81
14.01.2020,15:00,0,0,0,82,81
14.01.2020,16:00,0,0,0,82,81
14.01.2020,17:00,0,0,0,82,81
14.01.2020,18:00,0,0,0,82,81
14.01.2020,19:00,0,0,0,82,81
14.01.2020,20:00,0,0,0,82,81
14.01.2020,21:00,0,0,0,82,81
14.01.2020,22:00,0,0,0,82,81
14.01.2020,23:00,0,0,0,82,81
15.01.2020,00:00,0,0,0,82,81
15.01.2020,01:00,0,0,0,82,81
15.01.2020,02:00,0,0,0,82,81
15.01.2020,03:00,0,0,0,82,81
15.01.2020,04:00,0,0,0,82,81
15.01.2020,05:00,0,0,0,82,82
15.01.2020,06:00,0,0,0,82,82
15.01.2020,07:00,0,0,0,82,82
15.01.2020,08:00,0,0,0,82,82
15.01.2020,09:00,0,0,0,82,82
15.01.2020,10:00,0,0,0,82,82
15.01.2020,11:00,0,0,0,82,82
15.01.2020,12:00,0,0,0,82,82
15.01.2020,13:00,0,0,0,82,82
15.01.2020,14:00,0,0,0,82,82
15.01.2020,15:00,0,0,0,82,82
15.01.2020,16:00,0,0,0,82,82
15.01.2020,17:00,0,0,0,82,82
15.01.2020,18:00,0,0,0,82,81
15.01.2020,19:00,0,0,0,82,81
15.01.2020,20:00,0,0,0,82,81
15.01.2020,21:00,0,0,0,82,81
15.01.2020,22:00,0,0,0,82,81
15.01.2020,23:00,0,0,0,82,81
16.01.2020,00:00,0,0,0,82,81
16.01.2020,01:00,0,0,0,82,81
16.01.2020,02:00,0,0,0,82,81
16.01.2020,03:00,0,0,0,82,81
16.01.2020,04:00,0,0,0,82,81
16.01.2020,05:00,0,0,0,82,81
16.01.2020,06:00,0,0,0,82,81
16.01.2020,07:00,0,0,0,82,81
16.01.2020,08:00,0,0,0,82,81
16.01.2020,09:00,0,0,0,82,81
16.01.2020,10:00,0,0,0,82,81
16.01.2020,11:00,0,0,0,82,81
16.01.2020,12:00,0,0,0,82,81
16.01.2020,13:00,0,0,0,82,81
16.01.2020,14:00,0,0,0,82,81
16.01.2020,15:00,0,0,0,82,82
16.01.2020,16:00,0,0,0,82,82
16.01.2020,17:00,0,0,0,82,82
16.01.2020,18:00,0,0,0,82,82
16.01.2020,19:00,0,0,0,82,82
16.01.2020,20:00,0,0,0,82,82
16.01.2020,21:00,0,0,0,82,82
16.01.2020,22:00,0,0,0,82,82
16.01.2020,23:00,0,0,0,82,82
17.01.2020,00:00,0,0,0,82,82
17.01.2020,01:00,0,0,0,82,82
17.01.2020,02:00,0,0,0,82,82
17.01.2020,03:00,0,0,0,82,82
17.01.2020,04:00,0,0,0,82,82
17.01.2020,05:00,0,0,0,82,82
17.01.2020,06:00,0,0,0,82,82
17.01.2020,07:00,0,0,0,82,82
17.01.2020,08:00,0,0,0,82,82
17.01.2020,09:00,0,0,0,82,82
17.01.2020,10:00,0,0,0,82,82
17.01.2020,11:00,0,0,0,82,82
17.01.2020,12:00,0,0,0,82,82
17.01.2020,13:00,0,0,0,82,82
17.01.2020,14:00,0,0,0,82,82
17.01.2020,15:00,0,0,0,82,82
17.01.2020,16:00,0,0,0,82,82
17.01.2020,17:00,0,0,0,82,82
17.01.2020,18:00,0,0,0,82,82
17.01.2020,19:00,0,0,0,82,82
17.01.2020,20:00,0,0,0,82,82
17.01.2020,21:00,0,0,0,82,82
17.01.2020,22:00,0,0,0,82,81
17.01.2020,23:00,0,0,0,82,81
18.01.2020,00:00,0,0,0,82,81
18.01.2020,01:00,0,0,0,82,82
18.01.2020,02:00,0,0,0,82,82
18.01.2020,03:00,0,0,0,82,83
18.01.2020,04:00,0,0,0,83,83
18.01.2020,05:00,0,0,0,83,84
18.01.2020,06:00,0,0,0,83,84
18.01.2020,07:00,0,0,0,83,84
18.01.2020,08:00,0,0,0,83,84
18.01.2020,09:00,0,0,0,83,84
18.01.2020,10:00,0,0,0,83,84
18.01.2020,11:00,0,0,0,83,84
18.01.2020,12:00,0,0,0,83,84
18.01.2020,13:00,0,0,0,83,84
18.01.2020,14:00,0,0,0,83,84
18.01.2020,15:00,0,0,0,83,84
18.01.2020,16:00,0,0,0,83,84
18.01.2020,17:00,0,0,0,83,84
18.01.2020,18:00,0,0,0,83,84
18.01.2020,19:00,0,0,0,83,84
18.01.2020,20:00,0,0,0,83,84
18.01.2020,21:00,0,0,0,83,84
18.01.2020,22:00,0,0,0,83,83
18.01.2020,23:00,0,0,0,83,83
19.01.2020,00:00,0,0,0,83,84
19.01.2020,01:00,0,0,0,83,84
19.01.2020,02:00,0,0,0,83,84
19.01.2020,03:00,0,0,0,83,84
19.01.2020,04:00,0,0,0,84,84
19.01.2020,05:00,0,0,0,84,84
19.01.2020,06:00,0,0,0,84,84
19.01.2020,07:00,0,0,0,84,84
19.01.2020,08:00,0,0,0,84,84
19.01.2020,09:00,0,0,0,84,84
19.01.2020,10:00,0,0,0,84,84
19.01.2020,11:00,0,0,0,84,84
19.01.2020,12:00,0,0,0,84,84
19.01.2020,13:00,0,0,0,84,84
19.01.2020,14:00,0,0,0,84,83
19.01.2020,15:00,0,0,0,84,83
19.01.2020,16:00,0,0,0,84,83
19.01.2020,17:00,0,0,0,84,83
19.01.2020,18:00,0,0,0,84,83
19.01.2020,19:00,0,0,0,84,83
19.01.2020,20:00,0,0,0,84,83
19.01.2020,21:00,0,0,0,84,83
19.01.2020,22:00,0,0,0,84,82
19.01.2020,23:00,0,0,0,84,82
20.01.2020,00:00,0,0,0,84,83
20.01.2020,01:00,0,0,0,84,83
20.01.2020,02:00,0,0,0,84,83
20.01.2020,03:00,0,0,0,84,83
20.01.2020,04:00,0,0,0,84,83
20.01.2020,05:00,0,0,0,83,82
20.01.2020,06:00,0,0,0,83,82
20.01.2020,07:00,0,0,0,83,82
20.01.2020,08:00,0,0,0,83,82
20.01.2020,09:00,0,0,0,83,82
20.01.2020,10:00,0,0,0,83,82
20.01.2020,11:00,0,0,0,83,82
20.01.2020,12:00,0,0,0,83,82
20.01.2020,13:00,0,0,0,83,82
20.01.2020,14:00,0,0,0,83,82
20.01.2020,15:00,0,0,0,83,82
20.01.2020,16:00,0,0,0,83,82
20.01.2020,17:00,0,0,0,83,82
20.01.2020,18:00,0,0,0,83,82
20.01.2020,19:00,0,0,0,83,82
20.01.2020,20:00,0,0,0,82,82
20.01.2020,21:00,0,0,0,82,82
20.01.2020,22:00,0,0,0,82,82
20.01.2020,23:00,0,0,0,82,82
21.01.2020,00:00,0,0,0,82,82
21.01.2020,01:00,0,0,0,82,82
21.01.2020,02:00,0,0,0,82,82
21.01.2020,03:00,0,0,0,82,82
21.01.2020,04:00,0,0,0,82,82
21.01.2020,05:00,0,0,0,82,82
21.01.2020,06:00,0,0,0,82,82
21.01.2020,07:00,0,0,0,82,82
21.01.2020,08:00,0,0,0,82,82
21.01.2020,09:00,0,0,0,82,82
21.01.2020,10:00,0,0,0,82,82
21.01.2020,11:00,0,0,0,82,82
21.01.2020,12:00,0,0,0,82,82
21.01.2020,13:00,0,0,0,82,82
21.01.2020,14:00,0,0,0,82,82
21.01.2020,15:00,0,0,0,82,82
21.01.2020,16:00,0,0,0,82,82
21.01.2020,17:00,0,0,0,82,82
21.01.2020,18:00,0,0,0,82,82
21.01.2020,19:00,0,0,0,82,82
21.01.2020,20:00,0,0,0,82,82
21.01.2020,21:00,0,0,0,82,82
21.01.2020,22:00,0,0,0,82,82
21.01.2020,23:00,0,0,0,82,82
22.01.2020,00:00,0,0,0,82,82
22.01.2020,01:00,0,0,0,82,82
22.01.2020,02:00,0,0,0,82,82
22.01.2020,03:00,0,0,0,82,82
22.01.2020,04:00,0,0,0,82,82
22.01.2020,05:00,0,0,0,82,82
22.01.2020,06:00,0,0,0,82,82
22.01.2020,07:00,0,0,0,81,81
22.01.2020,08:00,0,0,0,81,81
22.01.2020,09:00,0,0,0,81,81
22.01.2020,10:00,0,0,0,81,81
22.01.2020,11:00,0,0,0,81,82
22.01.2020,12:00,0,0,0,81,82
22.01.2020,13:00,0,0,0,81,81
22.01.2020,14:00,0,0,0,81,81
22.01.2020,15:00,0,0,0,81,81
22.01.2020,16:00,0,0,0,81,81
22.01.2020,17:00,0,0,0,81,81
22.01.2020,18:00,0,0,0,81,81
22.01.2020,19:00,0,0,0,81,81
22.01.2020,20:00,0,0,0,81,81
22.01.2020,21:00,0,0,0,81,81
22.01.2020,22:00,0,0,0,81,81
22.01.2020,23:00,0,0,0,81,81
23.01.2020,00:00,0,0,0,81,81
23.01.2020,01:00,0,0,0,81,81
23.01.2020,02:00,0,0,0,81,81
23.01.2020,03:00,0,0,0,81,81
23.01.2020,04:00,0,0,0,81,81
23.01.2020,05:00,0,0,0,81,81
23.01.2020,06:00,0,0,0,81,81
23.01.2020,07:00,0,0,0,81,80
23.01.2020,08:00,0,0,0,81,80
23.01.2020,09:00,0,0,0,81,80
23.01.2020,10:00,0,0,0,81,80
23.01.2020,11:00,0,0,0,81,79
23.01.2020,12:00,0,0,0,81,79
23.01.2020,13:00,0,0,0,81,79
23.01.2020,14:00,0,0,0,81,79
23.01.2020,15:00,0,0,0,81,79
23.01.2020,16:00,0,0,0,81,79
23.01.2020,17:00,0,0,0,81,79
23.01.2020,18:00,0,0,0,81,79
23.01.2020,19:00,0,0,0,81,79
23.01.2020,20:00,0,0,0,81,79
23.01.2020,21:00,0,0,0,81,79
23.01.2020,22:00,0,0,0,81,79
23.01.2020,23:00,0,0,0,81,79
24.01.2020,00:00,0,0,0,81,79
24.01.2020,01:00,0,0,0,81,79
24.01.2020,02:00,0,0,0,81,79
24.01.2020,03:00,0,0,0,81,79
24.01.2020,04:00,0,0,0,81,79
24.01.2020,05:00,0,0,0,81,79
24.01.2020,06:00,0,0,0,82,81
24.01.2020,07:00,0,0,0,81,81
24.01.2020,08:00,0,0,0,81,81
24.01.2020,09:00,0,0,0,81,81
24.01.2020,10:00,0,0,0,82,81
24.01.2020,11:00,0,0,0,84,82
24.01.2020,12:00,0,0,0,85,82
24.01.2020,13:00,0,0,0,85,82
24.01.2020,14:00,0,0,0,85,82
24.01.2020,15:00,0,0,0,85,82
24.01.2020,16:00,0,0,0,85,82
24.01.2020,17:00,0,0,0,85,82
24.01.2020,18:00,0,0,0,85,82
24.01.2020,19:00,0,0,0,84,82
24.01.2020,20:00,0,0,0,84,82
24.01.2020,21:00,0,0,0,84,82
24.01.2020,22:00,0,0,0,84,82
24.01.2020,23:00,0,0,0,84,82
25.01.2020,00:00,0,0,0,84,82
25.01.2020,01:00,0,0,0,84,82
25.01.2020,02:00,0,0,0,84,82
25.01.2020,03:00,0,0,0,84,82
25.01.2020,04:00,0,0,0,84,82
25.01.2020,05:00,0,0,0,84,82
25.01.2020,06:00,0,0,0,84,82
25.01.2020,07:00,0,0,0,84,81
25.01.2020,08:00,0,0,0,84,81
25.01.2020,09:00,0,0,0,84,81
25.01.2020,10:00,0,0,0,84,81
25.01.2020,11:00,0,0,0,84,81
25.01.2020,12:00,0,0,0,84,81
25.01.2020,13:00,0,0,0,84,81
25.01.2020,14:00,0,0,0,83,81
25.01.2020,15:00,0,0,0,82,81
25.01.2020,16:00,0,0,0,82,81
25.01.2020,17:00,0,0,0,82,81
25.01.2020,18:00,0,0,0,83,81
25.01.2020,19:00,0,0,0,83,81
25.01.2020,20:00,0,0,0,83,81
25.01.2020,21:00,0,0,0,83,81
25.01.2020,22:00,0,0,0,83,81
25.01.2020,23:00,0,0,0,83,81
26.01.2020,00:00,0,0,0,83,81
26.01.2020,01:00,0,0,0,83,81
26.01.2020,02:00,0,0,0,83,81
26.01.2020,03:00,0,0,0,83,81
26.01.2020,04:00,0,0,0,83,81
26.01.2020,05:00,0,0,0,83,81
