Datum,Uhrzeit,Generation_DE Block 2 Tiefstack[MW],Generation_DE Gas0und0Dampfturbinen Tiefstack[MW]
18.01.2020,11:00,148,0
18.01.2020,12:00,148,0
18.01.2020,13:00,147,0
18.01.2020,14:00,146,0
18.01.2020,15:00,146,0
18.01.2020,16:00,146,0
18.01.2020,17:00,144,0
18.01.2020,18:00,146,0
18.01.2020,19:00,147,0
18.01.2020,20:00,149,0
18.01.2020,21:00,146,0
18.01.2020,22:00,141,0
18.01.2020,23:00,139,0
19.01.2020,00:00,139,0
19.01.2020,01:00,141,0
19.01.2020,02:00,143,0
19.01.2020,03:00,143,0
19.01.2020,04:00,144,0
19.01.2020,05:00,144,0
19.01.2020,06:00,146,0
19.01.2020,07:00,147,0
19.01.2020,08:00,146,0
19.01.2020,09:00,146,0
19.01.2020,10:00,144,0
19.01.2020,11:00,147,0
19.01.2020,12:00,146,0
19.01.2020,13:00,149,0
19.01.2020,14:00,147,0
19.01.2020,15:00,146,0
19.01.2020,16:00,143,0
19.01.2020,17:00,144,0
19.01.2020,18:00,142,0
19.01.2020,19:00,142,0
19.01.2020,20:00,145,0
19.01.2020,21:00,148,0
19.01.2020,22:00,145,0
19.01.2020,23:00,145,0
20.01.2020,00:00,145,0
20.01.2020,01:00,140,0
20.01.2020,02:00,137,0
20.01.2020,03:00,136,0
20.01.2020,04:00,136,0
20.01.2020,05:00,137,0
20.01.2020,06:00,144,0
20.01.2020,07:00,146,0
20.01.2020,08:00,149,0
20.01.2020,09:00,149,0
20.01.2020,10:00,148,0
20.01.2020,11:00,156,0
20.01.2020,12:00,160,0
20.01.2020,13:00,158,0
20.01.2020,14:00,158,0
20.01.2020,15:00,163,0
20.01.2020,16:00,156,0
20.01.2020,17:00,150,0
20.01.2020,18:00,151,0
20.01.2020,19:00,152,0
20.01.2020,20:00,156,0
20.01.2020,21:00,150,0
20.01.2020,22:00,149,0
20.01.2020,23:00,145,0
21.01.2020,00:00,140,0
21.01.2020,01:00,137,0
21.01.2020,02:00,137,0
21.01.2020,03:00,137,0
21.01.2020,04:00,140,0
21.01.2020,05:00,147,0
21.01.2020,06:00,148,0
21.01.2020,07:00,146,0
21.01.2020,08:00,148,0
21.01.2020,09:00,151,0
21.01.2020,10:00,151,0
21.01.2020,11:00,112,0
