Datum,Uhrzeit,Generation_DE KKE[MW]
18.01.2020,20:00,1354
18.01.2020,21:00,1355
18.01.2020,22:00,1355
18.01.2020,23:00,1355
19.01.2020,00:00,1355
19.01.2020,01:00,1355
19.01.2020,02:00,1357
19.01.2020,03:00,1353
19.01.2020,04:00,1353
19.01.2020,05:00,1354
19.01.2020,06:00,1354
19.01.2020,07:00,1354
19.01.2020,08:00,1353
19.01.2020,09:00,1352
19.01.2020,10:00,1350
19.01.2020,11:00,1353
19.01.2020,12:00,1352
19.01.2020,13:00,1351
19.01.2020,14:00,1349
19.01.2020,15:00,1349
19.01.2020,16:00,1349
19.01.2020,17:00,1352
19.01.2020,18:00,1352
19.01.2020,19:00,1353
19.01.2020,20:00,1353
19.01.2020,21:00,1353
19.01.2020,22:00,1354
19.01.2020,23:00,1354
20.01.2020,00:00,1352
20.01.2020,01:00,1353
20.01.2020,02:00,1354
20.01.2020,03:00,1354
20.01.2020,04:00,1356
20.01.2020,05:00,1356
20.01.2020,06:00,1356
20.01.2020,07:00,1357
20.01.2020,08:00,1357
20.01.2020,09:00,1356
20.01.2020,10:00,1355
20.01.2020,11:00,1354
20.01.2020,12:00,1353
20.01.2020,13:00,1352
20.01.2020,14:00,1351
20.01.2020,15:00,1350
20.01.2020,16:00,1351
20.01.2020,17:00,1352
20.01.2020,18:00,1352
20.01.2020,19:00,1352
20.01.2020,20:00,1352
20.01.2020,21:00,1352
20.01.2020,22:00,1352
20.01.2020,23:00,1355
21.01.2020,00:00,1355
21.01.2020,01:00,1356
21.01.2020,02:00,1355
21.01.2020,03:00,1355
21.01.2020,04:00,1355
21.01.2020,05:00,1355
21.01.2020,06:00,1352
21.01.2020,07:00,1351
21.01.2020,08:00,1357
21.01.2020,09:00,1358
21.01.2020,10:00,1357
21.01.2020,11:00,1356
21.01.2020,12:00,1356
21.01.2020,13:00,1355
21.01.2020,14:00,1354
21.01.2020,15:00,1354
21.01.2020,16:00,1354
21.01.2020,17:00,1355
21.01.2020,18:00,1355
21.01.2020,19:00,1355
21.01.2020,20:00,1355
21.01.2020,21:00,1355
21.01.2020,22:00,1354
21.01.2020,23:00,1354
22.01.2020,00:00,1353
22.01.2020,01:00,1357
